oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,88,67,69,85,88,148,121,138,143,155,108,144,144,163,172,166,166,166,129,134,119,113,82,57,""
02,66,66,76,79,101,112,144,165,185,179,140,139,137,163,154,176,173,167,142,149,36,135,98,89,""
03,83,88,84,104,111,116,148,146,163,193,187,158,163,155,170,161,139,156,157,133,115,129,104,81,""
04,89,54,75,91,109,133,117,139,151,175,178,167,135,149,182,167,171,160,155,137,116,114,94,76,""
05,86,72,77,104,118,123,151,161,142,174,158,155,148,137,163,147,164,160,150,160,118,114,96,83,""
06,89,76,95,108,99,135,145,144,141,163,161,184,188,179,178,159,137,153,137,121,102,107,122,74,""
07,91,83,98,106,109,128,137,168,156,152,153,177,152,150,152,158,138,144,134,145,123,95,100,79,""
08,74,83,73,101,92,121,133,159,149,171,155,167,137,151,138,143,140,151,147,118,101,114,80,75,""
09,70,80,87,120,132,128,139,159,167,164,156,148,158,148,146,146,122,103,105,121,99,92,57,0,""
10,0,0,0,0,58,142,139,168,185,168,159,157,144,133,147,136,136,162,139,129,121,111,82,80,""
11,71,86,93,143,158,127,144,173,176,188,190,185,177,154,164,155,136,136,140,140,100,87,94,82,""
12,95,106,78,104,130,141,142,159,173,184,178,189,164,145,154,157,143,164,123,109,4,143,129,117,""
13,107,116,80,152,166,215,207,225,262,263,260,260,244,212,239,233,206,201,159,175,147,137,114,121,""
14,104,119,134,154,211,226,221,254,227,240,262,242,272,228,233,205,218,213,175,184,137,149,116,102,""
15,128,126,126,180,163,210,218,242,258,261,255,264,234,211,228,231,202,204,183,178,160,131,130,122,""
16,117,109,114,146,188,208,225,223,247,255,291,294,226,226,210,152,210,185,163,132,131,138,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
18,-1,329,98,162,169,203,247,238,287,259,277,250,257,266,241,251,227,199,175,183,168,130,150,140,""
19,144,128,147,186,157,228,240,263,281,264,295,311,271,271,241,235,236,205,202,174,154,171,158,141,""
20,152,125,132,180,181,237,246,258,284,315,286,285,272,295,283,203,222,206,191,152,159,129,144,101,""
21,111,113,111,167,172,195,230,288,290,297,277,286,254,259,228,258,233,209,181,189,158,142,137,131,""
22,106,103,145,170,181,180,240,286,281,314,201,229,261,271,207,233,221,212,179,169,156,141,124,113,""
23,108,129,129,171,193,179,255,264,305,237,244,248,220,251,236,253,243,184,167,169,154,150,124,116,""
24,104,124,130,173,194,214,230,261,291,260,264,274,269,236,238,216,203,191,173,167,150,142,132,105,""
25,104,99,113,143,175,195,214,259,253,261,277,246,223,265,221,215,235,194,160,169,164,141,142,131,""
26,158,127,132,167,168,206,250,249,299,284,300,290,245,224,232,213,236,198,170,187,145,127,116,120,""
27,117,110,134,156,196,219,239,248,256,274,265,301,255,252,225,243,219,194,183,194,170,151,120,90,""
28,97,126,96,128,132,155,171,176,207,204,195,210,207,178,204,196,209,175,165,109,81,77,82,80,""
29,78,91,121,150,168,205,232,249,281,289,273,274,249,235,260,239,217,207,0,0,0,0,0,0,""
30,0,0,0,143,171,197,223,263,264,280,268,267,242,246,247,203,217,195,172,174,147,124,119,113,""
31,115,118,123,158,186,205,225,245,257,230,244,248,217,200,200,180,182,166,146,131,112,133,118,-1,""
