may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,16,12,18,22,25,19,-1,-1,-1,14,10,14,6,7,10,10,9,9,5,1,5,4,13,19,""
02,13,12,8,10,9,19,27,20,25,20,19,17,13,14,9,8,4,5,6,9,3,6,10,13,""
03,11,13,18,13,9,18,22,21,21,20,19,13,13,11,5,9,2,4,2,5,4,9,8,11,""
04,10,7,9,18,9,22,24,26,26,24,15,12,16,8,6,6,3,8,3,7,5,7,13,16,""
05,13,19,9,22,23,25,34,36,34,33,29,22,21,11,9,11,5,6,6,3,9,10,13,12,""
06,18,17,13,27,24,34,42,36,37,34,27,16,13,14,9,7,8,3,6,1,7,5,8,18,""
07,13,9,12,17,19,28,24,43,29,27,19,13,11,7,7,5,5,1,7,3,4,7,14,16,""
08,13,13,15,20,28,28,31,24,22,27,13,14,16,12,9,3,4,4,4,5,8,11,11,10,""
09,17,17,18,20,23,20,25,22,23,26,22,14,13,13,11,8,5,5,5,4,3,11,12,13,""
10,11,14,14,12,21,23,25,24,24,19,17,13,13,9,9,7,9,4,4,6,8,6,5,13,""
11,14,20,10,22,17,28,22,23,23,24,19,18,13,10,17,10,4,6,6,3,3,8,14,7,""
12,16,12,19,15,22,17,20,31,22,18,18,14,21,10,6,6,9,6,1,8,4,5,9,15,""
13,19,14,18,21,17,21,23,29,25,20,21,17,19,13,3,12,7,6,7,4,4,7,11,13,""
14,17,19,10,13,24,16,24,21,21,15,20,16,15,6,7,9,5,4,7,5,9,4,4,10,""
15,15,12,7,16,24,16,20,28,21,14,20,12,15,9,17,7,8,2,5,8,13,9,4,12,""
16,11,11,9,16,20,25,25,17,24,23,26,13,13,12,10,7,3,3,1,6,3,8,4,10,""
17,16,17,8,16,16,21,18,24,25,20,21,18,15,13,16,5,8,6,6,6,5,12,8,16,""
18,19,12,13,18,20,26,21,20,13,-1,-1,12,15,10,4,8,7,4,8,10,6,10,14,13,""
19,14,10,15,11,17,13,25,24,18,20,10,14,11,14,7,14,8,3,4,5,3,11,14,11,""
20,15,20,20,19,13,14,25,23,11,14,18,10,3,6,6,6,12,4,8,3,4,6,14,9,""
21,14,16,12,18,13,14,19,31,25,19,14,11,10,9,12,7,7,4,3,4,9,9,8,14,""
22,15,15,13,14,17,16,28,24,17,22,9,7,14,8,7,10,10,6,4,7,5,10,14,17,""
23,17,16,15,18,14,13,25,20,24,9,16,11,16,8,4,11,5,7,6,8,17,12,19,15,""
24,19,24,10,10,18,30,25,23,20,15,16,7,10,7,4,8,6,5,3,4,14,11,9,16,""
25,14,20,21,12,12,22,31,23,18,19,13,9,7,8,11,7,9,1,4,4,8,6,20,25,""
26,14,17,13,10,11,16,11,20,11,16,9,6,5,6,1,6,4,8,7,5,7,10,14,14,""
27,16,17,16,15,27,21,24,23,30,18,11,11,8,8,5,9,8,4,9,7,4,11,14,20,""
28,18,8,9,16,7,19,15,22,22,7,9,6,14,14,13,5,5,7,9,7,11,11,11,17,""
29,11,20,19,19,20,18,20,24,17,20,9,11,14,10,10,4,5,2,5,5,6,8,14,5,""
30,11,14,12,17,14,24,23,26,19,27,15,10,10,12,11,6,6,5,3,11,5,8,14,16,""
31,15,16,12,20,15,21,24,19,14,11,14,9,7,8,7,10,5,7,2,7,-1,-1,-1,-1,""
