oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,35,46,45,39,43,41,42,32,14,28,42,37,36,24,40,34,35,30,21,19,16,24,28,25,""
02,40,38,36,46,47,49,44,32,40,48,40,44,40,38,33,32,17,31,21,22,19,16,21,17,""
03,30,25,27,32,21,18,16,39,32,23,36,34,33,32,25,31,15,13,18,18,27,25,25,31,""
04,26,29,35,33,30,36,29,39,34,24,33,26,-1,-1,52,24,29,-1,17,21,10,17,25,27,""
05,29,57,40,35,36,46,32,36,21,27,38,23,31,31,20,21,13,20,18,18,15,25,20,11,""
06,17,19,23,31,40,20,32,24,12,13,3,21,19,17,17,19,20,26,31,37,40,37,31,18,""
07,30,32,25,30,29,21,21,34,35,23,31,38,44,41,25,13,17,18,20,12,19,22,10,0,""
08,0,0,0,0,0,0,0,0,0,6,28,29,31,42,23,27,21,12,35,24,13,24,14,14,""
09,19,31,29,43,32,44,19,30,26,28,13,20,12,17,15,20,21,13,16,27,22,20,29,29,""
10,35,44,43,40,46,31,25,32,36,28,21,32,30,31,32,32,15,24,31,31,44,23,11,28,""
11,38,39,29,30,32,30,16,31,28,24,27,29,38,28,12,21,18,29,1,18,17,6,14,31,""
12,36,30,35,44,41,23,32,15,23,24,21,17,8,11,7,5,14,10,8,20,10,7,8,16,""
13,28,32,40,40,24,34,16,26,10,27,10,12,16,10,20,24,21,20,20,18,30,24,40,14,""
14,38,24,44,23,23,26,23,31,21,30,27,15,21,35,21,22,9,18,18,25,20,31,17,11,""
15,26,34,36,38,41,51,25,31,22,32,36,40,31,33,25,27,20,19,25,14,18,12,8,14,""
16,20,17,16,16,32,27,34,25,20,25,10,7,5,6,13,14,12,9,10,8,3,23,17,23,""
17,37,51,32,42,45,37,37,32,31,33,31,36,32,22,28,20,23,20,30,32,22,26,17,12,""
18,21,27,33,32,49,34,29,38,31,32,35,28,33,25,35,24,26,18,14,20,34,-1,21,23,""
19,19,20,-1,23,26,23,27,24,30,31,20,21,33,23,25,29,19,18,21,21,17,22,18,14,""
20,11,18,14,12,14,11,12,2,6,9,10,9,4,2,4,6,3,4,7,7,12,10,8,7,""
21,5,14,5,12,14,11,17,8,4,0,6,6,4,0,0,2,1,1,5,6,4,25,13,18,""
22,29,30,17,25,17,19,21,16,27,29,26,19,10,11,11,10,0,11,15,10,29,28,24,25,""
23,33,34,30,33,26,38,29,24,28,19,21,13,5,7,6,1,13,7,7,17,20,22,25,25,""
24,34,43,32,32,33,39,15,8,-1,-1,23,12,13,18,21,18,16,19,11,23,20,-1,49,24,""
25,26,36,36,34,27,32,32,32,30,27,31,27,29,27,22,28,53,10,22,29,35,30,28,20,""
26,36,18,33,21,26,55,15,19,6,27,21,21,19,24,21,23,11,15,11,18,19,15,18,16,""
27,13,21,29,40,34,35,29,31,3,11,12,18,30,15,18,10,10,19,14,25,39,26,14,16,""
28,17,30,32,39,28,31,34,32,18,6,13,25,19,20,17,19,21,10,29,33,39,52,26,20,""
29,33,54,35,44,46,59,54,39,47,29,45,24,25,26,24,18,16,20,21,66,35,25,13,14,""
30,26,37,28,36,50,33,31,37,30,28,35,25,32,27,25,27,34,28,34,31,35,37,14,25,""
31,15,33,19,29,40,47,50,33,37,31,28,34,28,25,20,13,15,21,33,33,38,28,14,-1,""
