oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,107,106,135,140,114,110,144,137,129,135,124,109,114,92,84,80,97,79,58,84,91,100,118,96,""
02,110,108,136,114,124,127,135,121,118,119,110,137,92,99,94,92,78,80,67,81,78,114,92,101,""
03,114,127,118,116,102,109,120,108,119,124,115,103,92,88,78,58,69,81,61,74,78,108,96,97,""
04,95,102,113,107,104,110,123,135,121,121,111,102,115,97,84,79,81,70,65,94,88,95,90,93,""
05,103,106,108,118,102,126,110,126,111,119,98,84,103,83,73,76,71,72,78,78,92,90,103,81,""
06,101,99,100,113,121,120,122,119,123,107,95,88,102,91,94,80,63,74,66,75,76,99,92,106,""
07,105,82,119,108,97,112,131,119,108,104,93,104,90,72,84,78,73,84,65,72,79,83,88,97,""
08,122,107,105,110,106,121,110,113,123,119,118,108,94,96,82,84,71,58,72,66,104,100,93,118,""
09,105,107,105,96,101,120,116,112,116,105,109,99,91,91,79,83,57,81,69,78,88,110,90,97,""
10,89,106,88,118,122,94,130,135,105,124,111,85,101,84,82,74,78,50,74,73,81,92,92,109,""
11,96,100,110,106,134,97,127,113,115,109,97,94,98,80,80,72,66,80,76,82,86,105,91,102,""
12,127,106,122,125,100,116,129,120,129,113,103,104,84,62,79,78,0,67,89,84,94,78,85,84,""
13,121,117,120,126,117,110,123,123,137,105,112,92,78,96,74,44,133,65,147,84,106,131,102,106,""
14,95,130,117,110,133,125,118,144,123,129,118,124,111,90,83,73,64,71,80,88,88,89,101,95,""
15,105,100,129,121,125,125,123,116,121,148,102,111,88,79,90,78,76,74,75,79,97,88,87,89,""
16,105,103,106,116,132,119,121,118,132,110,101,101,100,78,74,80,66,62,82,87,87,98,95,95,""
17,100,117,129,104,129,118,114,146,141,104,106,90,106,90,81,75,73,66,81,70,99,109,96,102,""
18,92,98,121,122,121,119,127,121,93,107,90,104,94,80,67,77,69,58,71,87,99,86,99,93,""
19,106,102,105,123,135,125,133,120,115,108,114,86,97,74,69,63,68,57,69,83,104,92,111,83,""
20,96,107,115,104,122,129,125,131,111,112,107,118,92,19,53,80,65,65,72,87,101,104,95,97,""
21,88,121,102,133,115,125,126,115,120,64,0,99,76,2,0,0,59,63,58,92,78,83,91,97,""
22,105,108,146,124,122,124,122,118,83,101,97,107,107,8,60,73,54,74,73,78,107,97,100,83,""
23,98,105,117,113,113,112,98,126,115,109,89,83,80,89,66,51,70,67,65,75,92,97,103,93,""
24,89,104,107,116,106,108,134,107,118,101,93,111,85,78,63,71,70,65,62,77,102,105,83,95,""
25,86,102,107,97,93,89,98,118,103,104,93,102,81,90,81,65,65,52,80,77,96,89,74,96,""
26,95,114,93,112,119,109,99,113,116,90,91,78,86,72,78,75,62,71,73,79,82,79,83,90,""
27,101,85,92,106,107,101,119,101,95,96,92,81,86,67,68,69,63,63,47,74,89,88,84,105,""
28,75,93,110,97,115,109,120,112,109,113,101,76,94,76,74,66,57,68,79,83,84,98,92,90,""
29,110,89,111,110,106,121,101,117,108,100,92,78,61,69,67,73,70,51,77,60,82,90,107,92,""
30,86,89,105,93,100,88,96,95,102,100,80,83,90,79,63,69,73,69,64,82,91,100,95,81,""
31,73,84,109,101,104,101,111,101,106,101,100,100,111,78,76,59,61,58,72,60,99,112,100,-1,""
