aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,34,54,60,50,45,36,13,13,29,13,25,16,31,13,23,17,15,17,8,14,9,18,25,41,""
02,33,46,60,47,48,40,30,20,16,35,35,16,5,7,23,20,19,16,19,17,12,12,21,3,""
03,4,0,4,5,6,6,36,31,41,20,17,23,18,20,8,7,22,12,11,12,19,22,39,54,""
04,30,46,47,42,40,45,36,34,37,25,49,20,12,14,19,24,13,11,29,14,11,13,23,44,""
05,45,51,35,29,57,34,40,34,39,43,25,25,22,19,14,20,16,11,12,21,17,12,17,31,""
06,35,29,36,40,29,30,26,56,27,24,14,12,16,19,8,10,24,12,23,22,20,22,31,26,""
07,36,47,99,34,42,46,46,27,19,23,21,30,15,16,23,17,16,16,10,19,20,17,30,26,""
08,38,38,43,53,52,34,37,27,31,36,37,17,18,18,11,21,22,10,16,13,20,23,19,36,""
09,26,43,30,54,34,46,41,23,24,36,26,20,24,18,20,22,13,10,10,16,12,9,21,39,""
10,45,155,78,77,28,38,33,33,28,15,35,25,27,19,16,19,13,11,16,15,19,15,22,37,""
11,26,196,66,49,35,53,43,31,40,34,30,23,27,11,28,18,23,28,22,15,13,26,32,37,""
12,65,65,55,49,76,56,62,42,60,48,44,27,28,27,15,27,19,19,15,35,24,29,59,91,""
13,90,95,100,72,68,94,120,94,65,36,52,22,35,19,24,24,13,19,16,13,16,21,51,41,""
14,47,68,51,42,31,65,90,59,84,42,35,28,24,26,22,31,12,17,15,20,18,18,20,35,""
15,35,40,42,40,39,33,27,28,26,33,28,31,30,18,17,26,15,18,18,15,11,21,21,25,""
16,23,30,31,35,15,32,14,35,33,20,25,22,23,28,15,17,12,10,22,21,17,14,22,26,""
17,39,21,12,22,35,25,23,17,22,27,27,21,19,17,14,16,15,17,14,18,18,26,13,18,""
18,25,31,77,28,24,27,36,24,16,15,40,20,15,17,17,24,47,20,8,182,13,15,23,29,""
19,22,32,63,48,28,25,22,28,19,16,18,8,13,19,19,15,12,18,17,13,11,21,17,28,""
20,26,31,33,24,31,27,33,43,26,16,27,20,21,7,11,18,14,21,10,9,15,13,16,13,""
21,14,31,25,27,20,19,25,31,20,25,27,8,16,22,13,19,12,19,8,19,6,14,17,21,""
22,24,14,25,17,15,22,17,33,14,22,15,21,25,17,25,25,21,18,13,9,21,19,18,21,""
23,17,24,24,18,21,21,22,15,20,13,22,11,11,14,19,22,15,9,10,11,17,16,15,25,""
24,21,15,22,26,17,16,20,13,14,16,29,18,10,20,14,17,11,19,14,15,13,14,19,16,""
25,17,24,28,18,26,23,22,16,10,9,23,26,19,41,13,16,14,13,13,6,12,15,13,13,""
26,18,18,14,14,8,20,32,12,13,21,19,17,19,15,17,13,21,20,5,8,18,15,12,11,""
27,28,13,11,14,22,17,14,19,23,27,17,19,18,10,17,12,18,11,7,14,10,14,11,24,""
28,29,25,21,17,13,22,23,16,14,10,22,12,17,9,6,21,12,12,10,16,20,7,8,19,""
29,25,24,26,18,16,18,25,13,19,20,21,19,14,9,16,13,13,10,22,8,7,13,22,19,""
30,29,21,18,15,21,20,21,22,15,19,14,18,12,7,10,18,12,3,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
