oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,7,4,3,13,12,6,0,9,1,9,3,6,6,7,17,16,11,14,21,13,8,1,5,1,""
02,0,0,1,0,0,0,0,2,0,3,2,0,0,7,1,3,1,1,0,2,1,0,0,0,""
03,0,0,0,0,0,0,0,0,1,0,0,2,4,3,6,8,5,2,6,11,15,11,1,4,""
04,4,3,3,1,0,1,2,6,10,5,3,10,15,11,12,8,19,18,11,7,0,3,0,1,""
05,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,4,4,8,1,2,0,0,0,0,""
06,0,0,0,0,0,0,0,2,3,4,15,45,39,46,47,72,62,53,23,38,39,14,12,9,""
07,8,3,3,8,5,3,4,8,8,10,11,14,18,22,16,14,22,22,16,19,8,4,2,5,""
08,4,4,1,4,2,6,3,1,2,13,15,21,8,10,20,11,22,17,10,20,4,3,2,2,""
09,5,2,0,3,4,1,3,1,6,10,9,11,11,9,5,13,8,13,16,9,9,5,2,2,""
10,4,1,2,4,0,1,2,1,1,8,5,6,4,93,13,3,10,9,5,7,8,2,2,5,""
11,1,0,1,1,1,5,5,4,5,7,6,16,44,39,25,29,15,13,11,12,8,10,17,10,""
12,44,34,39,21,36,40,23,20,23,27,27,16,29,35,46,53,61,47,35,32,10,8,14,6,""
13,7,1,2,6,6,4,5,7,13,11,15,15,19,29,15,17,19,11,9,13,8,3,5,3,""
14,2,2,1,1,1,1,0,11,17,31,32,37,47,49,39,101,61,51,0,0,0,0,0,0,""
15,0,0,0,0,1,1,7,24,20,26,38,41,42,33,45,99,89,81,69,66,41,12,31,12,""
16,3,1,7,2,4,8,14,20,24,35,42,67,65,84,114,126,122,94,111,149,62,31,28,18,""
17,8,12,8,24,38,33,36,35,66,106,96,118,124,144,101,91,132,107,95,88,89,46,40,66,""
18,27,35,37,46,46,45,65,55,69,72,65,93,112,109,153,115,148,127,108,89,78,55,62,49,""
19,37,37,39,60,60,53,68,77,90,114,102,103,114,133,167,159,160,127,101,69,53,69,57,53,""
20,39,55,34,22,14,2,6,15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,93,103,101,""
21,89,40,37,41,43,78,70,78,138,160,163,176,225,198,177,170,225,198,184,117,79,43,60,54,""
22,41,58,60,48,39,55,62,126,157,144,136,139,133,136,159,180,161,198,141,102,78,51,51,38,""
23,46,39,34,55,22,41,42,58,101,78,114,131,115,178,202,229,171,168,170,160,81,64,65,57,""
24,58,43,55,38,24,20,33,56,60,79,99,86,130,119,176,127,207,200,181,148,149,104,47,69,""
25,43,31,25,18,27,52,59,71,82,103,58,67,83,112,117,141,106,183,138,105,130,116,171,184,""
26,180,145,181,165,180,165,242,195,258,226,229,221,221,231,264,285,356,400,348,253,139,105,104,69,""
27,76,52,26,67,57,47,39,58,97,82,113,129,118,113,152,166,165,169,149,90,43,34,29,17,""
28,41,22,17,35,34,21,49,64,73,78,98,70,122,121,148,152,155,199,128,109,68,69,92,86,""
29,107,6,8,18,34,24,20,16,17,20,23,23,19,24,35,36,28,34,15,16,7,9,13,3,""
30,5,19,31,30,53,41,40,62,190,181,199,213,169,135,185,168,145,152,152,113,41,15,6,11,""
31,9,1,6,2,6,3,4,4,5,9,17,15,22,31,36,29,36,29,40,32,12,3,3,1,""
