dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,12,15,22,26,23,21,15,12,15,10,19,10,10,17,8,5,10,9,7,16,17,14,16,""
02,23,20,21,23,28,27,15,16,7,6,12,8,9,11,11,7,10,10,10,22,11,18,16,7,""
03,15,16,16,26,20,17,17,8,12,7,13,11,7,14,8,8,5,6,10,14,14,16,8,12,""
04,14,12,14,19,16,25,14,25,15,15,11,14,7,10,8,8,11,13,16,13,10,8,14,13,""
05,18,22,13,18,25,22,20,13,13,12,12,8,14,15,5,8,7,6,8,19,22,17,11,15,""
06,18,18,15,26,22,20,17,14,20,8,14,11,8,7,8,10,9,8,12,10,21,14,18,7,""
07,14,15,11,15,16,21,16,13,9,7,16,16,14,7,12,10,14,10,14,16,14,14,22,10,""
08,20,18,16,30,28,12,13,11,17,16,12,12,5,14,11,3,6,5,8,19,18,21,13,20,""
09,9,16,12,26,24,16,17,21,18,11,12,14,20,13,12,17,3,8,9,17,20,34,20,19,""
10,14,16,17,32,23,23,11,27,18,11,8,8,11,9,10,5,12,13,13,24,16,19,18,18,""
11,17,19,28,20,26,26,14,20,20,11,15,8,15,12,13,10,3,8,17,22,15,37,37,28,""
12,17,16,37,30,30,34,28,27,31,12,14,12,9,17,14,7,6,14,18,29,43,37,41,45,""
13,20,22,34,42,55,38,38,39,33,30,13,12,9,6,7,4,7,13,28,49,55,78,67,73,""
14,40,26,50,85,84,94,73,82,49,30,18,6,5,10,4,3,12,22,47,51,59,101,107,95,""
15,46,31,62,66,62,55,41,22,27,14,15,5,11,10,3,8,7,7,16,16,19,20,19,18,""
16,9,7,16,12,11,12,17,12,8,8,10,8,14,7,6,7,13,10,5,4,8,11,10,12,""
17,12,15,5,13,16,17,17,13,8,6,9,9,8,8,6,4,3,5,7,11,7,9,15,9,""
18,12,11,8,13,21,10,13,8,11,11,9,11,5,6,7,5,5,7,4,3,8,9,11,9,""
19,18,12,14,15,14,12,12,12,9,6,10,9,6,9,10,7,7,6,9,5,9,10,12,11,""
20,10,14,12,7,13,20,8,8,8,11,7,11,12,4,5,5,7,6,11,9,8,16,11,8,""
21,11,15,22,13,16,14,9,16,11,11,8,10,12,16,3,5,6,7,5,8,12,16,9,15,""
22,9,9,16,17,15,15,18,10,9,9,12,13,13,4,6,6,7,10,8,10,9,17,9,13,""
23,10,14,15,18,22,19,13,14,13,9,16,10,14,9,6,6,5,7,11,13,12,4,7,9,""
24,11,13,11,12,14,13,16,2,15,19,13,8,9,6,7,2,10,11,14,15,10,11,13,2,""
25,9,13,9,8,11,9,5,6,8,8,13,8,4,10,3,3,4,7,3,3,3,6,6,7,""
26,11,3,3,9,9,13,9,3,4,7,14,3,12,7,7,7,4,5,3,3,8,4,7,4,""
27,8,11,7,11,11,9,4,7,6,7,8,7,7,7,3,1,3,3,2,4,2,6,7,8,""
28,12,4,5,13,11,7,6,3,6,6,15,10,11,1,3,6,5,4,2,6,9,4,5,1,""
29,9,9,16,12,14,3,6,11,8,7,6,10,6,4,7,1,1,6,5,6,6,3,7,13,""
30,2,10,6,2,8,13,9,10,12,5,5,2,13,5,1,2,7,3,6,5,10,8,4,9,""
31,7,14,7,7,11,7,7,10,10,6,11,2,4,5,5,7,5,4,3,4,6,7,4,-1,""
