jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,80,144,73,78,51,71,68,46,64,43,69,87,48,56,24,63,47,54,50,53,53,63,56,46,""
02,50,61,65,90,67,69,78,58,73,62,69,66,73,63,44,62,68,65,61,64,35,54,73,56,""
03,49,68,67,63,71,58,5,-1,-1,-1,-1,34,26,27,31,36,41,45,47,45,59,69,70,70,""
04,65,63,66,66,68,72,63,83,42,18,48,47,71,60,25,23,67,61,64,51,50,40,54,44,""
05,67,61,59,76,87,103,43,72,50,45,84,44,58,52,44,34,36,62,54,54,62,41,60,50,""
06,71,38,62,51,63,51,78,33,-1,-1,-1,37,61,44,42,59,39,61,63,73,43,68,80,96,""
07,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,66,59,103,79,78,64,36,76,-1,26,52,63,53,71,55,76,60,48,68,75,60,61,60,89,""
09,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,13,-1,-1,-1,-1,-1,9,18,61,71,47,100,154,70,55,68,59,62,79,2,46,49,""
11,-1,-1,136,82,111,97,79,51,47,55,83,65,116,74,4,122,70,102,79,94,94,137,216,167,""
12,195,200,297,219,157,138,82,168,12,10,19,72,127,130,53,39,62,55,74,67,76,53,86,65,""
13,65,87,73,64,68,71,74,-1,26,23,44,70,62,47,50,48,64,52,75,46,52,71,63,65,""
14,67,69,110,76,93,120,82,48,47,17,54,1,157,266,285,153,119,122,114,105,89,70,112,68,""
15,109,91,112,82,101,66,109,51,73,64,62,58,40,51,52,47,46,50,56,63,70,84,52,76,""
16,79,69,59,47,66,81,66,83,80,43,98,75,58,81,69,56,52,39,40,45,63,49,77,84,""
17,48,75,30,-1,39,119,97,83,61,50,52,98,165,105,73,91,95,62,78,65,60,72,70,93,""
18,61,71,79,90,57,53,98,67,76,62,70,55,131,118,75,40,44,57,46,29,67,72,78,71,""
19,73,76,54,69,54,67,50,70,63,137,60,82,62,90,173,60,58,33,66,47,64,79,78,86,""
20,87,57,84,78,98,72,84,83,66,75,78,76,76,16,14,68,46,40,38,42,66,82,70,80,""
21,66,67,60,76,82,51,50,74,53,68,45,82,78,100,65,43,53,59,87,38,44,70,59,73,""
22,90,59,91,85,78,78,35,27,87,48,63,70,77,55,53,76,81,73,69,57,128,80,106,69,""
23,73,52,64,78,93,54,47,79,74,94,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,154,138,198,328,328,281,253,335,342,325,""
25,270,335,309,258,218,204,303,252,236,306,225,289,240,166,144,148,171,154,150,129,138,170,193,141,""
26,166,191,150,106,152,125,185,138,199,180,143,179,140,217,140,232,202,150,119,177,180,197,159,202,""
27,219,159,197,231,48,85,197,150,228,204,206,141,214,262,144,169,159,137,143,200,239,198,201,211,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,133,105,92,98,98,81,83,57,90,91,107,87,70,77,64,95,87,62,102,137,105,106,83,63,""
30,107,84,63,103,123,186,95,52,101,97,102,94,89,153,132,97,151,104,124,111,166,119,125,62,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
