sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,23,23,28,33,23,34,33,28,29,22,14,25,26,29,34,35,27,24,16,19,22,22,14,24,""
02,18,17,24,45,34,38,32,28,27,15,19,26,29,24,27,33,29,15,27,41,8,20,25,19,""
03,23,23,33,29,43,37,30,25,26,25,21,21,27,34,19,26,23,18,17,39,19,12,24,6,""
04,17,22,17,34,39,23,41,28,27,34,17,21,17,26,22,30,23,25,11,26,23,4,8,22,""
05,12,24,37,40,46,40,41,28,22,24,16,23,22,21,18,28,26,21,22,42,27,26,16,21,""
06,15,24,27,25,53,33,33,37,38,31,30,30,29,31,33,30,28,26,19,17,17,22,14,10,""
07,15,26,25,28,30,17,20,25,32,23,15,22,14,21,5,19,19,10,14,18,12,12,14,13,""
08,16,14,20,21,25,24,25,18,27,11,16,12,18,18,25,19,24,19,15,23,9,18,11,16,""
09,19,21,20,24,23,28,18,26,22,17,15,17,18,13,25,22,23,18,12,24,7,10,19,15,""
10,21,28,31,35,18,22,19,15,8,32,22,20,15,22,17,28,20,13,10,13,16,13,19,11,""
11,18,21,24,29,36,33,23,26,21,25,17,16,19,31,25,26,24,16,14,14,22,16,14,17,""
12,17,10,21,26,29,33,30,27,28,31,16,24,11,30,24,18,18,18,9,13,18,20,19,15,""
13,15,24,25,20,17,21,17,17,16,23,17,14,23,21,24,23,21,20,14,12,16,10,16,13,""
14,12,23,28,27,24,22,26,20,21,23,18,24,27,23,22,20,28,9,9,16,17,16,20,10,""
15,21,21,21,22,28,14,26,17,25,15,19,14,15,29,14,15,14,16,14,11,18,16,22,9,""
16,20,16,23,20,20,26,19,12,16,15,22,24,21,22,19,10,26,15,12,19,9,19,19,8,""
17,21,17,32,31,37,31,23,26,14,19,14,18,31,32,24,23,19,19,12,10,14,20,16,22,""
18,15,21,27,32,42,33,27,30,29,22,18,17,18,24,11,21,23,18,15,15,9,15,11,8,""
19,12,21,29,27,45,37,39,20,30,28,19,18,35,32,27,18,31,19,12,10,16,17,13,21,""
20,23,21,21,31,30,23,28,24,29,18,14,26,25,40,21,29,28,14,15,13,20,17,16,17,""
21,19,20,36,31,31,23,15,32,25,30,20,21,28,27,28,25,20,24,11,12,10,16,16,13,""
22,14,24,29,41,33,19,33,40,34,23,19,19,22,29,21,23,32,8,17,15,19,22,20,13,""
23,14,23,16,32,31,31,28,27,25,22,10,29,29,30,41,30,21,21,9,21,19,10,14,14,""
24,11,11,21,30,30,38,30,20,13,0,0,0,17,31,23,31,22,17,20,6,21,24,21,15,""
25,19,25,27,38,33,29,30,39,21,15,23,21,23,31,21,28,22,17,16,15,11,13,17,10,""
26,14,18,19,23,37,23,26,25,21,21,25,24,30,38,26,23,21,18,11,18,16,22,18,12,""
27,12,23,27,40,37,32,36,27,24,26,18,33,19,40,27,26,21,13,10,15,12,12,6,12,""
28,7,23,17,30,33,24,31,23,21,20,25,30,32,33,23,25,23,16,16,25,19,19,16,6,""
29,12,20,34,31,24,29,29,30,23,16,24,37,29,37,31,30,19,16,11,18,16,11,14,6,""
30,13,21,33,29,36,35,32,28,12,31,23,33,26,27,35,27,27,18,18,11,15,13,17,11,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
