oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,168,178,179,199,191,176,217,218,218,172,174,169,140,141,146,107,101,105,126,120,140,155,143,141,""
02,192,175,195,195,199,188,191,199,180,186,162,152,164,157,127,113,111,119,133,127,124,168,126,157,""
03,158,173,187,183,190,206,203,188,186,185,164,157,158,145,120,121,138,107,113,106,131,141,143,165,""
04,159,169,156,189,177,212,190,182,174,174,161,165,147,139,130,128,138,106,128,135,139,127,179,141,""
05,168,167,191,212,202,167,150,196,185,152,153,145,139,121,128,131,107,117,122,123,155,148,169,166,""
06,150,172,179,183,167,177,193,178,44,0,0,23,136,133,130,119,138,131,126,123,139,142,150,137,""
07,171,165,173,185,177,189,187,182,171,153,169,158,161,148,150,122,115,111,112,133,122,151,153,161,""
08,176,164,175,167,173,197,164,184,206,191,175,169,147,149,136,110,100,112,119,135,161,171,172,162,""
09,171,168,169,192,184,176,192,186,177,195,169,154,130,148,130,113,90,110,121,129,154,148,145,167,""
10,125,167,187,176,179,186,182,161,177,159,144,158,138,133,128,113,119,131,123,141,128,135,156,175,""
11,192,182,168,197,206,194,171,183,188,148,142,162,144,122,132,116,97,106,108,138,141,155,157,156,""
12,166,161,184,185,184,195,174,173,166,167,168,140,139,127,138,125,107,106,123,134,139,159,182,145,""
13,163,160,189,185,175,166,183,206,178,171,162,143,132,120,108,114,125,116,139,126,171,146,158,163,""
14,182,171,200,165,182,172,191,194,186,189,173,155,169,121,116,100,92,135,126,144,158,164,158,158,""
15,177,180,194,182,188,193,191,204,150,174,167,150,159,137,123,120,114,112,133,118,122,160,170,177,""
16,180,176,175,170,179,177,214,180,178,166,147,162,137,138,121,117,110,100,104,133,121,151,167,156,""
17,161,179,175,172,185,179,192,190,173,167,171,135,145,130,119,103,117,110,110,135,153,131,144,173,""
18,157,156,181,182,208,192,191,179,180,169,167,130,113,119,128,108,125,114,118,113,168,140,142,162,""
19,173,173,201,194,170,207,200,179,157,173,149,147,137,125,116,102,114,118,127,133,162,152,159,148,""
20,160,174,161,172,213,175,182,203,168,177,135,155,127,122,118,128,135,97,109,150,136,162,168,165,""
21,166,169,179,185,182,189,173,203,174,173,175,135,120,135,103,109,110,109,108,124,137,143,151,161,""
22,168,164,171,167,175,168,183,195,183,169,147,184,121,113,119,108,102,99,104,124,142,158,164,165,""
23,155,176,149,162,186,155,176,176,193,192,143,156,147,133,121,109,97,88,118,121,117,147,152,142,""
24,153,135,173,168,185,184,172,195,195,181,145,122,132,120,124,101,120,104,121,129,128,157,152,170,""
25,162,149,186,162,198,181,176,215,196,162,155,150,128,124,96,109,101,111,141,126,152,178,157,160,""
26,164,145,171,175,169,156,174,183,184,158,132,126,131,128,107,115,112,105,113,120,137,129,162,151,""
27,161,161,142,171,176,174,177,156,165,164,151,130,124,112,89,104,101,91,98,135,140,161,138,141,""
28,147,143,131,166,157,162,171,173,156,161,138,136,124,122,95,105,98,100,79,129,142,153,139,141,""
29,166,150,172,167,167,143,152,181,199,184,164,151,145,106,125,103,100,102,116,118,135,162,154,149,""
30,144,144,166,158,159,153,171,187,165,182,172,137,138,110,110,116,106,80,91,125,135,143,164,141,""
31,153,153,157,160,156,164,155,159,145,164,131,137,124,100,94,87,101,34,103,117,120,130,134,-1,""
