feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,3,2,7,2,2,7,1,3,10,7,5,2,7,8,11,6,2,-1,1,1,3,5,3,5,""
02,6,5,7,5,7,4,6,2,5,10,3,6,5,33,14,6,2,5,3,1,1,2,1,-1,""
03,5,5,11,5,4,12,27,5,7,8,6,4,6,14,5,3,5,2,3,4,4,-1,8,11,""
04,3,12,3,8,4,10,7,4,3,4,6,5,11,7,6,4,2,6,8,3,6,6,2,3,""
05,1,5,5,10,3,4,6,11,2,11,4,8,5,1,3,4,5,3,7,2,2,-1,5,2,""
06,2,4,4,6,9,4,6,7,6,2,5,5,5,2,2,3,5,3,7,4,1,1,7,4,""
07,8,16,5,6,7,6,6,8,6,5,11,9,5,2,-1,5,1,2,3,1,1,3,3,6,""
08,5,2,2,2,6,7,6,7,3,2,2,3,2,3,5,-1,-1,-1,11,4,4,-1,1,11,""
09,2,3,6,3,6,6,2,6,4,4,7,2,8,3,4,-1,6,3,3,3,3,5,4,6,""
10,8,6,5,3,5,5,7,2,5,4,6,10,13,8,6,8,6,3,3,2,3,6,1,16,""
11,3,2,6,4,3,2,6,3,7,10,5,6,4,18,4,2,4,2,3,3,6,3,9,3,""
12,1,4,2,4,7,5,11,5,4,6,3,2,10,10,7,22,7,8,1,4,8,9,1,5,""
13,3,4,3,5,3,4,8,8,6,10,8,7,2,6,2,1,4,2,3,3,3,3,3,4,""
14,2,5,4,5,3,10,6,6,4,5,4,4,8,5,3,13,5,2,2,4,2,10,7,7,""
15,2,9,2,6,6,5,6,3,4,3,5,10,3,5,5,6,7,10,1,11,7,4,8,20,""
16,3,3,5,11,3,6,2,7,3,4,2,6,4,10,2,1,5,4,2,2,3,2,2,3,""
17,6,4,5,1,5,4,5,5,6,4,5,3,32,41,5,2,3,2,3,5,4,7,4,6,""
18,5,2,4,5,6,6,5,6,8,6,2,3,7,7,5,3,6,1,3,3,6,4,5,10,""
19,1,5,4,3,6,5,10,9,11,6,8,9,10,4,2,2,5,1,5,5,3,1,4,9,""
20,5,3,5,5,6,7,5,7,10,6,5,6,1,4,2,8,1,2,5,3,3,2,1,3,""
21,4,17,1,3,6,6,9,11,8,4,2,9,6,4,4,9,2,2,1,6,2,1,5,5,""
22,6,6,6,6,3,12,2,5,6,4,7,6,5,4,3,3,2,1,5,4,2,4,1,7,""
23,4,6,5,1,3,6,7,6,4,6,10,4,4,6,5,4,6,5,2,3,4,4,3,5,""
24,5,3,2,6,6,3,5,10,8,7,2,5,7,6,22,5,2,2,3,3,-1,5,4,4,""
25,1,4,1,2,8,6,4,6,4,4,7,7,2,3,2,2,4,8,3,2,3,2,3,5,""
26,8,5,5,6,23,5,7,9,13,4,10,11,6,7,4,6,3,3,3,5,2,2,1,3,""
27,8,6,8,9,4,4,14,1,4,3,7,7,6,3,5,4,11,2,2,3,2,2,6,1,""
28,2,2,4,1,2,5,4,7,4,5,2,3,2,4,2,2,2,4,4,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
