aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,26,33,26,18,22,26,17,15,10,22,12,9,11,8,8,10,5,2,7,9,4,4,20,22,""
02,16,31,21,16,31,22,15,14,0,0,4,14,7,10,8,7,5,2,8,9,8,14,11,16,""
03,15,26,22,20,23,19,14,15,9,8,9,9,9,8,8,6,3,3,3,9,5,3,16,18,""
04,17,13,25,21,36,23,14,11,14,9,8,11,6,8,9,7,5,6,3,4,3,6,14,13,""
05,19,8,21,22,25,23,12,19,20,15,14,10,7,9,9,3,7,5,5,5,12,12,21,21,""
06,24,15,24,22,24,26,20,23,22,27,21,11,15,14,15,11,9,15,8,8,9,9,13,24,""
07,30,28,34,28,43,31,36,25,19,28,20,24,13,16,12,9,15,7,12,12,11,17,23,19,""
08,23,21,27,28,30,26,29,19,26,20,16,18,19,15,11,9,8,6,10,9,11,14,11,18,""
09,23,16,26,18,25,42,34,18,22,12,11,9,10,14,9,8,5,6,13,8,10,12,18,19,""
10,25,23,33,28,28,42,30,19,24,4,17,21,10,21,13,15,9,8,5,9,10,8,11,19,""
11,32,36,24,27,36,40,26,29,23,22,31,21,18,17,18,7,13,8,12,15,11,16,36,27,""
12,35,26,44,52,49,44,49,36,37,30,29,36,35,26,21,14,10,17,7,12,23,18,33,46,""
13,37,54,63,57,87,77,58,54,49,45,54,37,29,26,25,22,12,22,13,17,13,35,37,37,""
14,39,50,42,45,43,41,44,42,44,31,40,34,23,21,35,13,15,8,8,11,10,8,21,32,""
15,30,33,35,31,52,51,44,36,22,30,24,19,27,22,22,15,14,13,11,14,11,12,19,20,""
16,15,30,30,16,28,27,22,26,26,25,28,18,16,18,15,11,8,7,12,8,10,14,13,13,""
17,29,31,23,23,39,30,22,19,16,33,28,11,25,10,14,6,7,11,8,11,7,17,20,20,""
18,23,23,21,22,28,35,19,21,19,17,22,16,14,14,11,8,5,6,6,9,11,17,14,13,""
19,26,26,18,15,22,25,18,20,24,17,20,17,11,13,21,10,6,9,14,3,6,12,15,15,""
20,13,28,24,17,22,22,20,13,15,15,11,12,8,12,12,10,8,6,12,6,11,9,14,26,""
21,15,19,22,20,17,15,15,13,16,17,8,13,20,13,6,14,10,7,8,10,10,13,14,16,""
22,19,22,15,20,19,24,22,24,14,13,16,17,16,11,10,8,12,11,7,6,6,17,13,18,""
23,18,14,24,20,17,10,13,22,20,15,8,12,8,7,7,10,4,12,4,7,9,21,12,9,""
24,10,11,14,14,14,13,19,15,16,11,21,18,12,10,15,6,5,8,6,10,7,14,14,13,""
25,20,15,21,11,14,16,14,16,14,23,10,9,15,5,10,10,9,10,8,14,11,10,20,14,""
26,5,18,13,11,28,24,10,22,10,14,9,10,12,25,6,14,11,8,7,11,12,16,18,14,""
27,7,18,15,23,17,13,17,13,15,18,26,12,22,10,12,6,6,8,10,7,5,10,12,8,""
28,14,18,15,19,16,9,15,13,18,14,10,7,19,7,14,12,10,9,5,7,11,15,17,22,""
29,8,19,19,18,20,24,23,18,27,15,16,11,15,15,8,8,11,5,7,12,12,20,13,15,""
30,16,21,19,13,15,30,20,8,11,21,16,18,28,16,15,13,11,4,4,8,10,15,15,23,""
31,20,17,22,11,15,9,20,16,16,11,17,15,10,22,9,16,13,9,9,13,12,17,17,-1,""
