aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,81,87,93,83,67,71,101,72,66,24,96,70,94,71,56,77,77,74,81,95,59,66,90,94,""
02,81,87,98,75,65,71,81,92,82,72,91,83,96,98,71,70,68,75,83,98,97,81,95,77,""
03,82,80,94,91,90,89,121,65,66,65,72,70,83,79,80,91,90,84,69,80,77,88,80,86,""
04,113,82,61,91,86,72,69,85,92,63,66,89,74,93,85,127,79,86,110,69,71,77,79,90,""
05,98,89,67,85,77,57,64,86,88,80,78,87,106,81,48,-1,89,72,64,94,80,85,70,83,""
06,81,80,83,78,93,24,11,55,71,81,72,87,71,72,92,85,94,104,86,82,76,92,100,108,""
07,85,77,82,87,78,77,79,70,95,79,83,82,102,88,64,87,91,90,75,72,94,81,100,80,""
08,88,82,95,81,69,81,58,23,-1,25,79,80,94,95,108,87,93,91,73,71,76,94,85,76,""
09,85,80,73,87,69,67,77,91,76,73,65,72,91,84,83,88,70,85,70,77,77,87,79,87,""
10,85,88,101,85,94,78,96,97,101,89,92,103,98,91,74,71,99,97,96,81,73,93,103,85,""
11,84,88,96,99,97,90,73,79,90,83,83,85,81,90,88,89,78,66,70,61,93,79,90,101,""
12,104,125,120,84,190,198,112,67,20,40,-1,51,97,77,83,84,76,68,81,97,87,87,85,87,""
13,106,79,104,91,94,163,87,90,75,86,74,115,57,69,67,77,87,72,85,104,75,78,65,83,""
14,84,69,71,86,92,89,91,83,99,74,93,90,71,70,77,73,74,92,78,77,82,80,108,98,""
15,67,94,88,76,71,66,68,82,72,88,68,81,68,64,79,77,80,91,69,80,71,72,87,76,""
16,65,84,77,86,62,76,71,66,89,74,72,82,74,87,85,69,58,70,74,56,77,73,82,65,""
17,75,75,74,75,75,72,66,94,75,82,69,68,96,81,85,67,93,63,78,65,80,82,82,89,""
18,83,80,80,68,88,66,73,79,113,87,74,90,69,79,89,77,62,71,73,67,81,92,75,75,""
19,77,74,68,85,78,82,77,70,84,85,71,99,80,86,91,78,62,63,73,78,71,79,62,73,""
20,74,69,74,79,65,84,74,66,80,91,86,66,77,105,76,72,56,73,75,66,86,112,102,86,""
21,62,94,71,79,94,90,94,79,75,92,67,78,88,72,69,90,88,68,63,81,83,79,88,72,""
22,74,81,64,81,78,69,70,85,85,71,74,71,64,74,95,75,67,76,93,71,80,71,88,75,""
23,84,62,76,77,85,82,87,81,77,85,89,62,80,65,76,91,74,97,77,91,67,75,83,75,""
24,74,82,78,76,78,84,73,68,64,74,71,79,70,71,76,68,70,70,70,67,73,62,73,76,""
25,77,83,81,78,57,87,73,92,62,84,65,66,59,74,110,73,89,72,69,77,80,73,62,74,""
26,76,75,94,83,70,61,72,79,83,70,58,73,76,77,116,7,72,118,71,150,72,76,78,65,""
27,96,75,97,89,65,81,68,81,63,76,58,85,73,70,78,75,86,63,77,122,69,62,81,115,""
28,79,72,82,89,77,103,81,88,94,96,68,89,100,88,90,69,92,66,82,72,148,78,174,86,""
29,73,73,77,115,108,100,86,100,77,77,78,63,75,75,75,74,88,82,71,63,81,76,94,98,""
30,61,86,76,82,69,70,86,65,79,73,71,88,62,55,58,81,89,89,80,76,82,69,97,93,""
31,75,82,80,82,89,76,78,86,76,77,75,58,67,66,62,71,75,69,57,83,76,77,88,77,""
