jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,3,1,1,2,0,1,4,0,2,0,0,0,3,2,1,1,0,0,2,1,0,0,1,""
02,0,2,1,0,1,0,1,3,2,0,2,2,2,1,2,2,1,0,1,0,0,1,0,2,""
03,0,1,0,0,4,1,2,5,3,2,2,2,0,4,2,1,0,0,0,0,0,1,0,0,""
04,1,0,0,0,0,2,3,1,1,3,2,0,4,3,1,1,0,0,0,0,1,1,0,0,""
05,0,0,2,3,1,4,5,5,3,1,0,3,5,2,2,3,1,0,1,0,1,0,1,0,""
06,0,0,3,1,0,2,3,2,2,2,1,3,5,3,3,1,1,0,0,0,0,0,0,1,""
07,0,0,1,2,1,1,2,3,0,4,0,2,4,1,0,0,1,1,1,0,1,0,0,0,""
08,0,3,1,1,1,5,0,2,2,0,1,2,3,2,3,1,0,0,0,1,0,0,1,0,""
09,0,1,1,1,3,2,1,3,2,3,3,3,0,1,1,1,3,0,0,0,0,0,1,1,""
10,0,0,0,0,0,1,1,1,3,1,2,1,2,2,2,1,1,0,1,0,0,1,1,0,""
11,2,0,0,2,2,4,3,0,1,2,1,2,7,2,4,2,1,1,0,0,0,0,0,0,""
12,1,1,4,0,3,2,6,2,4,3,2,2,5,2,1,2,0,-1,-1,-1,-1,-1,-1,-1,""
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,""
20,3,1,3,0,3,2,5,4,2,3,1,1,7,2,4,0,2,0,0,1,0,0,0,0,""
21,5,1,2,6,4,5,2,2,2,4,5,4,1,3,2,2,0,0,0,0,0,0,2,1,""
22,0,1,2,0,0,3,3,2,1,2,2,4,16,1,0,0,2,1,1,0,8,0,1,0,""
23,0,2,1,0,4,2,1,3,1,2,1,3,3,2,2,5,2,3,1,11,0,0,0,2,""
24,1,3,1,3,4,1,2,2,3,8,1,3,0,1,3,0,0,1,0,5,12,6,1,0,""
25,0,1,1,4,2,0,2,4,0,1,4,3,7,1,11,4,0,0,0,0,0,0,1,2,""
26,2,3,4,2,1,0,4,5,3,0,1,2,2,6,1,1,0,1,0,1,1,0,0,0,""
27,1,1,1,3,1,3,5,4,2,1,0,2,3,3,4,1,1,0,1,0,5,0,1,2,""
28,2,5,3,5,2,0,3,2,2,1,1,1,4,16,1,3,0,0,1,1,0,0,1,3,""
29,0,2,1,0,4,6,3,1,3,2,5,3,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
