sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,12,11,10,6,4,3,2,2,5,5,8,9,3,8,10,8,5,17,11,17,9,12,10,""
02,11,11,6,-1,5,6,4,11,6,3,3,7,9,7,7,4,11,4,9,11,14,13,5,5,""
03,15,10,7,4,4,6,2,4,5,4,4,9,3,4,10,3,8,5,4,9,15,8,9,8,""
04,8,5,7,5,8,2,3,2,1,2,3,2,5,4,8,7,4,4,12,10,15,14,14,12,""
05,12,5,3,8,7,6,3,5,4,5,7,-1,6,4,10,3,9,5,18,12,15,12,14,14,""
06,8,6,6,6,5,5,3,3,1,2,5,2,10,15,8,9,6,16,8,4,13,13,7,9,""
07,8,8,9,5,3,5,3,6,-1,1,5,8,3,9,5,11,11,7,12,11,6,11,11,21,""
08,16,10,8,6,10,11,3,2,-1,1,5,6,8,10,12,6,9,12,11,10,10,9,17,16,""
09,13,6,5,3,7,6,6,4,5,4,5,3,6,7,13,5,3,8,6,10,16,11,17,14,""
10,13,9,7,7,7,2,9,3,6,2,5,4,4,6,6,7,7,15,9,13,19,16,11,17,""
11,9,8,11,4,14,9,9,6,6,2,4,2,6,6,3,8,12,7,11,8,17,13,11,11,""
12,9,10,5,12,7,5,4,2,4,3,4,1,5,7,11,7,9,6,8,10,15,8,13,16,""
13,11,9,6,1,8,4,2,7,7,4,4,5,8,8,8,8,1,4,5,8,15,14,9,9,""
14,12,6,4,11,7,5,5,4,4,1,6,4,5,8,7,7,5,8,1,19,14,7,12,13,""
15,10,6,8,5,5,8,3,2,5,2,-1,6,9,7,8,7,8,10,6,7,12,14,15,19,""
16,8,10,4,8,6,3,5,3,2,3,6,4,5,11,7,7,9,6,12,9,4,15,17,18,""
17,17,11,12,8,6,9,2,3,4,2,8,8,3,11,12,4,9,10,13,18,12,11,15,14,""
18,15,14,3,8,6,5,8,12,6,2,9,5,2,8,11,8,8,8,7,6,8,10,11,15,""
19,18,14,9,8,7,9,4,3,4,2,3,6,7,8,6,6,9,6,9,11,20,12,13,11,""
20,18,9,5,8,8,2,9,6,7,3,4,6,5,4,5,7,7,9,13,9,11,10,12,13,""
21,13,7,10,8,8,4,2,3,2,1,2,7,4,8,8,4,5,6,14,15,13,7,14,11,""
22,9,8,3,9,6,5,5,3,2,5,5,8,7,9,6,7,3,5,13,11,12,14,12,9,""
23,12,6,7,6,2,10,5,1,3,4,3,5,5,5,8,6,3,11,9,6,9,16,16,16,""
24,15,7,5,5,3,4,8,2,2,5,6,7,6,5,10,7,6,8,9,9,6,11,16,15,""
25,22,11,9,4,11,6,10,6,1,5,1,3,4,9,5,7,8,6,11,5,17,12,11,16,""
26,8,8,10,7,7,2,4,5,4,1,-1,5,3,9,2,7,8,4,12,9,6,19,19,16,""
27,7,5,10,10,10,4,4,4,2,5,3,5,5,9,6,6,4,8,11,18,11,14,17,8,""
28,13,12,13,9,6,4,5,3,3,2,2,2,6,3,9,-1,4,4,6,6,6,7,11,10,""
29,5,13,8,14,6,4,1,3,5,1,4,-1,1,4,4,3,2,1,3,6,2,6,6,9,""
30,6,6,2,4,3,1,-1,5,4,9,-1,5,1,3,2,1,2,2,5,6,2,5,10,3,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
