sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,24,23,27,34,38,29,33,24,28,24,22,13,20,15,10,15,9,12,23,16,14,19,31,41,""
02,37,30,21,35,38,35,31,20,30,21,19,13,8,33,21,14,11,15,16,10,16,25,36,45,""
03,37,39,63,52,47,55,49,47,45,49,38,25,24,11,23,22,20,20,28,18,30,36,52,36,""
04,44,40,46,49,59,39,58,36,42,25,28,25,30,30,22,21,25,13,10,21,18,24,41,54,""
05,44,28,35,44,33,46,24,43,49,38,31,32,22,19,23,12,12,8,39,46,25,25,33,25,""
06,36,26,35,35,44,51,44,50,50,30,40,30,26,21,20,25,6,19,10,25,20,38,38,44,""
07,43,27,53,41,51,43,53,47,38,45,26,22,30,26,26,21,12,14,33,25,34,26,45,41,""
08,47,45,31,36,45,49,35,45,62,40,38,34,23,25,20,28,20,11,12,36,24,28,40,44,""
09,37,38,40,46,62,61,44,52,37,39,35,29,31,30,19,17,10,16,44,25,32,40,57,52,""
10,46,38,43,52,43,42,56,37,29,58,33,36,38,26,26,19,19,19,36,23,27,41,40,40,""
11,51,45,39,46,66,47,40,32,55,41,47,32,31,29,34,38,33,34,52,38,24,42,45,45,""
12,54,54,57,53,61,52,46,52,45,54,42,39,38,59,51,31,30,25,33,23,28,47,38,50,""
13,57,57,39,68,51,56,73,75,64,55,43,27,33,46,69,70,44,17,35,-1,-1,-1,-1,-1,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,31,19,14,20,14,22,17,125,23,17,19,24,36,""
18,31,23,37,27,30,28,33,35,31,32,37,22,15,20,17,12,17,14,70,54,16,17,30,32,""
19,24,18,23,32,30,30,21,38,31,26,32,36,26,21,14,10,18,10,111,15,22,19,43,23,""
20,41,40,19,27,34,33,33,39,30,32,27,37,28,13,14,12,6,11,30,16,22,35,38,27,""
21,36,30,21,32,33,33,27,31,32,35,21,17,16,15,21,17,17,10,37,40,14,25,23,32,""
22,29,22,25,30,31,28,33,40,39,34,22,20,16,23,17,14,12,12,31,34,23,23,29,27,""
23,25,22,33,27,40,43,29,37,37,42,35,30,20,19,15,15,20,11,43,31,20,18,26,33,""
24,23,29,28,28,34,39,31,37,36,36,20,17,14,18,22,14,13,9,22,24,27,23,29,32,""
25,29,30,24,21,30,33,40,20,27,27,29,24,19,13,17,17,16,12,31,12,21,13,38,29,""
26,36,29,32,34,44,42,36,41,31,36,33,18,34,15,21,12,13,9,15,157,22,31,32,35,""
27,26,30,27,33,37,46,36,42,33,31,27,28,31,16,10,7,13,15,14,104,23,29,21,29,""
28,24,37,28,29,30,42,39,41,46,36,30,21,13,23,17,15,10,16,11,22,23,25,28,27,""
29,33,24,32,35,43,52,63,57,42,33,41,44,24,25,22,13,22,32,14,17,14,28,36,26,""
30,23,26,25,35,40,24,47,40,51,58,39,38,30,20,13,18,17,13,10,7,23,27,33,37,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
