nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,8,7,27,14,13,16,19,14,17,17,10,7,15,11,13,17,21,15,11,16,18,13,11,18,""
02,18,16,9,16,12,12,22,22,18,21,8,12,9,8,12,23,11,12,9,11,11,23,4,18,""
03,19,11,8,12,21,12,16,34,14,12,27,19,18,18,8,10,13,15,20,12,15,18,18,4,""
04,10,8,9,11,13,16,18,26,15,12,16,13,17,18,15,20,18,15,12,16,15,18,8,5,""
05,7,21,10,17,6,10,14,22,14,18,16,9,17,15,16,9,12,16,13,10,8,11,13,17,""
06,10,16,29,24,27,17,20,15,21,12,10,7,8,10,21,21,9,21,18,16,10,23,15,10,""
07,12,10,9,11,13,7,10,31,21,10,18,6,12,10,16,14,17,15,11,8,11,12,11,10,""
08,17,10,8,12,9,10,15,18,20,16,11,16,13,12,8,12,8,14,7,10,2,14,12,15,""
09,9,10,10,10,14,16,16,7,19,11,14,34,6,19,13,12,14,13,13,7,13,8,12,16,""
10,7,10,7,11,8,15,22,17,29,10,22,25,14,10,17,7,17,14,15,10,6,19,17,23,""
11,19,16,7,8,6,8,11,17,12,8,13,11,10,11,6,12,12,11,12,15,13,14,6,14,""
12,9,8,18,23,15,13,10,19,15,13,9,10,11,12,9,14,10,15,14,5,10,9,15,19,""
13,8,11,12,18,14,8,16,15,8,8,9,13,13,14,18,19,14,9,10,11,9,6,14,10,""
14,12,14,12,6,8,15,12,12,12,13,10,19,13,11,16,10,11,12,13,12,14,7,12,14,""
15,17,6,14,12,13,12,15,23,8,19,11,13,15,15,13,12,20,19,17,16,18,12,9,12,""
16,16,18,10,11,13,8,21,16,13,23,12,15,10,13,15,16,7,13,15,7,12,14,8,13,""
17,8,11,13,6,6,15,15,12,6,13,8,10,8,13,15,14,15,16,7,13,10,15,15,12,""
18,16,10,14,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,4,21,20,31,11,9,20,17,12,18,19,12,11,12,17,14,9,17,22,19,20,21,10,""
20,20,12,19,26,14,15,16,16,18,15,13,10,11,11,19,22,11,15,12,18,9,19,25,12,""
21,12,17,31,26,16,9,26,19,17,11,15,8,6,13,14,12,14,15,11,17,14,16,13,11,""
22,13,10,12,10,13,12,19,20,27,16,7,16,10,15,25,19,9,13,12,9,8,10,12,10,""
23,12,13,15,7,8,22,27,21,23,12,14,12,8,15,15,16,13,13,12,17,17,15,13,13,""
24,14,9,7,16,11,11,15,10,17,12,10,15,13,12,15,11,12,9,13,9,10,10,10,9,""
25,16,5,5,14,16,11,12,13,10,11,9,17,17,14,11,12,23,23,19,17,9,17,6,12,""
26,12,11,7,17,12,10,18,23,19,10,13,8,12,12,21,29,18,14,17,17,13,21,14,19,""
27,18,5,10,29,10,12,11,15,13,14,16,16,18,16,12,33,7,20,12,19,11,9,15,19,""
28,15,11,11,12,17,24,20,20,21,11,9,15,13,8,16,11,15,16,9,14,17,17,11,21,""
29,13,13,14,12,20,9,14,13,22,17,12,10,11,20,9,28,12,20,20,9,12,15,29,20,""
30,38,20,14,16,8,6,18,29,37,22,21,15,27,22,18,14,11,15,8,17,23,11,25,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
