aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,2,6,7,3,13,3,2,4,0,1,1,0,1,1,0,1,0,0,0,1,1,3,0,3,""
02,1,1,3,4,3,2,2,6,1,0,0,6,3,5,5,61,91,74,59,111,112,57,64,75,""
03,82,92,105,80,66,64,152,85,145,85,141,125,137,104,109,130,42,44,60,51,41,54,66,69,""
04,84,91,76,54,69,173,136,101,102,81,122,122,133,94,48,68,79,69,66,94,63,33,58,70,""
05,93,59,42,17,7,15,99,88,81,62,85,82,88,43,74,72,58,49,47,67,37,54,55,58,""
06,68,70,86,89,109,156,91,51,110,130,103,127,102,94,50,114,71,65,35,107,61,52,69,66,""
07,57,84,101,76,107,31,104,95,97,74,85,114,82,56,67,92,79,30,49,83,68,71,49,58,""
08,57,83,72,65,106,99,122,79,137,118,124,172,129,90,64,71,63,67,44,66,67,75,59,71,""
09,81,84,88,42,23,9,32,125,102,111,74,108,93,55,67,54,66,54,73,62,57,58,68,74,""
10,66,72,86,95,136,185,209,155,190,86,74,95,176,109,58,124,84,47,46,40,39,80,77,74,""
11,35,15,12,7,2,5,14,132,141,118,80,102,81,76,75,86,64,64,64,103,53,73,18,11,""
12,3,11,7,6,9,6,3,67,132,93,120,122,96,80,76,60,73,60,61,100,94,19,4,8,""
13,4,10,19,7,4,3,4,27,103,94,129,97,91,86,57,84,71,83,50,47,57,58,79,72,""
14,41,49,33,23,32,18,23,136,146,109,100,139,109,79,66,107,90,47,50,55,68,38,4,7,""
15,6,10,13,8,8,3,2,6,70,105,124,126,132,122,104,135,74,59,34,54,27,4,4,3,""
16,3,2,4,1,3,2,1,4,70,109,90,126,156,94,89,91,74,67,74,74,75,62,13,20,""
17,20,33,30,38,85,119,101,95,123,81,117,150,100,90,96,82,76,82,63,92,28,25,32,59,""
18,51,65,55,60,66,100,85,73,39,2,0,1,0,0,0,0,0,0,2,1,1,23,34,56,""
19,56,61,71,75,84,112,84,77,40,5,0,0,0,0,1,1,0,2,8,36,34,41,58,66,""
20,63,77,50,63,112,127,94,43,13,1,0,0,0,0,0,0,0,0,1,39,38,45,53,67,""
21,53,70,76,68,69,118,104,68,58,4,1,0,0,0,1,1,0,2,3,74,62,54,44,52,""
22,58,50,63,61,67,109,94,51,9,3,1,0,0,1,0,0,1,0,3,10,44,75,67,47,""
23,42,59,65,53,87,101,152,57,29,2,1,0,0,2,0,2,2,5,34,83,81,29,43,60,""
24,69,69,32,17,9,6,97,124,115,78,27,1,0,0,1,0,6,11,73,66,61,59,48,50,""
25,57,69,66,50,99,107,69,75,79,44,81,95,45,23,15,7,9,13,13,17,21,39,53,46,""
26,35,0,0,0,0,0,0,9,31,15,0,3,0,1,1,1,1,2,13,35,42,41,43,40,""
27,45,48,53,53,76,76,82,70,20,3,3,0,1,0,0,0,0,2,3,12,30,24,13,6,""
28,3,9,8,6,15,2,1,5,1,5,1,1,0,2,0,0,0,1,2,21,42,54,56,50,""
29,48,52,54,51,57,87,73,59,37,11,3,0,0,0,1,0,2,0,2,4,14,26,40,29,""
30,49,39,16,14,15,21,16,10,44,3,2,0,0,0,1,1,2,1,2,17,22,37,47,46,""
31,51,58,52,60,93,102,106,78,77,10,0,0,0,0,0,1,1,0,10,52,71,58,-1,-1,""
