mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,39,34,46,29,32,20,23,20,19,21,12,19,13,19,10,13,7,6,7,8,11,19,30,26,""
02,53,39,40,46,46,32,22,16,20,14,16,16,12,14,11,11,8,10,7,9,24,13,32,31,""
03,31,55,29,44,37,23,9,19,17,22,14,21,5,8,9,9,15,2,11,16,7,21,15,25,""
04,28,38,35,35,33,25,21,30,24,18,17,15,13,10,7,9,3,9,5,9,13,12,22,37,""
05,24,42,35,27,26,28,24,19,25,29,21,13,8,11,5,8,4,7,1,7,13,9,17,21,""
06,33,27,34,33,31,26,18,25,22,26,24,18,10,13,7,3,10,7,3,15,13,18,15,33,""
07,36,29,41,42,39,32,19,14,15,23,29,15,19,11,16,10,9,8,15,20,20,27,27,42,""
08,60,51,60,45,49,32,23,21,24,13,17,23,13,12,14,10,8,9,5,17,21,20,29,35,""
09,36,35,43,37,34,30,22,9,28,22,18,15,15,21,15,11,9,10,10,16,22,14,27,30,""
10,49,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,15,9,12,16,21,27,""
13,32,37,40,45,38,32,22,29,31,18,14,22,11,11,15,7,7,7,12,12,16,20,30,33,""
14,47,31,39,62,30,36,19,22,18,28,19,12,14,8,6,7,11,7,8,16,13,20,23,38,""
15,45,39,46,43,44,32,28,18,26,26,23,30,27,17,8,14,9,11,11,24,11,31,14,46,""
16,44,59,45,53,43,40,22,14,33,25,26,19,13,16,19,10,14,13,7,10,14,17,38,40,""
17,55,36,39,32,27,18,7,11,10,10,8,4,3,1,2,9,11,12,14,18,17,22,26,27,""
18,36,39,46,26,42,29,28,17,31,26,18,16,19,20,8,9,5,7,12,18,28,28,44,36,""
19,50,60,62,60,42,46,37,32,46,25,39,22,2,16,16,16,11,8,16,12,21,23,28,29,""
20,71,54,50,36,51,34,37,26,28,25,21,17,36,9,12,12,14,5,17,9,17,29,38,43,""
21,34,43,31,42,36,42,31,34,31,16,21,13,23,11,18,10,13,12,-1,14,15,16,21,24,""
22,40,34,33,27,23,17,17,22,15,13,15,16,8,9,7,12,8,16,14,23,12,21,21,27,""
23,34,29,36,31,36,32,26,16,16,22,17,10,0,2,8,10,17,6,6,12,16,36,35,34,""
24,52,45,51,72,48,22,24,23,30,31,15,16,6,21,13,17,7,9,11,13,21,24,24,42,""
25,36,37,39,39,31,42,15,32,35,30,32,15,1,13,15,11,10,13,13,24,12,28,22,31,""
26,31,33,45,36,31,28,28,27,22,25,16,2,0,1,4,8,8,12,14,9,9,16,22,35,""
27,39,40,45,34,41,27,25,34,30,29,25,19,2,14,13,16,15,15,14,13,-1,27,29,39,""
28,49,41,53,41,28,32,20,31,25,23,24,20,17,24,14,13,11,9,6,8,13,29,23,45,""
29,34,33,38,33,30,30,25,45,34,26,32,20,19,18,21,11,8,19,12,21,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
