sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
13,19,14,10,11,20,22,24,11,11,6,10,9,15,16,11,17,10,18,24,13,7,10,23,14,""
14,15,13,14,15,14,9,13,13,12,13,14,6,19,15,9,12,9,15,14,9,14,7,14,9,""
15,10,18,18,21,19,17,11,14,22,13,22,12,13,21,7,6,13,16,15,9,13,12,9,9,""
16,19,14,18,15,12,11,22,20,10,14,13,15,19,7,12,-1,-1,-1,-1,12,14,18,20,17,""
17,30,31,18,20,19,26,17,19,23,19,25,-1,-1,-1,-1,-1,-1,-1,17,13,15,24,21,23,""
18,19,26,19,20,22,24,19,31,24,31,20,19,22,16,12,-1,-1,-1,19,25,18,24,16,19,""
19,20,23,20,26,25,29,24,29,31,26,17,20,16,26,16,17,18,17,16,15,17,19,20,34,""
20,24,29,24,22,26,21,25,21,-1,-1,-1,-1,-1,39,38,34,25,17,10,14,18,16,21,37,""
21,29,25,18,20,19,31,25,16,36,28,38,31,28,20,19,21,20,23,21,17,32,28,32,30,""
22,22,11,13,17,19,23,23,23,19,22,25,30,21,23,23,18,15,31,16,17,21,24,17,14,""
23,19,10,16,34,23,-1,-1,-1,-1,8,30,23,31,22,20,24,16,29,18,22,19,29,21,25,""
24,43,23,26,25,26,20,34,-1,-1,-1,-1,15,29,18,26,22,17,21,17,20,23,22,25,28,""
25,30,27,20,22,24,34,33,30,16,23,25,32,25,25,24,21,24,21,25,28,21,29,21,17,""
26,23,28,26,23,23,34,30,32,28,21,23,17,20,20,23,27,14,25,17,13,29,17,15,19,""
27,16,28,30,24,24,31,25,21,20,20,31,29,21,16,29,-1,19,21,18,12,19,15,23,17,""
28,27,17,18,27,18,24,21,21,21,20,23,29,32,26,24,34,15,15,21,17,15,15,26,25,""
29,25,13,20,25,19,30,25,23,20,20,19,17,29,9,17,24,24,18,21,20,27,17,22,20,""
30,19,36,26,21,29,36,31,38,21,27,23,25,30,24,18,23,17,15,23,19,21,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]elleI}ly`'a,""
