jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,145,144,169,176,219,220,240,198,181,145,166,182,164,153,125,146,125,104,97,96,94,106,132,139,""
02,156,141,178,185,250,264,231,191,197,180,181,190,179,163,142,165,142,121,109,117,116,127,123,132,""
03,150,157,154,181,241,280,259,216,206,196,176,185,162,173,147,146,124,89,101,93,94,101,122,126,""
04,137,137,172,178,218,267,244,220,183,181,193,187,199,199,143,155,139,94,97,121,112,120,126,130,""
05,142,141,170,196,251,296,296,224,200,176,183,210,194,137,150,138,102,116,87,108,106,116,134,138,""
06,157,148,168,208,250,270,240,258,247,201,205,207,225,211,173,150,131,99,94,110,101,108,122,129,""
07,125,133,168,173,235,277,282,244,202,212,230,212,256,186,182,153,134,109,86,98,103,96,115,129,""
08,113,150,154,190,267,289,220,213,209,209,209,227,217,197,174,159,130,95,94,83,92,112,130,138,""
09,134,150,178,236,240,269,249,232,204,203,214,200,251,185,231,164,121,96,97,84,114,100,105,118,""
10,123,135,157,219,249,282,273,232,233,247,280,284,277,240,217,191,156,111,106,114,104,105,123,138,""
11,135,150,193,236,342,335,309,290,256,300,287,255,235,232,218,176,166,98,125,115,121,107,113,156,""
12,158,154,198,260,300,299,261,219,185,211,255,237,259,260,231,187,156,114,98,90,111,87,115,116,""
13,138,149,174,246,292,299,263,230,205,202,250,281,255,243,200,178,137,92,87,95,98,97,105,134,""
14,116,157,143,223,296,286,249,242,205,208,227,263,231,245,176,169,141,106,115,106,123,123,142,142,""
15,146,183,191,259,323,336,273,239,231,233,267,281,260,238,205,206,147,114,122,115,126,131,147,143,""
16,133,137,180,247,279,290,251,238,237,231,242,267,250,227,175,154,153,129,113,99,114,107,116,130,""
17,139,163,188,224,298,325,281,270,239,235,251,246,244,226,171,157,149,119,115,107,118,113,122,122,""
18,131,157,189,250,256,290,249,209,219,221,229,221,197,185,159,139,147,134,123,113,112,91,121,158,""
19,143,146,152,203,224,288,265,234,184,176,188,215,191,172,141,159,132,102,124,105,117,90,99,93,""
20,112,130,148,184,196,223,194,237,190,175,203,213,242,201,155,168,126,116,103,89,103,103,113,124,""
21,125,164,167,214,255,315,245,242,207,201,193,200,194,168,178,153,128,132,101,99,111,123,129,127,""
22,141,181,180,221,267,278,272,235,209,188,216,233,199,212,158,153,116,111,140,109,113,122,127,141,""
23,117,135,169,221,228,240,252,202,205,183,214,232,206,179,170,135,136,128,129,120,146,146,125,142,""
24,144,169,178,220,243,291,266,234,206,197,184,191,194,192,196,170,142,116,114,107,123,106,131,139,""
25,143,150,184,227,247,252,260,227,213,197,184,207,193,180,182,149,144,128,130,125,150,130,147,159,""
26,156,149,183,230,250,263,247,228,226,200,184,219,212,185,145,142,152,132,123,120,117,130,139,141,""
27,150,163,191,213,259,245,253,205,175,184,180,182,171,202,172,137,140,112,130,110,107,129,146,166,""
28,168,172,174,221,260,257,276,232,196,199,194,183,158,168,156,152,106,83,104,93,110,113,121,155,""
29,161,155,184,201,206,233,238,218,214,203,230,177,176,162,172,145,126,130,95,123,123,131,128,144,""
30,157,165,151,205,234,241,245,230,170,161,144,175,171,180,149,141,146,138,141,130,111,112,117,24,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
