nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,23,33,23,21,33,32,32,24,38,36,12,14,5,10,7,8,6,8,5,11,11,10,7,20,""
02,19,27,21,31,35,19,20,18,34,26,22,13,10,10,12,8,8,7,12,14,18,16,15,22,""
03,21,23,29,15,31,30,28,28,22,28,19,15,23,15,12,37,24,18,3,16,18,18,28,15,""
04,21,38,28,19,25,23,34,39,43,24,27,15,12,18,20,8,16,12,17,17,16,19,24,24,""
05,26,36,30,34,25,26,24,14,19,18,15,19,11,12,14,17,13,7,11,2,8,11,10,10,""
06,17,24,19,20,27,20,19,12,13,14,17,7,5,4,7,14,3,7,6,18,18,18,30,20,""
07,26,31,35,36,36,33,29,23,24,23,17,14,15,11,7,16,9,7,15,13,21,16,20,22,""
08,25,25,34,22,30,23,21,16,23,25,28,8,13,4,6,11,8,8,13,12,14,17,19,13,""
09,19,28,13,14,27,23,19,5,14,11,11,9,10,7,15,7,8,4,12,9,10,9,13,20,""
10,21,19,21,23,24,30,14,22,22,19,25,10,14,14,10,10,7,13,17,10,5,7,14,14,""
11,20,10,20,31,28,17,24,16,29,32,17,22,11,15,11,10,15,6,9,5,8,19,19,24,""
12,30,30,27,25,26,25,16,17,14,13,14,17,7,11,7,6,10,9,12,13,15,24,26,14,""
13,21,31,28,15,22,31,33,23,19,12,17,16,13,15,4,16,16,5,17,13,6,15,25,31,""
14,25,34,40,32,27,25,14,19,21,21,14,13,5,5,9,13,14,8,2,8,14,8,9,13,""
15,24,29,37,29,28,26,25,21,15,11,13,11,8,6,12,5,7,6,10,10,15,16,12,32,""
16,32,33,40,33,43,26,21,21,11,8,12,15,22,14,7,1,17,7,13,15,14,8,13,21,""
17,23,23,17,24,30,30,24,36,46,21,20,8,10,8,15,5,8,24,14,16,16,25,28,17,""
18,19,21,30,42,31,37,20,28,20,26,26,25,12,9,11,10,7,0,6,8,12,7,12,6,""
19,24,17,19,26,11,23,26,22,16,14,18,10,11,4,7,9,5,13,19,33,18,23,27,22,""
20,30,29,34,36,24,28,20,21,21,16,11,9,14,13,3,9,3,9,7,9,10,9,16,17,""
21,21,18,38,23,28,29,27,17,23,31,12,14,6,15,10,12,9,10,18,24,18,12,14,13,""
22,18,37,25,28,15,22,12,27,14,14,3,6,8,8,8,9,5,3,15,8,11,9,27,26,""
23,15,34,31,37,38,37,24,19,10,13,13,13,7,14,9,6,6,8,14,8,10,23,22,24,""
24,20,18,34,22,37,29,41,37,30,26,10,22,15,14,9,13,18,21,18,15,31,28,21,15,""
25,15,20,13,19,33,31,28,26,14,13,28,18,13,19,13,24,19,10,5,8,10,13,13,16,""
26,21,34,45,28,28,41,47,24,28,17,14,15,5,10,8,11,8,11,12,15,5,16,15,23,""
27,31,42,40,26,28,21,29,18,16,11,7,11,13,8,7,5,12,8,10,13,11,12,10,17,""
28,24,27,31,32,33,36,21,22,19,11,7,7,7,7,11,3,5,11,7,21,29,25,21,19,""
29,19,24,30,31,19,22,28,13,12,11,10,19,12,9,9,9,9,6,6,13,14,12,9,8,""
30,10,18,18,15,19,15,20,9,11,7,8,9,3,8,5,11,5,6,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]cfahg'jf,"zzlgzIzbpgl}'kl"
