jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,8,12,5,9,1,7,10,6,4,1,-1,1,1,0,2,3,0,0,0,0,1,30,26,8,""
02,-1,14,17,2,6,7,5,7,5,8,2,2,0,0,3,3,5,0,0,0,1,16,10,5,""
03,7,12,24,8,10,3,4,12,0,1,-1,-1,7,0,2,0,7,0,0,0,21,16,13,18,""
04,15,13,9,12,9,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,7,6,14,3,0,0,1,0,9,7,12,12,5,4,7,9,2,6,7,5,4,""
07,7,8,-1,1,11,1,3,1,8,12,6,2,7,4,6,2,0,0,0,11,8,2,18,9,""
08,5,-1,15,0,2,3,3,2,1,1,2,0,0,-1,9,2,1,0,0,0,8,40,28,28,""
09,23,27,11,8,12,23,9,15,7,7,7,3,0,0,3,7,5,0,0,0,6,30,24,13,""
10,-1,4,1,3,14,23,20,5,4,3,0,0,6,3,3,7,1,0,0,0,25,23,21,17,""
11,-1,25,1,-1,12,5,0,8,7,7,-1,0,0,6,4,5,1,0,8,2,0,9,6,11,""
12,21,9,7,8,12,12,4,1,0,1,0,0,0,1,1,1,0,0,0,0,3,-1,10,6,""
13,20,5,32,12,12,8,1,5,3,5,2,6,5,7,6,6,0,0,0,0,21,24,28,15,""
14,24,14,9,15,7,1,5,4,0,0,0,0,1,1,3,2,0,0,0,0,12,43,20,34,""
15,24,24,-1,3,19,14,7,21,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,19,13,23,19,""
16,12,1,11,16,10,10,9,11,5,2,3,5,-1,3,1,2,4,0,0,0,15,41,11,9,""
17,16,19,11,13,16,6,1,13,11,5,4,3,15,-1,5,1,0,0,0,0,17,38,37,43,""
18,28,23,31,24,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,7,11,13,7,6,4,-1,6,0,0,0,6,16,4,0,0,0,0,64,79,46,""
29,45,34,23,19,8,7,6,5,7,5,3,6,1,4,4,4,0,0,0,0,34,81,87,43,""
30,13,29,19,9,6,10,7,9,11,-1,-1,1,6,2,7,0,3,0,0,0,17,46,20,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
