jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,29,55,68,64,91,86,99,95,93,89,98,81,40,58,51,56,47,38,37,15,27,31,""
02,22,15,21,29,47,49,70,63,74,77,68,72,71,57,58,57,53,48,55,46,43,42,40,33,""
03,24,17,39,50,61,67,104,87,101,93,99,91,84,72,72,62,83,82,52,60,41,57,34,27,""
04,29,44,43,53,73,71,86,116,92,84,77,74,72,66,42,41,50,47,29,16,20,23,34,29,""
05,32,28,42,66,67,70,63,47,41,40,50,65,47,22,36,43,16,23,18,14,15,23,18,14,""
06,9,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,49,28,72,44,54,45,18,23,37,26,17,22,""
09,21,26,26,26,53,27,26,69,57,92,98,65,66,63,51,47,33,27,14,13,10,22,21,22,""
10,24,29,27,39,31,71,60,88,84,75,63,61,34,28,33,59,40,39,42,33,-1,-1,-1,19,""
11,16,22,40,45,53,61,89,86,81,101,80,65,80,61,60,54,26,25,8,5,9,14,23,15,""
12,13,7,16,19,27,35,67,54,49,73,81,82,74,66,71,62,38,0,69,89,14,26,16,21,""
13,22,41,37,28,59,92,96,90,77,97,96,78,77,62,32,39,38,16,10,-1,-1,-1,-1,-1,""
14,-1,-1,-1,32,65,84,91,95,86,104,80,61,34,61,38,26,37,27,26,23,20,20,22,27,""
15,24,19,31,44,51,73,70,86,77,60,71,56,58,54,65,51,44,37,22,14,30,36,44,4,""
16,0,18,42,47,75,68,62,79,68,65,70,81,50,60,57,45,39,41,28,19,29,28,32,21,""
17,13,13,17,45,55,61,83,70,75,66,68,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
18,-1,-1,17,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,25,20,15,25,20,16,""
19,25,35,35,43,53,51,53,44,42,43,38,60,38,30,30,19,19,20,20,-1,-1,-1,-1,-1,""
20,-1,-1,32,87,86,110,127,110,131,122,110,-1,-1,42,89,58,58,43,39,31,72,36,29,34,""
21,28,41,60,51,88,104,109,105,97,104,87,79,77,65,50,60,47,43,44,39,35,36,32,29,""
22,20,34,42,53,71,98,100,-1,-1,-1,-1,-1,-1,60,100,88,73,46,33,30,29,38,27,30,""
23,24,38,42,60,91,113,114,114,143,118,112,105,78,50,57,42,45,35,25,30,32,39,31,34,""
24,34,41,35,68,102,108,137,127,125,133,106,87,69,68,55,58,48,25,19,26,9,14,12,20,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
