jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,19,14,16,23,11,5,7,7,8,12,18,9,18,14,14,10,11,6,8,13,5,6,1,13,""
02,13,8,15,16,24,23,15,17,14,3,5,9,11,18,6,11,7,14,17,7,9,6,8,15,""
03,10,18,26,13,19,18,15,16,12,9,6,8,9,5,3,3,7,7,5,12,9,5,13,10,""
04,9,11,29,18,15,16,18,11,8,6,6,5,9,8,6,12,22,14,10,8,4,4,3,11,""
05,10,11,16,14,24,17,8,23,12,7,3,9,12,11,8,6,13,18,19,11,10,4,16,17,""
06,12,16,13,16,17,18,17,16,10,10,9,6,4,6,7,10,8,9,10,8,5,7,5,15,""
07,7,9,18,15,12,18,9,20,7,3,6,1,2,6,6,9,9,13,13,7,6,9,11,5,""
08,12,13,19,18,22,16,13,13,23,5,7,7,2,8,4,7,8,11,11,8,4,7,8,13,""
09,15,9,11,13,13,14,7,15,7,3,6,6,4,12,8,9,6,14,10,4,8,8,18,18,""
10,9,17,15,8,14,12,13,20,10,11,2,6,5,14,6,12,12,8,11,6,7,2,4,10,""
11,8,10,21,13,25,22,6,11,11,14,10,10,6,7,10,11,11,14,15,7,6,10,9,13,""
12,13,14,21,20,23,19,19,20,12,9,6,6,11,11,9,7,3,10,7,4,9,9,3,7,""
13,20,18,23,15,8,28,16,12,10,12,7,3,3,6,11,11,8,12,9,8,6,8,7,9,""
14,23,21,23,20,13,17,15,12,12,11,5,8,7,6,9,11,9,9,11,10,10,9,12,13,""
15,17,12,19,24,27,33,24,18,9,5,3,11,10,6,11,7,9,11,7,3,7,13,9,13,""
16,15,19,18,26,26,16,7,12,13,7,3,3,8,6,5,8,15,12,7,14,7,9,13,12,""
17,4,24,19,33,27,17,14,16,13,12,9,9,12,5,6,9,15,10,11,13,8,9,12,13,""
18,12,7,18,17,19,11,17,12,6,6,2,3,5,7,4,9,7,14,8,10,11,8,6,10,""
19,19,12,12,14,17,19,21,12,6,8,4,7,6,9,8,10,10,13,18,9,7,6,8,15,""
20,14,18,21,16,16,11,21,9,6,4,8,6,11,11,12,6,5,3,9,7,7,5,5,12,""
21,16,14,17,28,18,8,10,13,10,7,3,3,6,6,7,15,17,5,5,8,5,16,6,15,""
22,13,19,25,28,15,15,9,21,18,10,8,2,6,3,10,11,15,13,8,8,8,8,9,12,""
23,25,17,31,22,24,20,5,9,15,13,12,10,5,7,10,7,12,10,13,8,9,9,7,19,""
24,20,18,27,26,23,18,11,12,9,3,3,9,7,9,9,10,8,16,26,7,10,9,14,18,""
25,24,32,27,31,28,12,10,11,9,8,9,12,11,7,13,4,10,13,7,10,6,10,15,9,""
26,5,11,31,25,22,15,20,10,8,6,8,7,10,6,8,10,16,9,5,9,6,14,11,20,""
27,19,26,23,33,22,17,10,8,8,4,9,17,12,10,16,17,20,19,18,18,20,16,11,21,""
28,28,21,38,37,38,30,9,32,11,8,11,8,7,14,14,11,15,14,17,21,13,4,12,15,""
29,9,42,29,28,30,18,9,23,24,17,11,12,15,20,17,11,10,16,16,8,10,10,23,22,""
30,32,36,27,34,32,21,14,24,16,13,16,11,7,5,16,19,23,15,20,9,16,13,14,21,""
31,25,20,20,25,26,27,22,18,17,6,11,18,11,17,7,14,6,12,-1,-1,-1,-1,-1,-1,""
