jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,6,7,8,15,12,8,9,7,7,11,13,4,15,4,9,8,7,3,7,12,7,7,7,7,""
02,8,7,9,5,12,3,8,8,9,7,14,12,15,12,9,3,7,10,6,4,6,3,4,10,""
03,10,12,23,15,12,10,9,9,10,9,21,30,39,25,20,18,9,11,5,11,9,7,17,29,""
04,53,45,68,81,61,35,22,8,27,20,46,65,47,20,15,13,12,5,7,6,6,5,6,4,""
05,7,7,15,7,9,5,6,13,11,5,8,3,4,4,1,4,3,10,4,4,3,2,3,5,""
06,11,9,12,3,7,8,5,4,9,9,14,16,9,11,5,8,5,4,3,8,1,7,1,9,""
07,5,17,7,6,5,8,8,8,9,7,12,11,14,9,8,7,3,3,1,3,6,3,5,10,""
08,9,2,9,8,15,6,6,5,5,9,11,16,7,9,6,5,2,5,4,7,4,3,4,7,""
09,11,9,6,8,10,8,6,4,5,7,17,9,9,8,7,4,5,6,6,9,2,4,1,9,""
10,11,13,7,7,9,3,4,8,10,11,3,5,11,8,8,9,5,3,3,7,4,1,7,6,""
11,6,7,10,9,11,17,8,9,5,5,6,10,9,16,8,3,6,5,9,5,3,3,1,10,""
12,5,8,12,12,4,6,7,6,2,5,13,14,11,7,5,1,3,2,4,3,4,5,5,5,""
13,5,11,9,9,9,6,11,9,5,5,14,15,8,9,9,5,15,8,2,3,5,6,3,4,""
14,6,11,11,13,12,9,6,6,6,8,9,8,10,9,4,11,6,2,-1,7,6,7,11,4,""
15,8,5,10,11,15,11,8,9,8,14,8,18,18,8,9,4,3,3,9,4,5,3,10,5,""
16,10,12,10,16,11,11,6,9,11,9,16,11,13,11,7,7,5,8,5,8,7,7,2,4,""
17,5,13,8,11,13,8,11,5,12,16,5,13,17,10,11,8,6,4,7,3,6,4,5,5,""
18,3,8,17,12,8,7,5,7,15,9,16,20,12,9,4,4,8,2,7,2,5,5,8,6,""
19,12,6,21,17,14,14,3,7,17,12,16,11,9,9,11,7,11,10,3,7,9,4,5,6,""
20,9,11,12,16,8,9,7,6,10,15,10,6,8,10,7,4,6,6,8,5,6,4,2,7,""
21,12,13,8,8,11,5,11,7,10,41,15,11,12,12,7,2,3,8,4,4,6,4,7,8,""
22,6,10,10,10,8,16,9,11,8,12,8,9,14,16,5,5,5,-1,2,5,4,8,4,4,""
23,2,7,7,5,8,8,5,8,9,9,6,9,5,6,7,4,1,5,3,4,4,4,3,1,""
24,6,12,5,7,6,12,11,12,13,6,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
