apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,262,250,277,279,270,189,255,183,244,236,166,131,109,126,110,141,108,75,46,50,61,96,141,164,""
02,238,282,264,240,270,229,250,232,233,263,235,160,130,93,92,87,67,51,38,41,53,93,138,199,""
03,211,206,247,251,284,268,260,215,218,253,190,180,144,122,115,116,77,46,35,45,84,79,143,219,""
04,207,192,213,213,218,224,190,212,211,253,210,166,140,120,104,121,123,59,37,44,61,94,151,202,""
05,226,250,237,275,320,265,270,218,205,222,265,209,158,113,116,143,76,42,42,45,54,77,119,195,""
06,273,250,182,229,172,242,236,219,232,216,231,226,110,100,85,88,56,43,34,45,52,89,126,193,""
07,236,258,271,263,283,305,227,209,241,169,141,156,163,142,131,122,119,62,44,50,59,72,123,189,""
08,265,252,297,268,269,277,251,203,220,213,160,167,131,104,101,97,82,44,41,44,52,85,117,193,""
09,215,236,221,242,251,262,239,226,213,218,151,135,112,73,67,77,67,32,37,35,75,96,138,218,""
10,211,233,252,242,267,251,242,206,224,244,235,163,134,125,110,125,70,48,45,52,49,88,137,198,""
11,202,243,274,272,282,335,228,196,215,282,254,175,141,105,98,112,78,50,44,53,50,95,145,232,""
12,263,329,244,258,278,262,218,221,236,252,226,203,143,109,128,136,104,55,55,52,59,98,154,207,""
13,220,267,231,252,284,283,233,217,268,266,207,172,113,95,135,75,80,48,50,51,58,86,151,192,""
14,236,248,241,265,277,279,227,211,245,251,187,183,139,116,134,130,95,45,34,57,83,145,114,202,""
15,199,245,279,289,243,277,245,212,244,227,220,177,118,117,117,81,75,53,58,42,64,60,130,214,""
16,234,212,224,209,37,282,232,241,241,237,189,172,117,116,121,112,88,30,57,34,50,101,140,140,""
17,200,263,243,232,287,257,225,222,280,265,223,138,122,98,149,151,117,55,47,37,51,82,139,215,""
18,201,226,262,226,248,239,204,203,252,267,235,179,127,119,120,137,110,67,92,75,53,90,133,203,""
19,234,215,222,231,270,257,205,213,211,212,219,204,134,117,136,100,89,70,100,64,64,110,143,196,""
20,212,212,219,245,239,200,195,203,251,234,186,163,90,90,109,115,94,63,64,48,49,89,127,165,""
21,226,244,212,213,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
