mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,313,248,280,245,212,256,226,220,210,157,161,217,181,284,235,293,295,178,325,258,141,215,186,164,""
02,83,127,246,144,160,264,162,165,102,122,136,157,174,210,188,276,151,126,191,173,174,158,192,150,""
03,116,96,149,186,175,172,176,196,160,197,187,239,214,244,268,233,150,150,192,152,130,221,166,108,""
04,153,145,232,142,192,266,168,147,132,156,162,181,161,276,269,307,251,158,188,210,159,140,173,208,""
05,127,263,199,219,238,176,174,159,148,126,151,197,192,333,371,278,262,160,161,159,180,250,169,209,""
06,271,203,270,207,212,253,249,257,169,206,254,273,274,342,381,388,267,255,243,218,208,204,238,147,""
07,170,170,206,214,176,244,170,192,176,143,145,192,226,245,254,212,221,205,203,108,76,194,91,62,""
08,87,123,141,83,85,161,217,203,154,135,140,142,238,233,264,243,241,190,172,183,245,134,138,168,""
09,252,270,212,144,155,144,140,103,127,182,166,206,236,256,244,224,226,254,161,180,206,119,131,227,""
10,243,291,166,146,162,167,198,161,136,178,175,205,270,236,316,253,255,240,210,138,222,145,157,246,""
11,330,254,228,161,233,224,222,171,123,215,244,300,368,328,291,237,244,237,210,210,271,152,195,199,""
12,174,224,186,143,163,235,178,136,136,222,249,233,347,337,313,259,200,218,193,185,248,159,162,182,""
13,226,265,159,195,244,276,309,230,290,44,104,283,251,135,222,148,229,376,325,308,320,285,286,172,""
14,343,225,169,162,177,207,158,146,114,165,153,163,188,167,173,213,195,171,134,108,79,68,117,132,""
15,137,130,134,125,161,245,165,209,162,162,203,207,324,319,339,309,267,293,243,217,278,178,139,142,""
16,166,154,180,206,153,192,149,116,160,184,165,172,281,234,194,182,156,217,160,172,162,139,143,119,""
17,179,138,89,99,187,164,123,126,135,168,184,168,234,185,189,159,221,190,122,115,104,284,410,44,""
18,246,169,323,154,140,147,116,127,109,160,173,182,271,192,191,173,162,184,142,128,172,142,97,147,""
19,129,157,131,127,146,160,131,130,125,183,152,148,232,226,226,147,165,209,183,112,157,141,139,87,""
20,145,194,139,189,142,149,170,128,136,215,200,175,233,268,268,227,236,356,197,241,196,195,186,180,""
21,177,219,155,153,151,125,157,120,134,137,202,217,284,318,198,231,206,188,162,145,125,109,111,111,""
22,104,146,153,134,138,181,224,186,168,164,227,193,301,324,284,217,198,205,204,146,237,136,197,155,""
23,163,187,236,247,238,232,147,203,165,216,249,201,321,335,306,248,260,212,179,192,203,114,145,135,""
24,258,195,173,137,173,186,154,127,139,151,205,224,421,412,333,327,272,281,177,205,228,231,213,160,""
25,223,235,200,162,238,223,267,170,211,248,186,247,315,288,268,250,218,295,242,210,210,193,123,153,""
26,184,225,168,135,157,202,172,135,120,149,160,206,229,230,293,225,229,185,173,185,163,152,175,194,""
27,280,232,194,201,207,206,223,143,124,182,230,232,288,216,259,236,186,182,202,175,168,143,123,166,""
28,161,222,152,145,162,210,178,195,162,222,265,318,275,337,338,278,261,221,301,277,250,214,155,200,""
29,172,254,259,300,250,266,233,261,289,305,226,307,354,237,359,345,233,250,199,177,181,178,136,173,""
30,171,203,205,155,181,179,162,154,170,185,215,207,270,261,290,218,246,292,183,187,206,237,146,124,""
31,228,198,217,173,145,185,185,159,161,186,148,198,302,290,228,193,193,180,194,128,210,116,106,-1,""
