jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,28,35,18,25,37,39,48,43,36,37,33,38,27,36,22,20,25,5,0,6,3,29,29,33,""
02,37,49,51,41,47,36,54,46,32,42,39,34,30,36,39,27,20,20,19,15,27,7,0,22,""
03,43,48,48,41,38,66,69,39,35,27,36,41,40,27,36,33,39,30,15,0,0,0,0,0,""
04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,30,38,""
06,0,0,0,0,0,0,0,0,0,16,29,36,31,30,33,29,11,13,20,14,19,16,30,30,""
07,25,18,37,49,49,60,34,28,20,32,26,31,23,22,23,14,25,20,19,16,18,0,23,30,""
08,42,24,46,50,53,54,66,57,33,-1,1,39,43,34,33,21,28,19,20,22,25,29,32,34,""
09,34,31,41,34,54,54,50,45,51,35,43,34,29,31,26,31,19,26,16,24,31,29,32,41,""
10,40,34,28,51,64,47,60,43,26,26,26,36,39,40,31,20,21,22,17,28,20,27,43,28,""
11,32,40,32,55,49,38,39,26,36,42,33,30,36,29,25,17,22,19,17,14,19,28,29,28,""
12,25,36,38,43,37,47,58,46,40,36,34,28,30,30,28,22,23,15,13,24,12,31,29,30,""
13,44,32,32,33,33,25,32,23,21,17,11,7,20,14,18,12,13,7,10,4,19,8,30,22,""
14,17,19,15,27,38,23,30,28,33,26,38,44,34,27,28,26,4,6,-1,-1,-1,-1,-1,25,""
15,31,35,34,20,37,26,31,41,40,44,37,39,45,40,37,25,23,5,4,17,24,20,17,32,""
16,39,21,31,36,24,55,49,50,49,33,33,35,13,11,28,8,14,10,12,16,17,17,28,32,""
17,45,47,39,54,58,45,71,40,35,21,34,34,39,39,29,28,21,23,12,-1,33,42,33,34,""
18,50,46,49,39,67,59,46,60,55,44,45,44,47,34,24,20,10,19,13,8,28,27,35,24,""
19,48,35,52,64,55,69,61,43,48,42,39,60,46,44,30,21,15,17,20,18,28,34,44,45,""
20,37,40,62,56,54,64,51,47,36,45,39,33,44,40,22,23,15,21,18,20,17,32,38,36,""
21,34,28,44,49,46,46,43,47,36,29,42,35,25,38,30,19,19,16,14,17,24,44,36,27,""
22,40,33,42,49,43,54,46,38,34,46,30,41,40,30,32,18,12,23,20,-1,-1,-1,29,30,""
23,25,37,34,33,39,58,52,36,35,23,37,41,35,22,21,24,18,18,15,16,21,-1,5,37,""
24,42,34,43,22,48,50,49,25,37,27,-1,16,25,16,23,24,12,12,15,-1,11,12,33,34,""
25,30,48,32,20,43,45,40,37,23,32,30,25,19,31,16,21,13,11,19,16,17,30,31,38,""
26,46,35,27,26,42,50,50,35,31,42,36,22,30,33,26,14,15,16,20,13,16,30,41,37,""
27,53,46,45,52,39,60,37,34,34,30,24,20,22,26,14,20,13,15,17,9,24,17,34,33,""
28,28,42,37,27,27,47,49,44,45,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
