jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,41,37,39,35,31,24,25,46,27,32,21,25,26,25,13,19,22,10,16,15,24,30,29,24,""
02,33,36,42,51,29,28,25,32,26,18,30,20,14,9,17,6,9,15,8,11,21,19,30,33,""
03,34,44,26,46,33,26,31,42,31,29,25,32,33,31,26,21,25,22,10,27,31,36,47,60,""
04,70,85,99,110,103,90,41,42,26,30,37,55,56,64,70,66,35,34,34,30,27,38,32,46,""
05,45,32,43,51,44,34,29,30,21,19,21,21,21,15,15,12,20,17,12,10,21,21,28,36,""
06,36,40,31,36,42,27,19,32,18,21,19,10,17,14,7,13,18,18,8,12,23,21,32,32,""
07,32,46,31,43,43,26,29,15,10,22,19,20,12,9,14,9,12,10,18,16,13,20,23,17,""
08,21,27,25,43,30,27,23,26,30,18,22,18,13,13,13,15,11,7,17,23,23,17,18,21,""
09,25,24,15,38,27,23,23,25,20,13,18,18,11,16,9,7,10,15,16,22,12,22,14,31,""
10,30,32,26,40,31,27,29,24,25,21,14,13,14,20,9,7,19,8,13,14,19,29,16,36,""
11,27,45,34,46,39,34,25,30,17,20,23,13,13,11,8,9,6,12,12,7,14,16,27,16,""
12,21,31,24,34,15,21,18,17,16,8,18,16,9,12,9,10,14,6,8,13,17,20,21,20,""
13,29,10,27,32,24,20,27,24,27,7,24,17,11,10,22,9,15,15,16,9,14,23,33,26,""
14,38,29,34,38,41,27,23,31,26,12,21,16,16,15,7,6,13,7,9,10,6,27,24,21,""
15,16,30,26,31,33,23,25,20,11,19,15,17,11,12,11,13,9,5,13,17,16,21,25,27,""
16,27,29,28,28,31,15,31,27,30,17,16,19,12,20,12,11,10,12,6,10,10,17,17,19,""
17,25,25,36,22,26,31,19,28,23,19,24,17,19,15,10,9,8,10,11,10,7,20,24,39,""
18,35,22,36,35,34,21,28,37,19,16,16,19,18,23,16,13,4,14,8,15,23,24,28,27,""
19,33,49,38,49,43,27,21,17,22,18,20,31,22,14,10,8,8,7,12,10,16,15,24,27,""
20,25,42,31,30,25,18,10,18,16,30,17,14,28,13,25,17,7,15,7,9,24,18,31,42,""
21,30,38,44,39,35,19,27,26,19,17,20,22,9,10,10,6,10,9,13,7,15,26,30,24,""
22,25,33,26,30,25,26,27,23,17,25,18,21,22,10,11,7,5,10,11,18,23,20,29,25,""
23,28,33,27,41,28,34,19,18,5,17,11,15,15,6,7,14,10,7,5,13,20,18,15,26,""
24,35,24,37,29,31,32,23,27,29,18,26,14,15,14,10,9,7,11,11,8,20,30,32,33,""
25,30,29,34,34,32,35,23,12,16,20,13,12,17,16,8,5,9,6,1,12,16,18,42,36,""
26,24,35,33,50,25,27,32,18,9,16,16,10,9,8,13,4,6,13,7,14,9,16,27,24,""
27,36,26,32,24,29,24,20,30,20,25,18,9,13,11,11,12,7,5,11,14,19,17,16,22,""
28,41,32,36,33,25,22,12,19,26,21,26,24,13,7,8,6,6,5,7,14,26,18,22,16,""
29,23,21,17,22,31,19,29,23,21,13,7,11,12,11,8,10,5,9,4,14,16,16,22,22,""
30,23,33,27,25,16,17,25,16,18,15,12,14,7,10,13,5,5,6,14,18,11,14,10,19,""
31,11,21,23,20,22,26,21,15,25,17,10,20,13,7,7,6,7,2,5,10,13,13,-1,-1,""
