apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,0,1,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,1,1,0,0,0,0,""
07,0,2,0,0,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,""
08,0,1,0,2,2,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,""
09,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,""
10,0,0,1,1,1,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,""
11,2,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""
12,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,""
13,0,1,0,0,0,2,1,0,0,2,1,1,0,1,1,0,0,2,1,0,0,1,0,1,""
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,""
15,1,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,""
16,0,1,0,1,1,2,2,2,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,""
17,1,1,1,0,3,1,1,1,1,1,2,1,1,0,0,2,0,0,0,0,0,0,2,0,""
18,0,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,""
19,0,1,5,1,0,0,0,3,6,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,""
20,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,""
21,0,1,3,1,2,2,4,1,2,3,2,0,1,1,1,0,0,0,1,0,0,0,0,2,""
22,2,4,1,1,1,0,5,3,0,2,2,0,1,0,0,0,1,0,0,1,0,0,0,1,""
23,1,3,2,0,1,2,1,1,1,0,2,0,3,0,1,0,0,1,0,0,1,0,1,0,""
24,0,4,0,1,0,1,1,1,3,2,1,1,0,2,1,0,0,1,0,1,0,0,0,0,""
25,1,1,0,0,0,2,2,1,2,0,0,0,1,2,1,2,1,1,0,0,0,1,0,1,""
26,2,1,0,0,0,0,3,1,2,1,0,0,2,0,4,0,0,0,0,0,3,0,0,1,""
27,0,0,0,0,1,2,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,""
28,0,0,1,1,0,1,3,2,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,""
29,0,0,1,1,1,2,0,0,3,1,0,1,2,1,0,0,0,0,0,1,0,0,0,1,""
30,0,1,0,0,1,3,1,0,3,1,1,0,0,2,1,1,0,2,0,0,1,1,0,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
