sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,63,130,119,56,26,""
06,45,362,228,104,50,88,101,80,89,89,73,64,47,61,50,46,77,57,26,30,19,49,70,15,""
07,38,15,45,48,85,79,147,17,66,71,55,48,25,55,38,14,82,33,37,28,64,20,54,11,""
08,14,15,20,17,39,58,135,73,85,89,69,55,36,52,54,33,71,69,55,49,77,62,18,33,""
09,39,12,26,29,60,63,96,39,86,36,82,24,37,63,18,47,64,29,71,18,59,71,28,29,""
10,14,5,15,28,42,49,93,39,38,71,69,95,161,117,140,78,118,93,175,260,359,200,68,57,""
11,35,17,130,275,550,504,355,302,211,185,99,110,153,106,338,519,186,267,129,133,115,64,79,34,""
12,89,367,605,466,551,150,153,105,140,90,145,111,71,124,223,232,127,98,63,154,80,206,616,75,""
13,19,29,13,29,39,56,89,68,77,105,174,130,50,102,94,132,310,541,590,78,66,82,80,37,""
14,30,18,39,109,275,207,98,90,81,102,58,86,99,114,135,139,111,111,82,71,38,44,68,32,""
15,21,4,15,50,49,71,108,37,95,56,84,215,165,252,527,424,154,152,52,61,45,55,55,4,""
16,32,17,9,17,14,66,82,66,37,52,63,22,44,7,46,43,56,22,9,34,31,64,25,19,""
17,29,6,11,25,35,68,114,62,316,408,727,621,634,648,598,316,311,235,207,61,6,7,78,419,""
18,339,626,866,584,676,619,357,152,143,83,95,94,89,109,192,121,144,80,57,64,40,79,35,20,""
19,12,8,11,24,23,77,137,106,117,83,64,76,67,66,65,61,56,72,68,52,53,31,21,19,""
20,12,6,3,60,229,43,61,19,64,24,46,20,48,34,59,51,55,21,34,27,25,50,47,22,""
21,16,4,17,13,11,28,26,44,3,-1,25,11,14,20,20,32,87,39,44,36,12,39,61,18,""
22,12,6,7,13,58,200,62,21,67,96,30,51,47,77,62,56,84,110,72,92,73,52,44,55,""
23,13,38,60,39,31,85,121,73,59,52,51,33,31,30,32,40,34,41,62,29,56,64,47,42,""
24,49,4,12,12,24,40,89,64,15,25,46,72,84,96,97,44,48,41,41,11,-1,-1,-1,0,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
