dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,4,4,4,4,11,15,6,4,7,7,-1,-1,-1,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,19,9,8,3,""
13,0,7,6,12,34,24,10,20,20,15,11,9,10,3,8,3,3,3,11,19,26,17,12,7,""
14,4,5,13,38,47,48,39,35,33,32,27,6,8,10,5,3,2,17,17,25,19,11,8,10,""
15,4,15,11,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,4,-1,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,5,10,""
18,4,13,9,8,10,12,14,7,10,9,7,7,6,5,8,4,6,3,6,3,2,3,5,5,""
19,6,5,8,15,17,13,8,11,20,15,10,9,11,7,8,3,3,4,4,2,4,4,4,10,""
20,6,9,10,8,9,16,9,19,13,11,15,12,14,11,8,4,2,4,5,4,5,3,2,5,""
21,7,7,12,8,7,11,5,19,15,5,16,6,9,9,9,8,7,4,3,2,3,3,4,6,""
22,8,11,12,20,9,15,9,17,15,18,16,24,14,10,18,11,9,8,11,19,5,6,2,4,""
23,10,11,11,15,7,6,4,12,13,8,10,11,3,4,6,2,5,8,11,2,3,3,5,0,""
24,3,5,16,8,10,7,7,9,12,7,5,12,4,8,5,5,2,5,3,2,2,2,3,4,""
25,5,1,8,6,9,10,8,10,3,9,5,7,2,12,4,1,3,2,2,4,1,4,3,1,""
26,4,8,7,7,5,9,5,5,6,9,15,7,10,9,8,2,2,4,1,8,3,4,2,5,""
27,4,7,12,9,8,6,10,4,6,7,4,5,6,4,12,5,3,3,4,1,1,3,2,4,""
28,6,6,7,6,6,6,9,7,4,6,3,9,6,9,11,4,2,4,3,4,2,3,1,3,""
29,2,4,8,5,6,5,7,7,10,4,22,8,6,3,4,1,6,3,2,2,5,4,2,4,""
30,4,3,5,8,8,7,5,7,16,12,8,7,5,6,4,6,7,2,1,1,2,0,1,1,""
31,2,6,3,5,11,4,7,9,5,6,15,5,5,2,1,0,5,0,3,1,3,3,2,-1,""
