sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,11,5,3,5,3,3,5,3,5,1,11,7,11,10,8,12,7,14,13,7,8,13,19,6,""
02,10,6,11,4,6,5,1,3,5,5,6,9,12,16,8,10,14,11,19,7,20,6,7,10,""
03,8,7,13,9,10,5,7,2,8,3,4,11,11,6,7,10,16,14,6,13,5,15,7,17,""
04,13,6,7,2,4,5,6,6,3,5,5,5,16,18,8,5,12,11,16,17,17,18,10,21,""
05,8,6,4,2,-1,-1,4,-1,2,4,3,7,7,10,8,10,11,11,13,8,7,6,11,11,""
06,9,5,9,6,3,2,4,4,6,4,7,10,12,6,10,13,9,13,7,5,9,5,22,7,""
07,9,6,3,4,5,4,-1,6,6,1,7,13,5,10,8,13,6,7,16,19,17,11,10,3,""
08,3,11,1,6,3,3,4,3,5,4,8,11,13,15,14,5,5,12,6,17,16,16,19,21,""
09,12,10,6,7,6,1,6,7,5,6,7,8,13,17,7,7,10,13,12,12,12,19,43,14,""
10,11,6,3,8,10,1,2,1,2,5,4,2,12,8,6,7,9,10,14,14,13,20,-1,9,""
11,9,9,3,6,7,7,3,14,5,4,2,11,10,9,8,10,10,12,11,13,12,13,18,5,""
12,11,8,5,3,2,2,2,2,3,7,3,1,9,5,7,10,6,11,14,17,21,12,3,0,""
13,2,1,1,-1,1,-1,-1,2,3,4,7,6,8,18,7,12,8,12,3,5,4,9,6,4,""
14,3,12,9,15,9,8,7,3,4,3,11,6,4,5,13,13,8,-1,-1,-1,-1,-1,-1,0,""
15,-1,7,16,5,4,9,4,6,1,5,3,8,7,8,6,7,15,17,15,12,6,4,5,2,""
16,5,3,1,4,1,4,3,5,1,2,1,-1,4,6,4,4,4,4,5,5,5,6,7,5,""
17,6,6,3,6,1,2,2,7,3,1,1,4,3,3,3,8,6,8,8,9,7,5,9,12,""
18,2,1,1,4,2,2,2,8,6,3,3,-1,4,5,3,-1,4,8,12,7,15,7,4,11,""
19,5,5,-1,-1,4,-1,2,2,3,5,4,4,13,10,10,5,16,13,8,8,11,8,16,9,""
20,5,5,3,5,6,4,5,3,7,2,1,7,10,9,3,5,10,13,11,11,15,13,8,13,""
21,2,8,4,7,3,5,4,4,-1,1,3,7,6,5,10,6,11,11,15,14,14,17,14,14,""
22,10,7,8,2,6,3,7,4,3,2,6,10,8,5,8,4,10,9,7,12,10,16,17,16,""
23,14,13,15,9,10,8,14,8,6,8,6,7,15,9,8,13,17,13,13,18,16,10,13,13,""
24,13,12,12,9,4,3,4,8,4,6,3,6,13,18,11,14,11,10,14,14,18,17,14,10,""
25,12,10,9,10,10,1,6,11,3,4,8,6,9,10,10,7,15,8,16,12,8,17,11,8,""
26,10,10,9,9,8,5,5,10,-1,3,2,4,6,7,11,10,16,8,6,3,14,13,13,10,""
27,12,13,18,13,11,8,7,4,-1,3,7,3,9,5,7,7,9,15,10,10,10,22,7,12,""
28,18,15,11,12,4,13,9,5,5,4,5,7,5,9,11,11,11,11,13,19,20,19,22,18,""
29,20,6,10,7,11,6,6,4,3,7,3,7,14,11,10,10,8,17,24,8,22,20,22,19,""
30,13,11,8,12,18,11,11,5,3,6,6,6,7,10,7,11,11,14,11,14,10,19,11,5,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]z,"n`df}f'a{fIndh`e'jfd"
