oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,295,297,336,379,384,360,356,357,366,430,432,444,440,451,402,363,411,352,304,297,249,254,244,265,""
02,225,277,339,340,405,50,0,0,0,0,0,0,0,0,181,421,387,356,306,307,319,292,264,244,""
03,273,279,319,357,388,400,409,388,390,437,450,425,425,436,402,394,343,335,282,166,40,49,176,239,""
04,228,238,288,333,363,382,359,325,358,307,414,355,333,385,361,383,368,317,253,240,191,242,231,254,""
05,227,281,303,201,193,192,175,160,207,168,206,215,201,194,194,223,175,187,151,125,117,133,118,104,""
06,134,170,157,203,185,208,165,147,143,198,230,224,200,206,196,199,195,178,157,149,141,140,118,128,""
07,121,160,156,186,205,204,182,144,176,209,221,224,234,195,185,203,167,187,121,128,114,113,112,123,""
08,138,158,141,265,325,351,344,297,347,382,401,397,381,373,365,348,343,338,282,244,241,239,213,214,""
09,240,253,318,343,323,335,342,324,292,368,399,381,356,352,320,370,328,310,233,206,227,229,248,239,""
10,256,304,319,326,337,330,335,274,337,375,372,359,338,365,322,348,305,317,272,249,218,215,202,232,""
11,241,266,307,325,329,321,321,254,311,285,353,354,359,351,330,332,301,273,252,240,253,227,228,227,""
12,231,243,260,311,403,386,298,352,340,290,341,374,394,366,318,352,323,208,163,165,167,130,139,127,""
13,146,161,231,325,350,348,299,341,328,404,420,353,363,353,322,304,305,296,237,245,241,236,235,230,""
14,219,248,292,301,329,348,318,328,397,394,402,357,343,348,309,324,316,346,263,226,217,211,226,228,""
15,275,234,214,177,191,190,178,154,155,188,205,212,170,182,150,165,179,158,117,88,141,105,90,77,""
16,93,121,234,287,308,318,314,285,307,346,361,128,0,0,0,0,0,0,0,0,0,202,212,199,""
17,215,246,297,280,319,331,331,300,319,366,359,375,362,372,306,345,321,334,233,229,237,300,270,236,""
18,258,241,232,286,345,310,311,298,356,351,380,395,372,344,333,307,299,305,253,270,286,242,226,213,""
19,248,298,292,318,373,384,272,274,367,366,421,400,140,0,0,0,212,334,247,245,243,276,256,218,""
20,252,298,277,348,352,374,360,393,365,384,401,429,427,406,386,373,347,332,258,250,238,224,210,234,""
21,256,268,326,333,388,383,332,319,370,409,354,435,409,372,336,355,332,311,279,286,251,219,202,225,""
22,260,250,305,316,359,338,373,321,404,386,380,437,398,385,471,527,339,310,309,228,253,243,236,251,""
23,233,311,347,339,338,360,342,334,347,390,375,367,368,391,333,388,363,344,10,238,247,235,248,228,""
24,280,263,310,298,323,332,362,304,370,336,373,390,361,382,342,341,291,297,253,226,216,212,199,125,""
25,197,263,336,337,377,346,320,356,337,311,367,334,350,356,346,349,330,294,238,254,202,227,211,199,""
26,237,254,260,323,320,386,327,321,373,390,413,402,372,346,348,365,371,305,272,259,226,230,225,240,""
27,249,298,275,326,325,336,264,316,318,98,317,250,243,269,161,172,224,220,120,173,180,197,167,159,""
28,166,186,221,210,243,293,281,237,230,272,305,334,298,297,255,229,222,225,179,179,190,180,155,139,""
29,146,173,195,201,221,184,200,146,186,190,224,237,256,203,185,241,192,211,188,201,189,156,162,157,""
30,146,174,217,229,242,247,235,197,199,212,234,238,274,226,261,223,228,241,187,146,166,130,126,136,""
31,140,172,135,213,248,269,270,235,264,290,140,193,339,314,312,294,268,253,197,201,167,185,149,-1,""
