feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,26,11,8,3,10,5,3,3,16,20,22,-1,22,10,13,19,22,39,30,21,14,16,26,34,""
02,24,28,48,48,21,34,42,39,14,-1,27,32,21,25,18,27,11,48,3,11,7,4,3,7,""
03,11,20,33,22,89,79,68,16,46,41,54,93,17,23,76,24,21,2,7,12,14,4,8,10,""
04,11,22,25,23,21,26,61,48,44,77,23,17,23,24,80,92,62,14,14,2,2,3,2,3,""
05,5,8,17,33,72,25,90,35,67,84,19,17,9,8,17,36,2,-1,2,-1,-1,1,1,2,""
06,3,5,4,6,4,2,2,7,6,7,5,4,-1,1,-1,-1,8,1,2,4,1,-1,-1,0,""
07,21,26,25,26,43,64,30,59,68,32,61,50,83,40,41,69,20,49,20,10,17,31,32,45,""
08,28,23,32,34,97,110,59,60,38,155,184,148,126,132,97,123,92,51,12,52,28,33,41,30,""
09,22,24,33,31,51,34,74,38,43,131,186,169,80,93,157,202,140,22,10,12,30,16,25,22,""
10,41,25,28,27,41,58,51,30,63,28,35,52,22,39,20,55,11,-1,-1,-1,-1,-1,-1,0,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,40,34,19,82,42,36,53,47,""
12,32,36,49,40,82,83,36,38,38,98,122,101,150,59,79,58,95,26,18,14,28,61,31,34,""
13,54,31,35,4,-1,-1,-1,-1,-1,4,57,20,11,1,-1,1,-1,2,-1,-1,-1,-1,-1,0,""
14,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,10,105,74,65,38,41,22,18,32,57,47,65,""
15,38,33,53,54,143,80,68,116,98,167,210,206,139,178,102,119,91,23,30,39,17,27,38,31,""
16,21,33,43,67,113,66,102,56,58,83,99,83,139,102,114,104,70,29,39,22,35,20,25,32,""
17,32,25,26,58,61,34,-1,-1,33,63,80,63,82,69,92,85,78,41,38,16,26,21,22,35,""
18,34,58,49,43,123,55,86,27,45,53,34,71,138,114,145,61,117,38,12,15,33,20,38,24,""
19,15,15,14,12,20,10,23,14,21,34,34,6,16,29,3,1,12,35,16,2,2,1,-1,2,""
20,2,10,17,15,27,52,60,49,45,43,40,58,49,55,49,46,26,29,22,17,23,35,26,19,""
21,19,31,36,26,94,62,58,45,33,51,45,32,43,44,19,21,22,18,18,8,10,11,18,19,""
22,15,12,19,25,25,39,65,71,38,105,87,51,22,44,78,57,22,13,7,12,2,10,10,0,""
23,2,7,3,9,9,8,5,8,28,129,154,101,96,93,89,129,104,32,102,55,59,142,128,111,""
24,420,651,669,654,615,625,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,363,194,15,22,33,""
25,38,45,43,36,46,127,133,72,38,46,45,40,21,29,41,24,45,21,14,14,18,32,29,22,""
26,38,27,36,46,112,77,100,34,41,37,43,40,25,38,37,34,11,15,12,30,28,12,8,27,""
27,40,33,30,61,55,103,71,64,65,45,53,66,77,48,16,33,26,16,23,10,12,18,41,35,""
28,22,33,37,23,58,60,86,45,60,80,30,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
