sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,20,22,10,21,11,15,16,12,8,11,8,14,12,9,12,8,10,12,7,10,16,12,13,23,""
02,19,25,13,16,16,24,20,19,22,18,11,17,8,13,11,11,11,5,10,8,14,18,18,19,""
03,16,17,23,23,20,25,21,13,17,12,16,16,17,14,8,12,5,4,6,7,20,12,20,12,""
04,19,20,19,18,12,21,17,15,19,16,14,12,13,16,9,15,11,7,9,12,12,17,16,21,""
05,18,23,14,20,19,19,16,17,17,20,18,13,15,9,15,12,6,10,9,16,16,17,18,25,""
06,16,23,18,20,14,21,16,15,16,15,18,13,15,15,9,9,13,6,6,16,8,18,15,23,""
07,23,20,30,11,17,21,18,20,19,17,16,13,15,12,9,13,9,7,10,10,12,17,21,22,""
08,20,16,23,23,19,18,21,18,18,20,14,14,10,13,10,15,9,6,9,5,17,18,20,14,""
09,24,17,27,19,33,17,21,24,16,17,19,14,9,10,17,11,10,10,14,13,9,19,15,25,""
10,15,17,13,15,16,20,20,19,21,15,14,14,9,15,13,9,11,8,4,8,7,17,21,17,""
11,19,27,20,15,16,19,18,25,22,17,18,8,15,12,15,12,7,6,17,10,10,16,12,13,""
12,22,24,25,19,20,-1,-1,-1,-1,-1,12,15,17,12,13,16,10,8,6,9,11,19,16,14,""
13,19,22,18,14,21,19,18,23,16,29,20,13,14,15,15,6,9,8,14,11,9,19,15,15,""
14,17,18,19,14,13,10,20,15,14,14,24,18,19,10,11,12,12,9,12,8,14,18,16,21,""
15,22,20,22,26,14,17,17,27,21,21,24,16,20,14,10,12,9,7,5,13,16,17,21,11,""
16,17,20,18,17,19,13,13,14,13,15,16,16,15,11,8,12,7,10,6,10,10,14,15,21,""
17,19,21,16,24,18,17,19,11,15,20,17,18,14,11,23,12,10,3,5,11,12,16,20,22,""
18,15,16,19,13,14,17,13,14,21,19,23,16,13,24,15,7,16,12,8,8,10,14,14,12,""
19,17,14,15,9,12,17,16,15,15,12,15,13,8,11,7,7,15,5,7,8,12,9,12,7,""
20,11,16,14,13,21,15,21,12,22,20,15,16,9,14,14,13,6,7,15,7,18,15,17,21,""
21,12,21,18,22,13,18,16,23,18,15,21,11,19,18,18,11,15,8,10,14,12,12,17,23,""
22,17,19,19,15,19,13,22,20,15,19,18,22,9,8,18,8,8,6,10,8,15,10,13,20,""
23,20,11,15,17,15,16,16,19,22,20,17,16,14,16,11,7,10,7,6,4,13,17,12,10,""
24,12,22,15,16,11,16,10,14,18,15,16,12,16,11,11,7,9,9,4,12,6,12,21,22,""
25,19,17,26,20,14,13,21,15,20,11,12,18,13,16,13,12,14,7,10,8,11,18,18,16,""
26,14,18,18,21,18,23,17,15,15,13,17,16,12,16,11,13,8,6,7,12,11,11,16,15,""
27,12,15,14,15,15,13,20,20,21,20,18,16,18,12,11,4,9,13,7,13,10,19,26,19,""
28,25,22,13,16,20,16,24,23,20,22,11,23,17,13,9,11,12,6,5,10,11,14,20,21,""
29,17,15,17,15,15,16,22,27,16,21,15,18,20,13,13,12,12,11,5,7,6,16,14,15,""
30,9,12,22,10,16,13,17,25,11,19,17,16,10,9,7,10,6,6,7,9,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
