sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,25,26,26,22,28,41,76,104,97,76,101,103,88,103,100,83,81,24,31,32,29,32,21,""
02,16,32,30,11,51,63,94,89,87,83,79,80,103,84,85,63,76,49,27,18,29,27,19,13,""
03,7,14,14,20,18,21,13,31,90,85,92,81,80,59,48,122,53,79,72,78,27,12,20,14,""
04,16,19,10,8,18,18,31,73,102,79,73,63,67,66,75,104,77,42,42,34,17,17,23,16,""
05,11,16,13,18,18,33,78,91,82,50,62,71,89,83,64,73,61,72,64,75,74,60,59,59,""
06,37,50,42,56,27,57,76,90,94,54,65,62,56,61,58,27,15,15,20,18,21,24,23,21,""
07,22,16,17,21,28,65,77,91,100,88,86,69,91,92,91,106,104,86,71,52,55,59,68,45,""
08,44,57,49,46,62,58,80,92,101,83,83,86,91,91,102,88,84,79,62,63,61,49,59,44,""
09,48,46,29,31,31,24,75,110,119,124,102,97,90,95,94,94,101,98,76,55,63,55,51,39,""
10,12,27,16,14,22,62,84,106,103,79,86,92,85,68,65,95,83,89,60,60,60,52,44,30,""
11,17,13,20,24,14,48,86,93,119,90,83,77,96,91,67,36,26,31,40,32,27,15,19,21,""
12,13,21,11,11,24,37,89,103,115,67,67,81,87,82,62,26,39,35,25,29,31,36,26,17,""
13,24,23,15,24,28,35,79,111,146,77,118,88,109,87,81,32,36,40,21,19,25,27,21,24,""
14,20,24,18,25,44,98,112,119,122,124,120,93,114,103,89,37,31,37,25,27,23,18,14,20,""
15,19,17,25,22,24,15,88,99,129,106,115,104,120,133,102,108,99,102,88,75,90,73,70,64,""
16,54,31,72,74,77,83,93,96,120,126,122,115,126,122,103,102,102,108,93,87,77,49,22,27,""
17,30,33,26,13,28,53,93,95,94,98,92,105,82,88,79,25,29,37,35,30,37,26,15,27,""
18,19,22,25,31,22,26,77,96,136,104,77,106,81,87,69,44,42,34,24,38,33,28,26,22,""
19,13,24,19,34,30,27,122,99,126,89,85,88,76,96,73,43,38,58,37,33,38,41,32,24,""
20,18,26,28,22,40,46,82,98,103,78,79,66,97,79,88,48,48,41,41,39,33,30,26,24,""
21,17,25,28,30,23,44,91,86,127,110,99,96,88,89,80,47,44,36,23,41,33,26,35,27,""
22,29,31,31,35,34,73,91,125,143,104,105,101,113,131,103,99,102,100,86,93,78,85,65,68,""
23,59,85,86,75,95,84,109,118,142,128,110,90,113,116,65,112,103,91,73,73,36,28,21,30,""
24,31,32,22,30,66,83,97,110,108,98,106,98,90,93,90,45,48,39,31,35,29,15,24,19,""
25,19,21,20,24,28,82,132,133,158,131,115,112,114,108,99,38,41,41,38,41,45,38,20,26,""
26,19,27,28,29,32,47,114,125,120,98,99,108,103,93,99,117,105,103,100,90,88,68,83,57,""
27,42,49,34,35,75,84,101,111,120,111,115,95,85,51,4,6,1,9,36,38,31,35,32,18,""
28,23,20,36,38,72,97,107,110,123,126,89,100,91,91,105,61,33,51,36,30,34,24,18,23,""
29,15,24,16,21,28,89,113,127,137,120,130,119,115,139,106,106,121,112,123,101,104,79,72,67,""
30,27,26,28,21,35,33,31,42,39,41,31,23,27,31,111,127,121,102,119,107,98,100,68,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
