nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,9,12,15,12,11,13,5,5,3,4,7,6,10,8,9,13,9,13,12,17,23,18,26,16,""
02,18,14,14,13,10,5,8,6,4,9,4,7,11,11,5,11,9,17,16,11,17,23,25,0,""
03,23,16,7,17,10,10,15,0,3,2,6,10,10,7,5,6,16,11,23,22,11,19,19,12,""
04,15,6,9,5,5,6,1,1,4,2,4,5,9,6,7,9,12,9,11,17,7,18,10,15,""
05,9,13,8,7,6,5,6,5,1,2,3,8,8,10,5,8,8,12,10,11,15,8,7,8,""
06,8,11,8,8,5,2,5,4,3,2,2,2,11,7,10,6,7,7,10,22,12,14,12,12,""
07,4,8,11,6,4,2,3,2,3,3,2,9,3,6,4,8,7,11,21,10,11,7,10,11,""
08,4,7,11,8,5,5,2,4,1,4,3,6,5,7,4,4,8,7,10,5,11,16,13,15,""
09,9,6,10,5,8,7,2,0,2,1,7,5,3,8,6,7,10,9,11,14,13,13,11,20,""
10,11,9,5,4,11,3,4,4,4,6,5,7,7,6,2,4,4,13,10,12,10,11,19,15,""
11,18,14,5,8,10,3,3,4,1,4,3,5,11,7,9,6,4,10,11,8,6,15,12,10,""
12,8,12,10,4,11,5,5,2,2,6,2,7,10,5,8,5,8,11,13,12,8,4,14,12,""
13,13,12,6,10,7,5,4,3,2,8,3,6,4,8,5,8,14,8,7,18,13,6,10,15,""
14,17,18,6,8,4,1,7,5,5,3,5,4,9,4,11,8,5,13,18,17,13,12,14,22,""
15,15,14,15,5,7,3,3,6,0,3,3,6,6,11,8,4,7,9,9,13,16,13,11,11,""
16,12,8,10,6,6,3,2,0,2,6,5,8,10,6,11,8,12,12,10,9,12,11,10,17,""
17,18,12,9,10,4,7,3,2,4,6,6,5,5,4,5,7,8,7,12,15,12,7,15,11,""
18,23,20,16,7,7,8,6,1,1,4,5,9,8,14,8,12,6,8,18,9,9,11,13,10,""
19,16,18,5,10,5,11,2,2,3,2,2,5,10,5,6,7,7,11,15,10,10,7,12,13,""
20,7,8,8,12,7,6,3,1,0,1,2,7,5,6,4,4,5,7,12,9,16,7,10,11,""
21,17,13,13,11,4,4,2,2,4,3,8,4,9,6,6,5,8,9,11,15,13,13,12,17,""
22,11,10,2,10,5,3,3,3,3,5,4,3,1,3,1,4,8,14,10,13,13,10,19,14,""
23,12,16,6,6,8,5,1,1,3,5,4,5,8,8,5,6,7,8,16,15,7,16,17,11,""
24,13,14,6,10,10,11,9,2,1,3,3,6,2,9,7,9,10,7,15,8,14,11,14,12,""
25,11,12,11,8,8,4,6,6,2,4,1,5,5,4,6,3,5,6,10,9,10,11,11,5,""
26,6,6,4,6,2,2,1,2,8,4,1,6,1,4,6,3,5,8,9,6,8,20,7,17,""
27,6,7,6,12,3,2,1,2,5,5,6,6,13,4,9,7,8,12,16,13,13,11,12,11,""
28,11,9,13,7,6,3,3,3,6,5,5,8,8,6,12,5,8,10,12,19,24,21,11,12,""
29,15,9,9,11,7,3,3,2,2,0,4,2,8,5,7,7,8,13,19,11,12,20,12,7,""
30,12,12,6,11,5,6,3,5,6,1,3,4,3,14,8,8,5,7,10,10,23,11,10,16,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
