may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,113,127,129,86,90,99,113,143,135,128,122,65,32,23,57,48,31,23,9,24,21,55,104,-1,""
02,188,129,107,116,166,220,218,297,362,318,163,240,95,61,37,52,93,43,31,33,33,58,60,108,""
03,143,147,114,118,143,194,242,348,355,289,256,207,142,83,86,71,58,30,27,35,33,63,70,92,""
04,102,148,142,150,190,221,292,342,351,302,289,164,123,85,67,68,50,38,17,25,19,53,67,97,""
05,116,123,132,117,160,221,340,405,547,294,233,180,90,89,71,99,61,29,25,27,32,34,64,125,""
06,159,145,138,118,168,279,388,399,414,616,396,458,193,750,218,142,41,19,20,27,36,53,91,110,""
07,137,145,134,135,230,305,408,420,452,694,505,342,203,432,71,84,51,33,30,29,39,50,84,131,""
08,162,158,199,157,153,232,303,329,354,308,790,637,171,60,82,67,72,273,125,47,63,173,112,117,""
09,502,367,401,488,852,657,246,196,194,406,269,388,242,65,78,83,50,36,34,34,30,53,72,134,""
10,187,165,157,168,182,284,342,317,318,273,230,261,69,60,70,54,43,40,26,27,42,58,80,86,""
11,107,150,113,199,173,207,264,274,311,231,288,146,100,52,81,69,53,54,24,26,26,38,73,113,""
12,132,148,115,120,159,212,249,319,305,261,275,140,202,81,94,102,189,45,-1,-1,-1,-1,-1,-1,""
13,145,229,350,169,252,266,280,332,470,490,261,222,210,53,172,199,34,28,48,167,115,-1,-1,156,""
14,164,161,190,186,199,186,233,241,245,212,187,151,59,67,86,74,75,21,26,27,134,133,121,93,""
15,169,148,133,150,156,188,214,198,237,297,209,134,109,82,84,74,66,-1,-1,-1,-1,-1,-1,117,""
16,114,174,253,119,161,177,216,254,312,278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
18,-1,-1,-1,-1,-1,-1,127,109,128,102,86,47,35,45,147,191,-1,-1,-1,-1,-1,-1,105,82,""
19,196,177,131,121,145,187,228,249,268,228,195,-1,270,55,54,69,49,542,563,96,81,60,92,128,""
20,191,169,171,157,148,213,233,232,266,262,-1,166,-1,162,-1,87,40,28,32,39,28,-1,-1,-1,""
21,122,147,178,132,221,248,268,268,272,232,335,313,47,37,58,63,35,24,26,18,57,51,75,110,""
22,125,83,115,105,148,153,175,170,222,268,151,93,70,49,-1,-1,46,191,131,50,154,71,78,105,""
23,159,169,129,133,145,168,172,184,209,160,122,84,102,27,52,97,41,131,342,52,-1,-1,-1,138,""
24,135,163,179,141,139,175,204,212,237,159,150,100,71,94,82,46,52,58,178,-1,174,65,99,123,""
25,199,215,156,126,150,186,199,245,241,175,153,70,47,77,-1,-1,80,63,25,166,77,-1,117,128,""
26,173,191,155,157,143,208,238,244,200,185,169,92,56,55,89,76,56,35,30,26,38,52,108,114,""
27,196,202,128,123,157,207,216,195,-1,240,-1,-1,-1,69,48,71,60,38,25,32,39,66,96,115,""
28,175,185,183,152,114,153,232,190,169,172,118,58,55,66,72,62,60,28,271,23,31,56,83,118,""
29,139,173,143,157,134,178,187,200,206,159,146,-1,136,150,57,87,63,46,29,33,37,63,96,189,""
30,-1,-1,176,147,212,175,197,167,12,69,-1,133,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,184,210,226,251,-1,-1,191,67,91,94,-1,-1,86,-1,150,32,93,112,154,""
