sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,2,6,""
02,1,0,0,0,0,0,0,0,1,2,1,1,0,2,1,3,5,5,0,5,2,5,1,0,""
03,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,0,0,0,0,5,3,0,0,0,""
04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,4,1,1,""
05,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,59,1,0,1,0,0,""
08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7,4,7,5,37,4,0,""
09,0,0,0,0,0,0,1,0,0,2,2,1,0,0,1,0,0,0,0,28,5,7,9,6,""
10,10,0,0,0,0,1,0,0,0,3,6,2,3,2,9,45,1,13,2,0,0,0,1,0,""
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,10,22,0,""
12,0,0,0,0,0,0,1,11,0,0,0,3,0,4,2,4,18,7,0,3,5,3,0,2,""
13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,4,35,0,0,0,""
14,0,0,0,1,0,0,4,6,1,6,0,1,1,0,1,13,0,64,9,25,37,4,2,0,""
15,0,0,0,0,0,1,3,25,1,0,1,1,0,4,8,10,1,100,88,64,5,3,0,0,""
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,23,16,0,0,1,2,0,""
17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,1,2,6,9,4,1,""
18,0,0,1,0,1,2,0,0,0,0,9,2,0,0,6,0,7,0,3,4,28,12,3,0,""
19,1,0,0,0,0,0,2,5,0,2,1,1,0,4,17,6,0,8,7,1,12,6,1,0,""
20,0,0,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,11,3,0,""
21,0,0,0,0,0,0,7,32,2,2,0,0,0,0,2,6,15,22,4,4,7,2,0,0,""
22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,15,5,0,10,1,0,""
23,0,0,0,0,1,0,1,2,0,0,8,1,2,10,2,2,1,35,382,261,121,45,10,14,""
24,0,0,0,0,0,0,0,0,0,25,34,0,0,0,0,13,69,364,46,4,0,4,3,3,""
25,2,0,2,0,0,0,0,0,0,10,50,4,20,17,1,5,4,14,54,128,122,4,0,0,""
26,1,0,0,0,0,0,0,6,0,2,0,1,0,2,0,1,4,0,0,30,28,6,0,0,""
27,0,0,0,0,0,0,1,2,0,0,0,4,0,0,1,1,6,0,1,8,553,27,2,0,""
28,0,0,0,0,0,0,0,2,0,2,0,1,0,0,3,2,0,0,2,10,55,6,0,0,""
29,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,7,19,15,0,8,22,5,0,2,""
30,0,0,0,0,0,0,16,23,1,0,0,0,0,0,1,0,2,15,327,3,0,0,0,0,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
