sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,2,0,0,2,0,0,2,10,3,-1,2,1,4,1,0,1,1,0,1,0,""
02,1,1,0,1,0,1,9,2,8,8,2,5,2,0,5,2,7,8,8,7,5,6,2,1,""
03,2,2,1,0,6,3,4,5,9,6,4,6,5,1,7,11,7,1,9,5,6,7,7,5,""
04,4,3,3,1,3,5,7,10,9,10,12,13,15,11,7,15,18,13,14,11,9,8,7,6,""
05,4,3,2,9,4,7,6,9,11,9,15,20,13,16,22,16,14,12,11,10,6,8,9,9,""
06,4,2,6,6,9,12,9,16,18,11,15,12,15,19,26,12,21,14,7,15,9,10,7,8,""
07,2,1,1,4,8,6,9,11,15,19,12,16,15,20,34,26,14,27,22,9,14,6,10,6,""
08,2,5,3,9,5,8,8,8,9,12,17,10,16,13,17,11,16,8,15,11,7,11,6,4,""
09,4,5,3,6,3,5,11,15,21,23,13,20,15,9,11,10,16,20,25,17,16,9,8,8,""
10,5,4,9,9,11,11,12,18,16,34,22,15,25,26,23,28,19,28,27,29,16,13,14,8,""
11,4,2,8,12,8,9,9,22,19,17,22,25,20,13,23,35,28,24,16,26,14,18,9,12,""
12,10,3,3,8,9,9,12,15,17,17,20,17,19,16,33,25,16,18,19,14,17,14,18,6,""
13,8,7,4,4,7,11,10,23,25,20,20,21,12,17,16,26,15,19,14,19,17,9,9,6,""
14,2,3,1,3,5,4,5,14,12,11,16,21,7,17,11,24,25,11,15,16,17,14,6,6,""
15,3,1,1,3,3,4,8,13,13,16,9,8,20,19,26,21,15,22,19,14,17,14,6,6,""
16,0,3,0,1,1,2,9,10,11,7,11,8,4,1,9,11,9,11,6,7,11,12,7,6,""
17,6,7,4,6,6,9,6,12,13,10,13,20,11,4,8,2,9,12,17,13,14,10,6,5,""
18,4,6,8,6,6,10,12,12,25,13,16,21,14,16,19,27,29,18,17,17,12,14,2,6,""
19,8,7,8,8,17,11,17,11,15,14,11,12,11,14,23,16,18,18,17,18,15,12,13,13,""
20,10,3,4,3,7,11,11,21,20,13,13,22,17,13,27,26,24,28,15,25,28,14,4,8,""
21,9,7,8,7,16,12,19,20,19,25,20,19,16,19,26,19,28,25,25,20,14,15,6,10,""
22,5,2,8,9,5,11,24,25,19,24,21,23,17,19,22,29,34,26,29,13,20,13,7,4,""
23,1,8,5,11,15,10,16,24,15,25,20,24,14,14,20,27,30,12,18,27,14,11,7,6,""
24,9,3,6,4,7,12,14,22,29,20,17,27,19,21,30,28,17,25,23,18,15,13,6,9,""
25,6,12,6,11,4,13,21,22,25,22,11,22,17,21,27,18,21,18,21,16,18,10,8,10,""
26,1,7,9,12,17,12,12,27,21,16,19,11,14,15,11,18,20,23,23,17,9,12,6,5,""
27,4,3,4,4,9,18,21,21,17,7,12,9,12,17,16,14,15,26,26,14,12,13,8,12,""
28,1,1,5,4,4,12,14,20,22,14,16,14,18,12,19,17,29,22,17,10,11,8,6,6,""
29,12,3,10,12,9,12,12,19,15,194,10,13,22,19,18,11,13,17,19,15,12,15,9,4,""
30,6,7,6,10,22,27,39,29,23,29,34,29,26,32,36,32,38,29,23,33,13,20,13,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
