Apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
1,21,27,7,12,12,25,19,17,30,18,26,14,18,12,6,4,2,3,7,5,11,14,17,24,""
2,17,25,38,21,18,19,29,35,30,29,20,25,5,11,5,6,5,9,7,6,8,17,26,22,""
3,20,21,15,25,21,14,26,17,20,17,18,17,14,12,6,5,8,12,8,9,9,11,15,18,""
4,17,18,17,18,13,15,22,25,15,24,17,11,12,8,9,8,5,8,5,7,7,11,16,17,""
5,21,16,23,20,12,18,23,19,21,31,15,10,8,9,3,10,1,2,2,9,13,9,9,12,""
6,20,13,20,13,13,24,14,22,31,27,12,16,9,6,5,3,4,4,6,7,8,16,14,18,""
7,25,28,18,23,14,19,19,23,22,16,19,10,7,11,6,1,7,4,5,5,9,17,14,21,""
8,21,26,13,17,12,17,17,26,26,14,30,11,12,5,6,5,5,10,10,8,10,12,13,20,""
9,12,37,19,16,17,11,17,22,20,28,21,15,14,12,8,9,7,7,5,11,7,11,12,20,""
10,28,22,19,28,25,34,45,27,17,21,16,11,13,6,9,4,6,1,9,6,5,9,15,15,""
11,14,16,19,13,15,16,24,20,24,23,25,17,16,8,10,3,4,4,4,8,11,10,15,21,""
12,27,11,20,23,19,29,17,25,24,44,23,18,12,13,4,1,1,5,1,5,13,9,19,19,""
13,22,34,19,26,20,18,27,17,22,20,17,16,6,6,9,4,11,2,5,5,14,11,20,16,""
14,11,15,22,19,14,16,37,32,21,32,13,16,10,3,5,2,1,4,7,7,4,12,17,21,""
15,25,22,24,25,18,15,22,25,25,26,25,12,11,11,10,8,7,9,13,3,10,10,19,24,""
16,24,23,24,16,14,22,25,39,34,19,26,14,21,7,5,5,8,3,9,4,8,18,6,8,""
17,27,25,20,19,22,23,28,27,27,26,21,19,16,15,8,15,7,4,14,9,10,12,27,21,""
18,25,26,28,17,15,16,35,21,31,34,16,17,6,11,12,8,8,6,8,13,10,14,30,24,""
19,20,23,17,20,30,32,23,31,40,17,20,10,15,9,8,6,9,8,23,8,17,42,32,30,""
20,32,31,38,30,44,50,55,42,56,54,55,28,26,31,17,9,6,10,17,14,15,12,24,25,""
21,33,29,24,24,47,53,52,60,56,68,47,56,35,27,16,20,10,4,7,9,21,12,35,24,""
22,54,44,33,35,28,32,72,71,82,47,65,74,54,27,15,12,6,3,3,8,6,13,19,26,""
23,25,24,37,25,18,32,52,47,37,39,42,43,18,13,26,16,10,9,11,6,11,25,20,14,""
24,20,39,28,41,48,51,64,59,64,65,64,50,38,18,20,9,13,9,15,5,6,29,22,25,""
25,26,29,28,26,23,39,57,55,50,60,45,45,31,25,17,10,9,15,15,8,6,14,24,23,""
26,31,40,32,38,40,44,52,50,59,46,56,49,40,31,16,13,7,9,6,7,18,17,17,24,""
27,34,30,26,17,27,38,39,38,36,28,21,23,21,19,10,15,12,10,13,14,21,15,26,30,""
28,29,33,29,28,18,26,29,25,25,45,24,26,31,22,10,16,10,4,2,5,13,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
