apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,67,50,70,15,88,94,24,34,60,34,27,18,22,24,25,52,122,78,21,81,81,41,52,57,""
02,105,45,59,36,57,27,33,73,50,49,22,20,22,19,20,21,24,7,16,11,16,13,11,21,""
03,12,13,18,18,26,21,27,41,27,37,21,33,26,17,21,18,15,23,18,12,21,18,16,25,""
04,39,15,14,23,27,23,28,24,18,26,24,13,20,24,26,6,23,9,11,11,13,19,11,6,""
05,16,15,14,52,30,26,28,28,30,46,30,26,27,16,17,17,9,10,10,17,9,15,9,9,""
06,13,12,21,30,36,30,31,24,38,45,26,24,28,14,17,14,9,10,7,10,7,14,17,11,""
07,15,11,16,24,32,24,18,26,34,44,32,30,27,19,27,18,12,9,6,7,9,8,14,18,""
08,19,16,18,15,26,26,27,20,25,29,27,23,18,15,22,20,5,15,9,16,32,7,17,14,""
09,15,21,10,30,33,14,30,33,45,25,16,33,20,19,26,17,14,6,19,8,14,14,10,16,""
10,20,13,11,30,23,25,23,31,19,31,22,33,21,16,20,13,11,7,15,10,7,13,17,9,""
11,7,15,19,32,27,24,24,14,39,34,17,38,18,23,25,21,16,4,5,8,11,14,27,11,""
12,20,13,17,20,20,27,31,28,44,51,20,37,26,24,16,22,9,14,8,7,11,9,12,15,""
13,12,12,17,19,28,28,27,22,28,28,23,25,20,31,24,7,8,15,17,7,8,9,12,12,""
14,14,15,19,19,35,21,24,25,31,42,27,34,52,23,31,16,10,4,8,8,12,12,9,10,""
15,11,11,12,20,32,30,25,28,43,39,31,30,29,20,27,21,7,10,9,8,17,7,14,15,""
16,11,15,23,22,16,23,39,34,43,22,37,29,33,24,29,15,8,4,8,11,6,20,8,13,""
17,26,21,13,35,38,24,34,38,28,33,25,19,20,18,14,10,16,7,5,5,8,14,18,14,""
18,21,26,16,24,34,28,23,21,28,36,26,27,22,35,16,18,13,5,8,11,9,11,12,11,""
19,18,17,18,30,19,19,26,29,29,36,33,27,34,17,18,11,12,5,5,12,7,11,17,11,""
20,8,25,12,20,35,31,37,35,22,49,17,27,29,27,23,11,6,5,6,7,11,9,13,14,""
21,18,14,23,25,33,32,38,34,32,45,23,29,24,23,21,18,8,10,11,5,11,12,18,14,""
22,18,25,32,32,41,46,50,35,38,82,38,55,43,28,41,36,27,16,12,16,16,19,24,18,""
23,28,14,22,32,42,56,37,47,44,48,36,33,33,28,18,7,10,17,14,17,17,16,12,8,""
24,21,23,32,34,40,32,37,33,25,47,17,46,19,26,11,16,10,9,11,6,6,17,11,9,""
25,15,16,16,24,25,23,25,25,42,31,30,19,25,26,17,11,8,8,6,39,15,19,12,18,""
26,14,15,19,33,31,35,24,35,30,37,31,23,27,22,21,10,10,6,8,15,3,13,13,12,""
27,15,13,20,25,27,35,43,29,37,45,33,20,29,30,24,17,16,12,20,10,16,12,9,6,""
28,15,18,28,26,36,38,41,37,54,52,26,29,31,33,41,22,8,9,15,18,18,20,15,13,""
29,11,16,15,24,22,40,32,40,49,34,30,33,24,26,17,15,26,14,36,23,26,16,12,11,""
30,14,17,18,23,27,25,36,32,24,46,31,28,24,32,13,28,14,4,4,8,13,18,9,15,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
