jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,76,72,87,85,83,75,77,89,69,68,50,66,60,54,55,54,42,40,36,52,29,49,51,31,""
02,52,57,52,61,60,64,58,55,86,59,50,52,68,56,66,39,54,53,45,41,60,48,55,48,""
03,60,68,73,71,71,86,70,71,71,52,88,86,87,89,82,52,43,37,20,34,42,45,80,87,""
04,95,108,119,118,111,94,98,84,74,78,92,74,61,63,60,44,39,29,34,39,41,40,43,57,""
05,61,75,59,78,63,74,54,59,41,30,40,49,52,79,38,33,26,27,32,31,41,38,49,50,""
06,65,67,69,63,69,63,63,57,65,48,45,48,56,68,38,37,39,39,34,37,39,53,44,52,""
07,55,68,63,59,60,64,60,65,71,69,63,64,89,66,59,34,46,46,34,32,31,49,50,53,""
08,66,61,70,48,57,69,66,59,48,59,56,58,47,71,54,48,30,31,30,19,35,36,39,55,""
09,47,49,49,36,55,49,41,33,34,29,40,47,63,48,38,39,23,29,27,31,28,15,26,38,""
10,47,52,56,73,49,46,30,36,48,47,54,41,49,42,38,26,19,31,28,20,25,27,38,27,""
11,40,52,57,62,39,46,57,50,50,43,45,33,43,63,28,24,19,16,32,36,38,46,62,45,""
12,42,45,49,34,28,49,47,52,33,36,49,52,75,56,41,37,38,31,26,45,44,39,40,40,""
13,64,69,60,61,57,64,65,58,50,43,67,69,55,61,40,40,24,26,26,22,35,37,25,69,""
14,67,85,71,73,54,68,59,65,41,54,52,55,64,60,47,42,34,21,23,35,27,34,41,43,""
15,55,57,42,51,52,53,52,70,59,62,56,60,64,65,52,37,25,40,29,39,43,46,60,60,""
16,79,79,75,50,55,59,52,62,51,60,58,70,76,56,60,35,28,26,30,28,50,36,40,60,""
17,95,81,73,75,72,60,56,51,55,58,76,71,85,54,47,28,25,28,32,33,28,26,49,49,""
18,70,78,52,59,73,65,59,46,63,59,60,74,64,55,48,48,28,36,36,40,39,32,37,54,""
19,77,60,77,72,73,62,75,64,41,41,58,63,57,46,42,37,29,34,22,45,45,48,33,50,""
20,61,85,81,62,62,58,61,58,51,48,54,61,73,71,50,36,34,29,38,32,43,43,51,53,""
21,64,73,62,73,52,55,65,59,62,69,50,70,58,57,44,30,40,32,26,33,49,48,49,46,""
22,74,90,77,62,54,59,63,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,33,41,""
23,54,44,58,50,36,41,33,37,45,50,66,38,48,43,40,32,-1,-1,6,16,28,23,43,55,""
24,58,71,63,54,69,61,55,58,41,54,49,60,52,51,51,33,25,31,37,35,30,42,35,48,""
25,52,56,48,39,52,52,39,52,38,56,34,29,15,21,23,19,14,20,16,17,23,27,26,35,""
26,31,35,48,30,37,52,39,41,34,32,39,27,27,20,11,12,17,22,19,19,26,35,45,51,""
27,54,40,46,46,50,36,45,48,55,41,49,40,31,34,23,20,14,14,10,22,12,25,32,38,""
28,26,27,34,34,35,29,33,30,20,25,22,18,27,15,12,11,18,18,17,11,10,19,23,29,""
29,24,29,32,25,28,25,23,31,27,35,22,30,24,21,20,20,13,12,17,15,16,19,12,13,""
30,28,30,28,21,16,15,19,21,27,12,18,25,26,18,14,21,5,11,18,9,15,19,16,22,""
31,29,31,30,29,35,37,37,45,42,31,33,36,27,24,15,16,15,12,17,19,23,26,27,-1,""
