jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,30,3,27,21,30,66,42,12,42,32,24,30,39,27,24,6,30,12,18,12,18,15,21,18,""
02,6,27,3,18,30,54,21,33,12,9,6,9,9,5,6,12,21,39,3,8,28,34,23,24,""
03,28,20,36,37,52,77,53,35,37,37,33,41,34,20,30,25,31,23,39,23,40,24,24,28,""
04,23,28,35,37,41,61,48,30,29,50,37,44,33,21,17,19,23,15,19,12,29,26,31,41,""
05,38,33,42,37,56,52,54,40,21,31,30,17,21,30,28,21,29,20,24,33,31,26,36,35,""
06,40,43,35,34,40,56,45,26,30,32,28,26,27,24,17,14,19,21,21,29,27,29,33,27,""
07,44,30,31,34,52,68,40,30,42,34,45,37,32,28,27,34,22,28,20,39,27,35,43,44,""
08,33,35,40,43,65,73,63,49,51,51,41,47,33,28,32,30,34,37,38,37,30,36,35,45,""
09,30,35,54,39,59,63,52,39,43,33,32,32,34,39,29,24,24,29,48,21,40,23,38,40,""
10,38,43,49,51,57,83,75,32,31,38,35,30,32,30,25,25,22,20,8,40,33,34,36,29,""
11,38,37,49,57,60,80,55,42,50,41,45,35,24,23,18,23,20,40,34,30,42,37,40,43,""
12,43,44,53,35,56,73,56,35,20,27,38,32,9,11,12,15,8,23,37,34,30,24,33,54,""
13,38,37,48,41,72,33,58,42,29,35,33,31,25,33,27,24,15,23,24,22,38,33,32,31,""
14,41,48,49,47,55,61,48,29,31,30,33,32,21,18,30,18,20,16,26,28,40,34,36,43,""
15,38,53,57,50,64,83,44,36,27,25,29,23,16,23,30,29,40,37,35,40,32,45,41,38,""
16,40,44,51,70,66,77,82,34,43,22,37,29,26,28,42,52,36,56,39,52,64,41,41,50,""
17,58,46,54,61,65,67,60,22,14,33,34,47,32,24,26,20,13,39,31,44,43,30,26,25,""
18,27,36,55,50,63,81,56,42,47,59,66,41,38,34,38,33,32,28,43,46,45,37,41,64,""
19,55,61,62,50,62,84,55,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
