aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,95,90,83,104,76,79,68,72,48,48,59,46,45,101,119,98,110,133,62,58,70,119,275,183,""
02,96,78,54,81,86,80,88,63,60,44,105,92,42,48,55,64,64,48,49,46,60,54,53,51,""
03,59,68,83,92,96,99,77,73,69,86,52,62,44,52,146,349,346,378,635,761,715,789,465,176,""
04,324,281,138,97,102,115,98,72,73,62,70,66,163,240,167,86,98,243,324,277,180,138,51,54,""
05,51,62,78,65,78,86,92,77,71,61,64,69,59,87,77,235,544,810,828,761,30,47,30,49,""
06,63,70,79,103,79,89,80,61,54,56,52,46,58,50,45,54,270,264,48,30,214,537,541,523,""
07,588,477,369,237,285,280,277,262,457,499,627,736,831,811,811,787,869,733,517,149,469,162,198,743,""
08,824,594,333,451,168,37,1,-1,1,-1,68,239,80,132,142,69,55,124,274,609,91,84,94,341,""
09,314,438,174,204,291,470,357,263,242,206,213,183,196,162,154,177,146,170,162,176,484,750,491,295,""
10,156,157,216,226,344,452,290,319,273,262,309,314,292,312,334,299,269,321,411,504,485,425,535,527,""
11,384,492,528,350,335,449,474,534,254,200,367,161,585,419,428,443,361,494,499,502,512,349,294,298,""
12,315,309,366,412,408,426,526,535,561,645,639,717,771,763,683,707,710,681,595,483,285,225,186,206,""
13,216,243,265,304,357,383,435,362,420,375,312,363,303,365,279,352,308,328,362,376,322,201,210,211,""
14,237,216,241,211,274,339,512,450,377,409,406,319,383,336,283,323,308,268,212,337,311,225,163,179,""
15,194,196,235,267,373,449,406,435,409,429,381,412,388,392,353,394,427,461,418,448,456,306,239,269,""
16,277,280,285,329,417,446,363,239,254,237,187,209,205,269,192,177,187,150,177,301,406,313,164,168,""
17,212,223,216,192,281,279,259,218,258,223,248,263,235,428,335,389,288,236,265,271,650,304,217,374,""
18,445,421,344,253,326,515,478,436,534,411,371,311,467,482,426,478,533,422,303,242,308,247,211,249,""
19,241,201,200,216,295,534,509,549,268,308,302,207,196,267,238,230,221,242,172,220,235,159,202,142,""
20,175,175,188,168,254,282,289,245,339,287,263,319,559,634,586,578,590,580,685,425,259,195,162,165,""
21,178,197,188,208,251,260,331,337,357,346,274,289,256,327,196,203,177,143,159,316,309,333,150,215,""
22,286,337,178,193,404,428,419,415,229,233,197,272,394,540,443,450,721,722,271,215,172,152,108,117,""
23,162,193,241,298,255,304,328,463,199,232,187,248,193,199,163,211,182,163,155,214,223,147,104,167,""
24,156,154,170,196,215,245,309,192,255,251,229,240,188,275,212,349,358,411,312,319,315,171,449,284,""
25,186,190,184,176,279,287,362,323,307,248,280,295,327,231,247,233,256,195,223,218,238,166,159,184,""
26,169,174,190,167,234,239,295,227,230,253,250,207,237,214,195,230,244,224,175,202,183,121,128,176,""
27,157,163,161,166,201,237,251,176,264,245,193,254,221,198,202,171,146,143,204,250,128,137,157,134,""
28,179,155,169,196,255,254,350,216,222,213,206,188,228,181,183,176,148,142,189,251,250,167,138,145,""
29,153,197,179,190,305,305,291,271,220,230,285,312,241,249,207,267,200,217,175,332,329,200,228,144,""
30,168,168,158,173,181,256,311,264,257,265,193,241,256,227,240,199,186,190,123,175,330,140,136,130,""
31,157,162,133,142,180,184,162,211,178,156,205,174,172,190,174,196,139,147,134,303,303,239,173,24,""
