aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,35,20,28,54,72,85,89,83,64,72,87,83,83,74,50,31,23,31,27,24,16,16,17,28,""
02,22,21,30,52,54,77,63,47,60,69,80,82,74,74,50,28,1,17,2,0,0,18,27,23,""
03,23,30,36,47,59,71,69,63,65,71,87,88,75,62,61,45,45,23,24,7,14,15,25,18,""
04,31,28,31,26,51,92,55,42,59,74,72,72,78,60,54,26,25,19,18,13,24,19,12,20,""
05,22,0,0,30,69,67,50,41,43,59,57,81,85,76,60,52,39,21,22,15,21,14,20,21,""
06,21,21,33,35,60,49,44,33,41,69,69,69,67,55,44,48,29,25,21,23,19,18,33,34,""
07,32,29,37,41,64,54,45,31,37,50,86,64,47,48,36,33,22,31,18,12,17,15,29,26,""
08,20,27,15,0,28,35,36,35,40,55,52,64,54,58,52,43,37,26,12,18,19,17,26,30,""
09,16,30,25,34,44,56,45,35,40,52,56,67,66,46,46,41,36,24,13,13,16,11,18,20,""
10,26,25,27,37,42,54,30,23,30,48,60,65,57,39,32,25,32,24,31,20,20,22,22,23,""
11,22,26,35,44,37,51,28,22,34,46,55,49,56,40,41,38,35,24,19,21,31,19,17,34,""
12,2,22,15,23,37,41,46,38,45,45,42,65,53,45,40,39,29,33,34,21,24,28,37,24,""
13,0,0,0,12,61,57,55,38,41,68,56,45,15,34,34,23,19,25,37,18,20,12,21,27,""
14,33,24,43,44,54,57,40,44,44,44,44,76,74,69,32,32,35,28,22,17,15,20,35,23,""
15,27,15,36,42,51,54,44,37,45,36,50,43,45,45,60,42,23,29,26,18,23,20,37,26,""
16,26,28,47,41,49,37,30,38,32,44,56,68,52,38,43,42,27,37,10,13,13,25,22,24,""
17,31,6,5,6,3,38,40,22,51,46,50,53,62,67,40,0,0,4,23,25,29,19,38,35,""
18,33,29,29,43,60,47,44,36,34,60,57,43,66,50,62,65,33,38,16,24,19,20,20,19,""
19,24,26,21,48,58,60,30,36,49,57,66,71,52,73,49,48,34,33,18,16,25,22,29,30,""
20,28,39,35,38,37,36,38,21,24,41,52,49,64,60,52,48,49,30,24,16,19,24,21,34,""
21,23,35,25,50,31,38,23,21,34,38,48,66,56,45,34,33,30,20,15,15,15,25,12,24,""
22,25,30,34,22,43,44,30,25,31,41,47,64,45,39,29,30,36,26,16,12,11,21,22,27,""
23,31,23,28,38,39,58,34,23,29,50,34,39,44,34,52,31,21,25,16,24,15,22,24,29,""
24,21,37,25,48,38,36,38,28,25,25,39,47,47,46,34,26,21,26,15,9,10,17,28,27,""
25,23,31,37,52,61,42,28,31,33,38,54,53,44,46,39,44,28,15,18,20,27,24,22,26,""
26,21,31,26,42,43,37,36,27,22,48,45,45,43,30,39,27,39,28,19,32,28,34,42,29,""
27,39,36,30,43,44,37,22,14,24,43,43,41,49,50,33,39,35,22,26,28,26,23,30,34,""
28,36,34,51,45,54,44,29,13,26,41,49,56,44,45,51,39,23,20,24,19,25,31,30,30,""
29,27,23,37,42,52,35,23,30,31,38,42,39,44,41,46,34,26,30,24,24,26,25,19,26,""
30,23,23,35,39,38,38,22,22,21,37,46,39,34,45,35,28,16,21,19,20,23,24,24,22,""
31,29,28,41,50,49,53,43,26,32,42,39,41,40,53,37,32,26,19,17,21,31,26,-1,-1,""
