feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,9,15,10,8,7,11,7,9,7,8,12,12,11,10,4,5,5,4,6,4,10,6,8,5,""
02,9,6,24,31,13,11,69,10,5,6,31,12,53,13,20,13,1,6,3,6,5,9,11,6,""
03,6,3,7,37,62,18,32,9,11,18,6,9,33,4,13,15,6,3,9,7,9,3,10,9,""
04,6,4,16,4,7,6,12,22,3,16,8,5,18,6,5,4,9,7,4,12,7,5,7,10,""
05,6,4,11,9,6,7,8,10,13,8,51,13,11,18,14,7,6,4,36,20,4,26,7,18,""
06,4,5,7,3,5,9,15,5,6,9,21,8,11,8,13,21,4,5,4,9,2,13,3,4,""
07,8,10,8,13,9,10,4,6,9,4,12,5,9,9,3,3,3,1,4,3,3,5,1,5,""
08,6,3,8,5,6,14,6,10,6,6,3,6,22,3,12,6,6,5,0,1,4,2,2,5,""
09,8,6,2,6,2,5,5,4,4,8,8,6,3,6,9,2,3,4,2,2,0,3,3,2,""
10,3,1,5,3,7,13,4,5,3,4,7,6,8,5,4,1,1,5,0,4,2,6,3,3,""
11,4,7,8,0,-1,-1,-1,-1,-1,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,""
12,0,0,0,0,0,0,0,0,0,9,8,6,3,2,2,2,5,1,4,4,5,6,2,2,""
13,6,9,4,9,5,7,6,9,4,8,8,8,18,5,5,14,1,0,4,1,2,2,9,3,""
14,6,3,8,5,6,4,8,3,7,6,3,1,9,2,3,4,3,2,3,2,6,4,1,9,""
15,4,4,8,6,12,11,5,4,5,16,7,3,7,13,10,3,3,4,0,3,2,5,3,1,""
16,5,5,13,6,9,7,2,8,10,5,3,6,10,11,10,1,2,3,4,7,2,6,5,6,""
17,3,6,7,6,5,5,5,6,7,8,6,8,11,6,1,4,0,2,1,4,5,4,3,5,""
18,7,7,10,7,4,4,5,7,10,8,11,22,8,5,5,9,3,3,4,8,4,7,5,6,""
19,6,1,9,12,8,4,8,9,11,10,25,20,7,6,7,3,7,1,3,8,5,7,8,6,""
20,6,3,4,8,8,14,3,6,6,5,8,8,9,7,6,6,2,2,7,3,3,6,6,4,""
21,4,7,7,6,11,5,8,4,3,11,6,3,23,7,12,2,3,5,5,5,3,8,7,10,""
22,8,4,5,9,7,5,3,6,7,5,4,6,11,9,7,5,4,2,1,4,15,7,5,8,""
23,5,7,3,22,9,6,13,13,5,10,16,7,10,5,9,10,4,0,2,2,4,2,9,8,""
24,2,10,5,4,9,6,6,4,8,8,3,19,3,6,3,5,3,2,1,3,4,4,6,2,""
25,4,43,6,5,5,26,8,5,5,23,7,14,23,7,6,12,4,3,3,6,2,1,1,4,""
26,5,7,7,6,16,17,4,11,7,17,20,10,9,24,4,4,2,2,7,1,3,6,2,3,""
27,4,8,8,9,11,8,5,8,8,33,10,27,11,16,2,5,2,7,24,4,1,7,4,9,""
28,1,10,8,5,3,11,7,9,6,4,10,12,6,6,5,6,4,4,2,4,5,2,4,7,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
