jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,67,71,66,61,84,77,84,6,0,0,54,45,58,49,53,59,46,32,33,28,41,46,48,45,""
02,44,61,77,69,87,67,73,83,69,48,40,63,73,59,81,61,34,40,26,40,42,46,47,55,""
03,67,62,87,77,82,91,77,86,67,57,48,48,57,51,55,44,50,61,43,28,39,31,39,55,""
04,57,66,81,72,78,89,76,64,73,68,42,41,47,56,52,41,39,29,26,25,30,53,61,81,""
05,101,79,78,84,67,60,74,76,65,59,69,60,46,48,55,32,43,46,30,34,45,57,53,66,""
06,80,64,73,66,76,69,62,80,66,70,62,69,61,39,51,38,1,0,0,0,2,0,2,0,""
07,0,0,2,0,0,0,72,68,76,68,46,60,48,45,52,48,56,51,36,47,55,73,56,67,""
08,76,79,83,90,63,87,75,76,78,59,61,51,57,42,-1,-1,5,1,0,0,0,1,1,0,""
09,0,0,0,0,2,2,0,0,1,2,0,1,0,1,1,3,0,0,0,1,2,2,1,1,""
10,0,2,0,2,0,1,1,12,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,""
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,46,50,63,68,84,""
14,87,75,96,87,75,63,73,80,61,76,50,57,52,30,29,47,42,52,39,39,23,40,37,73,""
15,64,76,71,83,83,56,47,68,74,77,57,41,59,31,31,20,22,37,35,36,34,36,55,56,""
16,40,82,84,66,93,87,49,70,75,81,51,49,46,44,29,34,48,48,43,12,34,32,40,57,""
17,52,68,75,101,100,89,48,62,99,74,43,43,58,60,33,21,25,10,35,46,61,75,98,99,""
18,112,105,117,102,108,98,71,45,66,60,53,58,39,39,53,48,33,36,22,22,28,27,18,31,""
19,63,64,95,99,88,64,25,49,59,47,44,42,33,40,31,36,12,8,7,7,11,8,19,33,""
20,105,40,42,34,34,43,18,20,24,19,17,16,19,16,16,5,18,23,67,26,24,29,21,23,""
21,32,36,38,52,33,43,34,29,25,34,19,20,20,8,16,16,6,7,14,6,20,19,26,21,""
22,33,39,42,26,47,33,33,37,38,82,84,72,38,26,30,26,33,40,38,45,51,70,79,95,""
23,112,129,133,107,118,92,81,89,48,35,45,56,44,39,114,45,52,49,51,39,52,65,75,100,""
24,99,109,135,144,107,97,75,111,71,106,86,87,64,65,67,50,54,49,59,50,43,51,61,81,""
25,76,152,134,127,127,110,99,75,104,97,76,72,74,42,73,57,67,49,48,36,67,59,95,123,""
26,119,147,130,125,103,100,76,100,91,78,81,79,62,73,79,59,67,71,71,71,74,98,119,114,""
27,122,135,153,128,115,117,80,80,66,72,62,41,51,47,45,59,45,57,54,58,68,100,118,132,""
28,155,156,164,166,138,111,109,125,110,78,66,62,58,63,51,55,75,68,86,67,76,80,114,136,""
29,156,164,137,116,130,108,89,81,78,76,65,69,58,51,75,43,60,34,41,40,54,67,79,88,""
30,118,124,108,135,107,101,84,67,61,64,68,52,34,57,29,52,72,54,37,46,43,73,93,108,""
31,68,95,111,104,112,88,86,57,67,64,49,55,58,32,27,22,45,37,48,54,61,81,80,-1,""
