feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,33,37,27,24,26,18,19,18,28,19,13,9,5,1,5,4,3,8,6,10,10,23,14,17,""
02,19,21,23,34,24,17,19,24,23,18,11,12,18,5,4,4,6,8,6,9,13,12,13,21,""
03,27,30,28,27,23,15,23,19,16,18,8,10,7,8,6,5,7,3,11,12,11,12,11,30,""
04,30,25,21,21,18,10,16,21,13,10,6,5,3,2,6,8,4,11,18,17,10,21,21,28,""
05,25,29,44,38,68,58,55,64,81,75,67,74,77,41,41,55,44,59,17,22,24,29,23,30,""
06,34,42,33,31,30,39,34,38,27,19,24,11,7,3,4,4,2,4,7,4,7,13,22,20,""
07,24,20,20,20,25,11,19,21,4,5,8,11,10,5,1,5,0,8,1,6,12,8,14,15,""
08,14,25,21,18,15,11,18,8,17,9,8,10,8,3,5,2,1,4,4,6,10,11,10,18,""
09,13,21,15,16,16,16,18,19,13,12,3,5,7,1,5,5,1,1,3,3,3,5,6,10,""
10,13,21,13,10,12,13,19,7,15,7,8,6,8,1,0,1,1,1,2,5,4,3,6,10,""
11,17,13,14,9,13,11,12,14,28,29,35,8,6,2,6,7,11,2,12,13,18,19,15,11,""
12,2,10,13,13,11,8,19,12,18,17,12,8,10,0,2,4,2,1,6,3,3,7,10,12,""
13,18,22,28,20,20,9,9,14,5,12,10,9,7,5,2,7,2,4,2,6,6,13,14,7,""
14,21,16,20,19,14,12,13,7,6,7,5,1,0,2,1,2,1,2,1,3,3,5,7,9,""
15,11,14,11,12,5,11,10,8,14,10,7,6,5,0,2,2,2,3,6,3,9,17,12,6,""
16,16,16,15,15,14,13,13,18,11,16,5,3,3,2,1,1,2,5,4,4,10,6,11,12,""
17,16,14,14,10,14,23,16,10,5,6,5,6,3,5,1,4,5,3,5,5,11,8,6,13,""
18,15,19,17,9,17,17,16,19,12,11,7,9,3,3,1,2,5,1,3,2,8,8,11,12,""
19,25,18,25,19,18,14,25,15,13,21,18,11,9,2,5,3,0,4,4,8,7,13,6,7,""
20,9,11,12,9,13,16,11,12,4,7,7,3,4,4,6,3,4,2,10,13,10,9,9,27,""
21,31,29,19,16,16,12,18,17,10,8,7,9,9,1,4,3,1,3,13,5,13,15,15,4,""
22,19,24,18,20,9,11,10,6,5,5,5,4,4,4,1,0,6,1,5,8,5,7,9,15,""
23,16,10,12,8,12,6,11,9,11,9,6,12,8,2,1,6,2,1,5,5,4,9,5,11,""
24,8,14,4,13,11,9,15,4,10,6,3,8,4,3,1,1,1,0,2,2,3,8,7,11,""
25,17,15,9,10,9,9,10,10,9,9,6,5,6,2,1,3,2,4,1,4,6,5,10,8,""
26,14,13,7,19,10,14,12,7,10,12,11,9,10,7,4,5,4,1,3,7,2,14,11,18,""
27,14,12,17,19,22,17,19,17,10,9,12,10,8,3,7,5,7,6,7,10,7,9,7,4,""
28,20,19,15,25,26,16,22,17,12,7,4,3,3,0,4,6,0,3,1,5,5,4,5,0,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
