mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,101,75,116,87,124,110,101,91,127,141,104,96,67,66,60,57,51,50,40,37,59,69,91,90,""
02,79,102,99,101,104,115,101,107,100,126,116,104,75,54,63,56,50,39,35,44,64,69,104,121,""
03,91,100,87,89,94,95,121,107,111,123,126,111,65,77,76,52,31,48,60,53,75,78,86,95,""
04,83,92,99,112,107,97,106,97,152,116,108,82,88,70,55,38,42,27,40,45,77,84,99,102,""
05,106,81,81,81,99,102,94,127,118,110,120,93,75,66,70,58,45,44,56,47,70,79,87,73,""
06,75,81,101,86,77,89,103,103,140,95,-1,-1,-1,-1,-1,-1,-1,-1,35,45,65,85,105,92,""
07,108,94,96,109,119,103,106,122,107,135,142,92,73,82,58,58,48,68,41,44,61,72,106,87,""
08,96,106,84,87,101,99,116,108,141,143,120,107,91,90,61,53,40,33,45,43,70,69,106,104,""
09,86,81,101,83,116,100,114,95,131,113,115,93,71,66,70,49,44,32,43,45,59,72,97,105,""
10,102,83,83,89,86,90,105,127,154,128,152,113,89,87,88,79,69,37,50,65,68,88,109,96,""
11,92,115,87,82,105,102,107,132,145,120,114,84,55,65,58,52,52,37,36,48,58,74,101,116,""
12,97,101,114,108,133,127,133,148,166,166,112,115,86,98,67,66,44,47,56,56,71,102,100,111,""
13,141,123,117,116,114,114,135,128,147,134,135,135,94,89,48,-1,-1,55,67,63,85,123,126,129,""
14,148,109,119,125,116,122,155,198,182,165,138,106,114,110,84,51,66,53,55,54,78,104,119,116,""
15,113,107,131,132,145,149,146,162,178,151,141,114,70,87,66,53,54,45,49,51,75,107,116,145,""
16,116,128,119,125,141,134,125,156,148,130,121,103,105,92,64,52,39,26,32,45,59,99,90,113,""
17,99,116,103,108,115,137,136,172,163,151,122,128,119,106,99,77,62,62,66,92,94,107,109,137,""
18,124,110,108,117,103,108,112,133,109,149,134,81,68,80,78,73,60,56,47,48,59,85,104,132,""
19,120,115,122,116,114,101,124,153,145,151,137,104,82,72,59,47,60,76,51,67,78,84,108,111,""
20,97,103,99,89,99,112,126,137,159,153,122,96,87,91,84,79,77,56,80,52,86,114,142,167,""
21,172,133,121,164,190,197,193,175,156,155,133,109,100,99,87,57,72,64,62,69,93,110,110,97,""
22,83,109,91,83,105,120,112,106,147,122,98,92,84,67,52,55,48,39,33,50,53,72,90,94,""
23,86,99,81,107,99,108,114,111,131,124,94,104,87,70,74,54,46,49,35,36,38,78,75,76,""
24,86,92,92,82,97,97,106,112,105,128,118,78,71,59,54,47,36,37,32,36,53,59,79,89,""
25,86,84,88,86,93,112,117,102,116,124,114,88,67,78,54,27,47,36,39,46,53,80,86,89,""
26,89,106,100,130,102,104,126,123,153,138,131,88,83,75,58,45,34,33,29,39,55,64,87,103,""
27,104,100,97,93,96,119,119,117,128,56,-1,-1,133,70,25,-1,-1,-1,-1,-1,-1,-1,51,94,""
28,91,90,94,94,77,83,103,139,126,117,93,94,72,62,62,63,34,27,14,25,44,61,61,76,""
29,98,68,68,77,82,94,104,136,140,119,89,82,60,54,56,43,20,36,34,34,33,50,63,86,""
30,106,78,74,70,84,90,106,106,110,102,91,75,63,66,52,32,25,36,56,34,44,53,76,84,""
31,80,91,78,80,76,83,98,108,110,102,84,68,71,67,38,56,28,27,18,38,51,68,91,14,""
