mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,103,86,153,137,133,112,112,139,87,74,105,96,131,110,61,81,23,13,21,15,13,13,18,12,""
02,23,22,26,18,28,56,48,129,92,85,126,107,99,93,105,34,34,60,103,89,113,104,76,102,""
03,106,100,90,61,105,95,134,89,101,85,78,106,105,116,72,83,78,84,75,86,58,33,30,33,""
04,36,41,38,31,29,41,29,30,39,41,46,47,23,39,17,46,31,9,15,17,33,24,26,35,""
05,50,57,35,68,69,37,68,71,71,88,80,80,79,99,147,66,110,38,38,48,36,34,41,46,""
06,48,60,56,73,50,52,69,99,62,44,82,59,57,50,24,33,26,25,33,38,21,35,36,37,""
07,46,43,59,64,60,64,67,81,73,64,74,63,50,72,37,34,27,27,28,28,60,89,33,34,""
08,61,45,100,103,98,114,93,130,123,116,144,129,79,78,41,34,52,26,13,16,54,38,28,28,""
09,36,40,38,41,41,50,41,53,50,40,51,40,55,55,20,24,42,17,27,19,30,40,30,31,""
10,42,49,40,35,44,41,24,64,49,52,44,57,57,21,28,22,21,20,17,24,20,23,40,34,""
11,34,49,67,60,52,48,68,48,69,64,79,81,45,41,34,22,16,27,34,26,27,44,39,39,""
12,62,68,64,77,54,67,88,56,46,57,76,70,90,86,41,26,27,26,34,39,46,38,33,44,""
13,67,60,54,70,36,56,47,55,63,65,71,63,62,62,38,26,20,32,30,25,41,25,34,40,""
14,54,39,57,58,53,39,42,70,63,52,54,42,52,51,41,27,31,24,15,17,17,21,25,39,""
15,40,49,53,39,57,47,44,49,60,49,47,51,63,58,37,22,15,22,17,12,6,12,11,0,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,64,51,44,31,29,22,25,31,43,39,30,30,""
17,33,34,43,46,47,51,58,48,64,65,61,45,42,39,40,40,22,-1,-1,16,28,32,22,31,""
18,52,49,55,66,37,34,32,49,45,54,45,66,40,39,31,30,26,7,17,16,18,14,23,33,""
19,30,35,38,43,28,32,26,36,44,43,48,45,46,106,32,19,18,19,27,16,21,41,56,58,""
20,93,82,63,51,33,40,35,42,32,42,51,50,38,51,36,34,16,21,12,13,25,20,31,32,""
21,42,41,45,41,33,29,139,130,114,98,79,125,88,134,61,88,22,12,22,24,28,27,39,167,""
22,105,107,82,58,116,37,117,139,92,148,130,128,84,116,117,95,60,139,27,31,27,35,45,26,""
23,30,103,52,145,68,132,119,109,48,124,101,142,87,76,39,46,29,41,18,25,24,35,18,34,""
24,45,54,55,60,150,55,173,90,63,67,65,112,164,119,33,36,24,13,13,14,25,23,35,48,""
25,61,44,58,47,45,43,52,86,57,65,71,76,100,59,72,33,79,55,48,40,69,60,54,59,""
26,115,67,65,65,56,60,54,89,65,63,74,84,99,59,50,61,34,78,33,23,39,64,57,72,""
27,102,72,167,67,167,176,88,150,125,96,144,106,123,131,72,71,36,65,75,26,50,51,56,75,""
28,95,75,132,100,148,213,87,187,116,81,112,87,80,85,40,56,25,56,35,29,37,31,51,70,""
29,59,57,67,54,71,52,79,94,84,75,74,71,61,69,31,46,57,27,21,16,19,51,21,41,""
30,48,68,65,69,77,95,112,119,91,93,98,134,72,59,52,48,27,39,84,54,34,44,31,34,""
31,43,49,62,64,94,111,104,143,95,88,78,90,78,120,103,34,17,35,28,18,19,24,38,4,""
