aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,16,""
02,17,15,5,14,9,17,23,19,15,27,14,36,19,23,15,32,18,13,12,16,14,13,5,17,""
03,15,16,5,19,21,9,13,17,18,19,24,24,34,21,19,16,14,22,6,12,16,18,12,18,""
04,10,17,13,14,24,14,19,40,26,23,33,20,15,40,26,34,20,12,8,7,11,12,9,7,""
05,18,18,23,17,12,10,21,18,14,19,24,22,11,16,13,31,25,23,22,23,13,18,15,9,""
06,21,13,15,49,89,32,17,31,17,31,16,26,28,18,23,21,19,16,39,14,12,11,6,14,""
07,16,-1,36,20,26,96,19,37,40,28,37,33,54,56,19,29,16,17,26,18,4,17,11,21,""
08,8,11,10,17,18,14,18,43,26,25,34,31,16,19,19,29,13,37,11,17,22,26,19,14,""
09,20,19,25,21,12,15,19,24,30,17,25,29,28,21,15,28,17,16,9,16,8,21,15,15,""
10,22,10,22,16,19,18,14,16,61,20,29,24,27,13,12,23,27,16,26,18,18,22,19,16,""
11,23,12,24,30,29,16,29,27,26,14,28,35,32,16,16,23,19,16,17,15,14,17,16,35,""
12,20,17,23,18,38,49,48,59,70,58,58,71,58,48,35,64,32,25,30,33,24,34,14,16,""
13,11,7,9,22,15,21,24,40,-1,64,31,47,35,23,22,19,19,18,15,19,16,11,14,19,""
14,13,13,15,17,31,11,29,19,29,19,26,29,22,12,12,8,23,16,17,15,23,12,24,14,""
15,18,10,12,9,18,12,9,14,16,21,16,15,19,21,12,17,8,21,22,20,10,16,4,12,""
16,8,10,12,7,12,11,9,11,20,18,25,13,35,16,15,16,19,14,12,10,8,10,10,9,""
17,10,4,5,10,13,14,10,16,13,9,15,45,32,14,8,6,10,14,5,9,8,6,6,12,""
18,7,9,14,13,13,17,13,9,13,13,7,9,13,6,7,17,9,10,15,3,12,15,12,10,""
19,16,7,16,12,6,12,10,11,13,20,14,15,10,3,14,18,7,13,21,10,11,11,10,11,""
20,8,7,10,15,13,11,10,14,9,13,14,13,8,13,9,14,12,8,11,14,15,10,9,15,""
21,7,10,14,6,10,14,9,11,-1,20,10,12,11,8,15,21,81,45,14,4,9,11,12,11,""
22,6,7,13,12,8,9,10,4,-1,25,11,10,7,7,9,17,9,14,13,6,11,10,15,6,""
23,9,15,6,9,8,13,11,9,12,10,14,6,12,8,3,4,13,9,16,8,15,11,7,9,""
24,13,7,12,8,10,11,10,7,-1,19,10,10,12,11,12,22,7,22,14,15,11,12,11,5,""
25,14,11,13,7,8,11,12,12,9,8,9,10,12,6,10,14,4,11,15,9,12,19,5,7,""
26,18,11,11,18,5,16,10,13,-1,22,10,11,17,14,9,13,14,18,8,19,19,22,21,16,""
27,14,16,17,14,17,16,18,13,-1,30,14,20,18,16,16,18,16,14,18,24,14,19,14,15,""
28,7,13,18,14,8,16,19,15,18,17,16,13,22,14,19,23,18,16,20,11,23,34,15,17,""
29,25,22,8,20,22,26,23,38,16,18,12,11,15,13,14,16,12,16,21,14,20,30,26,19,""
30,30,49,20,22,17,21,13,51,27,14,12,15,18,17,15,24,21,12,22,20,24,12,10,20,""
31,27,38,44,28,19,13,17,17,20,13,18,11,15,15,13,19,20,16,28,13,9,16,-1,-1,""
