aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,32,42,29,35,40,53,54,53,62,59,57,48,44,51,59,52,48,59,50,42,44,29,59,37,""
02,39,40,48,45,58,47,60,55,50,57,89,63,70,81,69,64,51,50,33,39,52,61,53,38,""
03,41,32,50,43,71,49,53,44,60,102,97,103,84,91,45,59,71,46,37,23,49,53,56,39,""
04,39,30,37,46,51,61,50,56,57,64,94,75,49,63,59,44,41,82,81,55,65,55,43,39,""
05,21,27,39,37,72,64,61,63,76,49,42,76,63,38,39,44,35,45,42,54,36,44,40,32,""
06,13,29,33,24,39,32,47,36,36,50,80,57,47,43,53,68,56,46,39,30,44,52,53,46,""
07,33,25,32,40,40,35,33,42,30,41,53,50,58,46,51,66,58,55,44,27,33,54,44,36,""
08,36,29,25,34,45,54,70,34,41,65,91,63,62,60,60,37,44,36,33,35,47,41,25,28,""
09,28,39,49,44,45,57,56,48,40,46,50,66,31,36,40,36,33,50,29,28,28,43,34,31,""
10,37,33,30,39,38,56,40,43,55,40,54,37,43,25,24,26,26,42,12,18,21,28,24,29,""
11,25,10,24,17,23,25,20,13,24,31,34,39,42,65,42,22,61,34,37,28,29,42,28,37,""
12,27,29,37,40,48,43,43,43,51,36,33,47,62,50,45,40,38,42,40,37,52,34,28,37,""
13,39,50,36,40,35,35,66,47,48,77,74,61,57,59,62,50,67,50,46,41,41,49,34,48,""
14,29,24,43,37,41,50,47,53,55,50,68,78,52,26,56,61,29,44,48,41,52,40,32,31,""
15,32,27,20,42,37,51,48,44,34,42,55,65,20,33,34,41,52,35,34,26,34,34,21,18,""
16,25,25,12,22,27,58,29,23,33,66,80,50,52,66,55,51,28,51,40,42,25,38,30,21,""
17,26,30,26,38,45,41,33,36,35,62,55,50,49,57,44,38,27,37,23,30,20,36,29,28,""
18,20,29,33,36,32,28,47,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,26,41,26,""
20,31,20,26,18,33,43,25,28,40,51,73,74,50,52,63,51,33,58,43,36,37,23,30,20,""
21,32,28,35,36,40,64,63,58,37,21,54,55,60,34,20,42,45,39,29,28,37,34,21,24,""
22,27,23,27,30,34,25,26,28,39,46,40,66,47,46,48,58,32,50,43,50,30,29,36,22,""
23,27,28,25,31,22,30,15,23,44,46,68,60,54,63,74,56,76,41,29,36,49,41,38,27,""
24,18,27,32,31,37,43,38,52,41,81,59,51,43,80,64,76,35,67,46,59,65,32,62,42,""
25,54,36,33,33,37,39,37,44,34,51,90,64,73,66,75,133,117,80,45,79,62,39,40,41,""
26,38,33,33,61,51,60,31,35,39,74,77,74,56,49,113,107,51,64,84,80,89,90,50,48,""
27,51,37,43,41,51,51,35,46,44,51,113,42,42,120,117,81,71,97,100,96,42,60,50,47,""
28,24,28,35,42,49,34,46,37,57,53,74,81,61,48,50,64,34,60,38,36,40,25,32,22,""
29,19,27,20,26,24,29,44,39,41,51,78,76,34,42,44,28,43,33,31,31,33,40,27,15,""
30,23,28,30,32,36,37,34,45,58,64,56,63,72,65,61,42,44,43,32,38,37,27,26,20,""
31,23,22,25,25,17,26,30,22,31,54,90,54,44,58,62,48,41,28,23,38,8,24,30,-1,""
