jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,4,5,2,10,5,5,9,9,12,11,13,13,16,""
02,12,18,9,12,8,5,6,2,7,7,5,5,9,7,11,9,13,9,8,14,6,23,12,11,""
03,17,13,4,9,19,20,14,11,3,3,4,3,4,9,14,32,46,42,34,40,41,47,33,22,""
04,18,46,25,19,20,15,11,7,4,4,8,3,7,4,5,8,4,9,8,8,5,6,6,6,""
05,10,13,10,10,6,4,5,1,7,8,3,4,5,5,6,5,5,8,7,6,11,5,10,11,""
06,12,16,9,15,13,4,1,6,2,4,5,2,4,4,9,12,11,12,11,11,13,15,17,20,""
07,21,23,25,18,12,10,5,4,5,7,5,13,3,6,5,5,3,3,7,10,4,7,9,22,""
08,15,16,14,11,5,6,4,2,7,6,8,2,1,6,3,7,8,6,7,10,8,7,15,8,""
09,15,13,16,15,7,10,3,7,10,2,3,6,3,2,3,12,6,4,12,7,8,11,13,12,""
10,18,12,12,20,6,8,4,5,2,5,10,7,5,8,9,4,11,9,13,19,17,14,14,11,""
11,12,14,14,7,4,7,1,3,1,4,5,3,6,5,5,4,4,6,12,8,9,10,8,7,""
12,9,15,13,5,2,4,8,7,5,10,4,6,4,5,6,2,6,8,7,4,6,10,13,17,""
13,13,15,7,8,2,8,3,4,1,3,1,3,4,4,10,10,8,4,9,10,10,17,9,10,""
14,13,9,11,9,7,3,5,2,4,1,3,3,9,8,9,8,4,7,13,11,10,12,8,9,""
15,17,23,13,13,20,10,7,3,4,8,3,3,9,6,1,7,8,9,6,11,16,14,19,22,""
16,13,16,23,18,7,9,7,6,8,9,5,5,4,6,3,6,11,11,12,6,7,12,14,16,""
17,22,22,19,13,12,8,6,2,5,2,3,8,2,1,8,7,6,8,9,7,10,7,10,13,""
18,20,13,16,8,14,8,4,5,4,2,3,1,3,15,3,7,7,12,10,10,7,16,14,18,""
19,20,11,10,11,5,11,6,6,0,0,0,0,7,3,13,8,12,14,8,5,7,11,19,12,""
20,13,11,10,19,7,10,7,7,3,7,3,3,8,9,4,8,2,6,8,8,10,11,15,14,""
21,18,12,17,13,5,7,6,7,2,4,3,6,5,6,7,12,15,11,6,11,13,14,16,15,""
22,15,22,13,11,12,9,10,5,2,3,6,2,4,3,6,6,3,11,4,5,13,12,13,15,""
23,17,19,18,14,12,10,6,3,1,5,8,2,6,9,5,4,4,4,7,6,8,11,10,14,""
24,15,18,15,10,10,2,4,6,1,1,5,6,2,6,7,6,3,10,5,12,9,10,9,17,""
25,9,12,12,5,6,1,2,3,1,1,1,2,1,12,7,9,5,5,10,3,10,12,6,16,""
26,9,11,3,10,4,6,5,5,2,4,2,5,5,9,10,1,6,5,8,7,9,8,15,14,""
27,12,15,21,7,4,11,4,3,3,2,3,7,3,4,7,9,7,3,2,7,6,11,8,9,""
28,18,18,12,12,6,10,4,3,2,3,3,4,6,12,7,6,5,8,6,11,14,11,10,24,""
29,12,16,16,11,16,8,3,5,7,3,2,4,7,4,5,7,4,7,13,12,4,4,20,20,""
30,12,15,11,8,5,8,0,1,1,0,3,3,3,7,8,10,5,7,8,5,5,8,12,13,""
31,13,11,9,8,9,5,2,2,3,5,3,6,4,8,6,8,3,9,3,3,5,10,17,15,""
