oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,45,78,61,64,56,57,45,63,72,50,49,45,44,35,29,15,13,18,16,41,37,31,38,28,""
02,36,60,42,52,57,52,52,55,49,56,62,50,40,54,28,25,24,23,18,36,36,36,45,43,""
03,44,70,52,72,63,52,53,54,61,51,66,81,53,48,49,31,27,29,30,40,49,47,46,50,""
04,62,55,71,58,70,60,43,59,69,56,71,51,57,40,37,38,27,28,32,36,39,55,70,69,""
05,72,71,80,67,84,84,65,85,76,70,67,69,59,51,47,44,35,31,33,35,45,58,72,65,""
06,79,91,78,73,78,80,71,55,76,62,72,63,54,43,43,39,35,22,37,39,51,52,58,61,""
07,59,73,96,91,83,73,56,74,89,63,72,60,47,46,47,38,28,25,38,38,42,52,61,63,""
08,63,72,82,67,74,62,70,83,65,60,60,51,37,39,23,42,29,40,26,36,47,42,67,79,""
09,80,74,89,97,81,60,65,67,64,59,65,54,40,41,24,39,32,30,29,54,46,69,61,66,""
10,88,67,84,92,63,73,58,56,64,45,58,49,32,35,35,24,24,37,24,30,42,59,68,58,""
11,58,61,86,86,65,79,55,57,67,50,48,47,45,38,39,26,24,39,20,30,33,54,61,63,""
12,58,84,88,67,83,61,62,70,44,58,42,49,54,48,34,40,30,25,34,37,41,63,62,51,""
13,73,61,76,76,60,56,48,52,48,57,59,46,49,38,41,30,23,22,46,34,57,61,59,73,""
14,74,69,60,61,78,82,85,63,59,64,61,60,46,40,28,30,22,22,34,45,46,49,55,61,""
15,65,85,88,82,71,69,51,54,47,49,50,48,46,32,35,34,38,25,25,38,33,52,56,59,""
16,50,54,59,82,60,56,53,51,46,51,54,52,55,39,35,27,28,24,29,28,47,46,70,60,""
17,55,67,72,92,103,82,59,57,69,60,58,36,54,31,43,30,21,24,30,44,51,68,63,78,""
18,76,77,85,93,104,83,59,73,73,55,60,48,54,37,47,28,24,33,41,43,55,62,58,83,""
19,95,76,91,106,88,75,61,67,78,61,54,56,64,55,45,47,38,34,36,38,41,43,52,63,""
20,61,84,99,95,101,81,76,57,65,63,56,51,53,38,50,36,41,29,30,37,45,47,66,82,""
21,71,96,108,117,119,98,81,88,86,71,61,60,48,51,36,36,35,24,48,45,53,63,61,54,""
22,77,108,116,105,87,83,64,81,79,56,62,52,38,39,33,33,36,27,29,35,55,47,74,56,""
23,101,74,78,99,108,85,56,63,63,59,60,46,30,26,45,34,35,29,26,44,49,51,67,69,""
24,67,72,73,77,71,70,76,57,55,56,63,45,46,32,42,32,27,38,27,30,50,55,53,71,""
25,81,91,89,100,95,101,86,74,63,71,59,42,39,40,32,20,25,27,40,46,61,65,59,52,""
26,70,77,76,87,84,54,65,80,72,74,83,50,67,40,35,28,23,34,32,32,57,49,64,53,""
27,78,82,80,79,80,70,54,70,75,72,59,41,47,33,41,40,28,26,29,52,48,58,58,64,""
28,64,68,76,97,88,65,55,65,62,57,45,39,36,45,29,32,24,32,25,44,42,71,49,65,""
29,70,79,80,79,80,70,53,70,58,56,63,50,47,46,41,30,24,28,26,35,54,57,75,70,""
30,71,63,75,78,70,68,64,52,63,71,50,38,55,29,36,30,22,27,35,58,63,65,83,70,""
31,81,75,85,81,92,73,79,57,67,69,59,42,50,49,43,27,32,25,-1,-1,-1,-1,-1,-1,""
[E]o{'m,"kf`zIhz}{fehk'kl"
