may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,12,12,11,17,66,68,59,47,29,73,153,230,37,14,16,11,17,11,13,15,28,27,20,11,""
02,8,15,19,47,61,65,58,83,43,18,19,11,8,9,12,14,9,19,11,21,17,20,16,18,""
03,15,5,25,47,62,102,112,100,37,21,8,13,7,9,16,21,11,19,19,28,31,40,9,13,""
04,13,21,56,78,123,118,108,83,60,40,32,22,17,18,21,16,9,20,14,29,73,30,-1,0,""
05,12,42,33,125,207,241,210,118,97,82,37,20,16,15,19,12,-1,-1,-1,-1,-1,14,36,19,""
06,36,9,31,24,98,232,241,262,241,212,208,80,90,33,15,18,10,18,12,8,28,167,84,49,""
07,53,11,27,14,119,132,189,183,108,135,192,46,15,46,15,11,14,16,17,31,28,23,26,3,""
08,7,18,57,81,128,150,158,84,63,34,24,14,12,32,9,13,16,18,21,28,35,34,22,8,""
09,11,9,20,39,106,129,129,95,57,33,14,21,19,18,23,42,22,17,27,25,27,47,34,27,""
10,18,18,46,49,107,106,100,82,56,32,11,22,21,27,25,20,19,17,19,31,28,44,50,34,""
11,16,20,23,54,114,121,82,92,43,32,19,17,21,7,26,20,266,80,19,29,30,35,13,19,""
12,15,18,17,20,103,117,78,78,68,40,20,13,6,24,15,17,18,39,47,27,33,35,17,15,""
13,9,11,33,123,86,95,100,92,59,30,25,19,16,24,16,58,33,25,18,27,41,51,25,0,""
14,-1,18,21,24,87,232,194,199,277,117,6,132,113,238,131,183,50,91,27,49,49,59,74,22,""
15,11,17,60,73,82,82,89,90,221,202,111,125,16,157,6,7,6,11,123,120,56,46,60,32,""
16,23,11,29,67,59,73,95,267,201,54,21,98,44,22,10,13,15,45,21,38,39,33,55,15,""
17,11,15,31,61,95,78,176,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]c'bf,"bheIyfz}'js"
