mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,0,4,4,1,1,""
05,1,2,2,1,1,5,3,5,2,0,2,3,4,2,2,2,1,2,3,0,0,2,2,0,""
06,23,38,3,2,1,3,3,3,2,2,1,2,2,0,0,6,2,1,0,1,1,0,2,2,""
07,0,1,2,1,3,2,4,4,0,2,1,0,0,0,2,1,0,1,1,1,1,2,1,5,""
08,3,8,2,1,1,2,3,1,5,1,3,0,2,0,0,0,0,2,0,1,2,1,2,1,""
09,5,3,2,4,2,4,5,2,2,3,2,0,3,0,2,2,0,0,1,0,1,3,2,1,""
10,4,3,1,4,3,1,0,1,2,2,4,5,3,3,5,1,2,1,5,1,0,0,1,3,""
11,1,2,1,0,0,2,1,0,0,1,0,1,5,5,4,0,6,1,1,3,2,3,1,0,""
12,0,2,2,1,3,1,2,1,1,0,1,1,0,2,8,5,1,4,2,2,4,4,1,5,""
13,2,0,4,2,6,5,4,1,4,6,3,5,7,0,2,1,2,3,5,3,3,6,6,2,""
14,3,6,2,5,4,10,7,9,5,3,1,4,2,1,2,2,5,2,4,1,4,3,2,4,""
15,2,4,3,5,6,5,4,6,5,8,7,3,4,1,0,2,1,1,0,2,0,0,0,0,""
16,2,0,1,0,1,5,3,3,3,2,3,4,4,4,1,2,3,2,1,1,3,3,4,6,""
17,1,2,24,2,6,15,1,2,2,5,4,0,3,2,4,3,2,6,2,2,1,3,0,5,""
18,2,1,4,4,8,5,3,6,4,3,3,2,2,3,0,5,5,1,1,3,3,3,3,3,""
19,2,2,3,2,1,5,3,6,5,2,3,3,7,3,3,4,4,3,5,2,3,1,5,4,""
20,0,11,38,12,3,30,11,5,3,2,5,6,1,2,3,2,3,3,3,0,5,1,1,4,""
21,2,4,3,3,1,0,3,3,2,3,3,5,5,5,4,3,4,4,0,1,4,3,4,5,""
22,2,6,4,6,5,1,2,3,3,2,5,3,4,1,3,5,4,2,2,5,2,1,2,1,""
23,2,1,2,1,3,2,3,5,3,4,1,3,5,2,2,2,1,3,1,2,3,5,5,0,""
24,1,1,6,1,2,0,4,3,2,6,3,4,6,0,5,3,5,3,2,0,0,2,1,1,""
25,3,3,0,3,4,8,2,4,6,1,4,5,4,6,3,3,3,0,2,1,3,4,4,4,""
26,9,1,2,3,8,4,6,3,3,4,2,6,2,2,2,2,9,4,3,4,2,0,1,2,""
27,2,0,2,3,2,3,2,3,5,4,3,5,0,2,2,3,4,3,0,5,2,4,3,1,""
28,4,5,1,3,2,3,4,2,7,6,1,6,2,6,1,0,4,1,3,2,1,2,7,2,""
29,0,1,1,2,9,1,5,15,2,1,2,4,2,3,1,4,4,0,2,6,2,1,3,1,""
30,5,2,3,4,6,2,3,4,7,0,3,4,5,4,1,1,1,0,4,1,0,0,2,3,""
31,2,5,3,4,3,4,5,2,1,4,3,4,2,3,5,1,2,1,3,2,2,5,3,0,""
[E]elleI}ly`'a,""
