apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,5,9,9,12,11,8,10,11,6,8,6,4,8,5,6,5,2,3,3,4,5,6,7,11,""
02,10,10,11,14,11,9,7,6,11,3,3,2,5,4,1,5,0,2,3,3,9,7,10,9,""
03,8,14,14,7,11,8,9,9,8,3,4,4,3,2,5,6,2,4,6,1,4,8,15,11,""
04,10,14,13,10,8,14,11,17,13,13,2,5,4,2,2,3,2,5,3,3,2,13,5,11,""
05,11,19,11,10,8,8,19,18,5,9,6,3,6,9,4,4,2,4,4,2,6,6,9,11,""
06,10,7,18,14,22,9,14,8,7,8,9,8,4,2,5,2,3,6,6,4,3,5,8,10,""
07,11,6,16,19,18,13,20,14,14,10,9,8,6,7,4,3,3,3,3,3,2,9,10,12,""
08,14,19,15,13,12,15,17,10,12,7,7,10,4,3,1,7,5,4,4,3,5,4,11,10,""
09,11,11,13,8,9,13,10,17,9,8,7,3,1,6,7,5,2,3,2,5,4,11,5,12,""
10,16,12,11,12,13,4,16,17,12,7,5,6,7,8,5,5,5,2,5,1,4,6,8,2,""
11,8,8,15,7,10,8,11,18,16,16,4,7,6,3,4,6,2,2,2,1,3,2,8,14,""
12,6,15,13,7,15,7,14,13,6,11,8,4,2,3,3,4,3,4,3,4,4,6,6,9,""
13,8,13,20,12,16,16,16,11,12,9,11,6,3,9,3,4,6,2,2,2,3,7,6,13,""
14,9,7,14,13,17,15,25,16,14,9,9,10,5,9,5,2,3,3,4,4,5,9,10,12,""
15,8,9,20,10,16,24,16,20,13,10,1,4,6,6,6,1,5,2,7,2,3,6,13,13,""
16,12,9,11,15,16,11,16,10,5,11,8,6,1,4,3,3,5,6,7,2,3,7,8,11,""
17,10,15,17,10,12,9,22,7,10,11,7,3,9,3,7,5,2,4,5,1,5,7,9,9,""
18,2,14,10,16,14,18,15,14,6,7,5,3,6,5,2,5,3,5,3,6,5,14,11,14,""
19,11,13,12,22,6,15,20,11,5,7,4,9,2,5,6,3,5,4,3,1,10,13,3,13,""
20,6,6,10,11,17,18,20,19,17,15,12,3,5,3,7,6,4,2,2,3,4,5,8,12,""
21,20,15,12,19,15,17,21,13,11,8,16,8,5,5,6,4,2,0,2,6,7,7,13,20,""
22,27,24,20,24,28,27,32,26,10,17,14,12,6,8,7,1,2,5,7,7,1,13,12,21,""
23,15,22,15,18,22,22,27,24,21,14,8,5,11,6,4,2,6,5,6,3,5,8,13,23,""
24,19,8,19,26,20,18,26,19,16,14,11,7,8,8,7,4,3,4,3,6,3,6,12,15,""
25,16,13,7,10,17,11,15,15,11,10,7,3,7,3,2,9,2,2,5,3,6,10,23,13,""
26,20,11,7,10,17,12,17,23,11,8,10,7,11,9,3,4,0,2,4,4,7,7,12,8,""
27,10,8,16,20,20,27,31,19,25,4,6,5,2,3,3,5,7,4,3,1,5,6,11,13,""
28,15,18,16,11,19,20,22,24,15,6,12,6,9,5,5,9,0,1,2,6,9,8,7,4,""
29,14,11,17,10,20,17,20,16,15,10,14,7,5,14,3,6,3,1,5,4,8,11,6,11,""
30,16,12,13,16,28,17,23,18,22,13,10,10,7,6,4,5,2,9,5,7,4,5,13,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
