jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,37,24,38,56,50,41,45,52,41,19,28,24,23,12,12,12,13,11,15,8,16,21,25,36,""
02,38,44,47,52,62,42,59,49,62,33,22,18,7,12,11,24,23,5,-1,12,15,17,37,40,""
03,47,56,40,48,59,65,56,54,46,42,40,20,23,21,16,19,16,12,10,20,23,24,38,30,""
04,50,53,56,54,54,55,56,62,39,28,28,22,22,18,12,16,9,16,13,12,17,18,30,46,""
05,52,59,47,54,42,46,58,45,31,46,23,24,10,12,13,8,13,16,15,12,25,25,25,42,""
06,40,53,53,55,50,66,53,38,43,31,33,24,19,23,9,15,7,7,12,19,28,30,30,38,""
07,45,41,36,43,58,46,63,40,44,26,17,16,10,11,17,12,7,12,10,12,21,19,26,37,""
08,40,41,30,42,39,36,37,30,29,24,15,21,6,11,14,9,13,13,15,16,13,21,30,37,""
09,38,56,32,54,34,54,35,53,39,27,12,16,14,12,14,7,19,8,12,17,16,22,36,37,""
10,44,36,44,45,46,48,31,36,33,24,23,13,9,9,12,9,6,4,5,12,12,19,23,32,""
11,42,44,32,45,42,43,54,48,40,34,16,18,9,5,8,11,7,13,8,11,19,15,24,25,""
12,36,34,53,38,39,34,33,31,34,28,19,19,9,13,11,14,7,7,9,14,13,24,22,44,""
13,40,52,50,40,38,51,36,49,29,30,18,14,14,11,17,12,15,13,9,15,12,15,28,32,""
14,26,45,32,32,41,45,25,24,30,26,28,24,11,13,8,5,18,11,7,9,16,31,37,41,""
15,43,41,63,43,34,39,47,49,35,29,26,9,18,12,20,8,10,7,13,15,30,36,35,50,""
16,61,55,53,51,35,34,42,35,26,37,20,17,19,18,16,9,11,10,13,15,23,33,19,28,""
17,51,42,38,32,32,25,27,37,22,28,13,9,7,14,10,14,21,7,13,9,16,26,25,42,""
18,32,43,39,36,22,32,31,32,34,31,19,15,23,15,16,13,13,9,11,23,16,27,23,34,""
19,27,33,23,25,26,20,24,45,27,30,14,20,14,13,23,10,13,14,15,17,12,33,29,34,""
20,41,37,38,37,30,24,28,31,20,22,18,12,15,10,16,10,10,9,12,7,15,19,38,44,""
21,46,41,42,40,55,42,45,43,21,23,21,26,16,16,13,21,13,20,15,25,17,28,38,40,""
22,31,42,42,40,35,23,36,37,19,27,18,24,24,19,26,15,17,11,7,15,14,38,25,40,""
23,53,56,52,55,30,39,39,41,30,14,13,23,15,15,15,16,19,16,24,20,19,30,28,38,""
24,56,58,50,50,51,39,36,35,35,29,20,13,29,14,15,13,15,17,24,15,22,28,26,40,""
25,49,68,51,52,48,54,28,24,33,28,15,23,18,18,23,14,21,8,12,24,15,30,39,47,""
26,61,70,55,66,49,41,35,40,25,29,21,23,22,15,17,21,14,9,12,25,26,26,29,47,""
27,58,44,56,62,38,43,31,33,20,15,23,15,15,13,14,13,18,20,8,11,13,35,40,60,""
28,68,76,65,74,57,40,30,31,46,15,25,26,17,13,9,17,16,11,16,14,22,32,42,41,""
29,59,46,54,50,52,29,34,24,-1,39,22,14,18,9,12,13,17,11,9,15,19,28,47,55,""
30,87,81,73,67,74,59,51,55,34,41,13,18,18,14,25,12,9,13,9,18,19,22,37,47,""
31,75,74,81,61,56,68,39,39,32,24,25,23,19,19,15,13,19,17,8,10,14,-1,-1,-1,""
