jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,14,9,7,16,9,22,13,23,19,20,23,24,20,30,32,23,21,22,21,24,9,9,10,13,""
02,7,13,11,14,8,16,22,24,24,17,19,27,22,25,33,13,17,23,26,19,17,13,10,13,""
03,15,13,13,13,25,26,19,27,28,29,31,29,16,19,31,16,33,49,50,51,57,59,50,58,""
04,38,45,26,44,70,81,85,77,56,56,48,66,51,25,32,41,51,58,40,36,37,22,28,13,""
05,12,13,17,13,24,14,23,28,17,26,17,25,25,29,22,13,26,30,21,23,21,23,15,14,""
06,10,7,10,15,15,11,15,20,25,21,28,21,14,16,26,27,25,27,22,23,20,20,15,14,""
07,11,6,18,13,13,28,21,26,17,23,25,19,30,27,33,21,27,29,35,21,26,23,10,9,""
08,14,10,9,12,14,16,13,27,33,27,29,34,28,31,33,33,40,34,26,29,21,20,16,10,""
09,14,12,11,12,15,23,22,20,26,21,23,21,19,28,29,29,28,31,31,23,14,14,11,14,""
10,12,11,7,12,13,19,20,12,14,18,8,9,16,16,17,17,17,16,18,19,25,23,15,7,""
11,5,3,11,4,11,10,21,9,14,11,20,23,34,33,20,32,25,27,22,35,24,21,6,11,""
12,8,12,7,11,11,17,17,20,21,19,24,14,14,13,18,25,29,37,33,26,18,19,14,12,""
13,10,6,7,12,12,20,22,22,38,18,28,30,30,26,31,39,29,29,23,29,17,22,10,13,""
14,7,7,13,5,12,12,14,21,21,23,28,28,21,36,25,33,30,35,30,23,24,17,8,5,""
15,11,11,6,6,12,15,11,30,22,36,21,30,26,22,23,18,29,29,26,30,18,14,8,3,""
16,15,6,8,5,20,19,10,17,22,17,9,12,21,28,28,27,28,21,24,21,16,16,8,15,""
17,9,9,11,9,15,13,16,15,24,28,31,22,27,32,32,41,29,25,30,26,22,19,9,8,""
18,10,9,17,6,17,19,31,22,28,24,24,21,28,31,27,34,29,14,22,27,18,13,8,11,""
19,8,3,13,15,15,19,31,21,33,21,29,24,24,39,41,33,22,18,13,27,24,21,12,12,""
20,9,12,14,12,14,12,19,21,22,24,24,29,24,21,25,26,25,31,26,17,16,11,11,9,""
21,13,20,14,13,13,16,20,27,22,14,13,21,29,26,30,34,21,33,33,23,14,15,8,11,""
22,3,9,10,10,18,18,16,22,27,31,23,26,27,25,32,31,39,30,33,27,26,15,13,11,""
23,10,11,10,9,11,14,16,17,20,28,36,12,22,19,24,38,26,29,23,18,17,14,7,8,""
24,4,9,6,6,9,15,16,14,16,26,19,18,27,26,37,30,36,38,25,28,19,19,18,18,""
25,10,9,8,12,11,18,13,5,19,5,23,16,15,22,36,31,33,20,30,27,9,6,4,7,""
26,9,4,8,15,11,17,19,19,16,23,8,21,13,22,27,29,32,33,26,28,22,18,9,8,""
27,6,6,6,7,8,15,25,10,7,16,12,11,14,16,11,16,15,14,18,9,8,8,5,5,""
28,6,8,11,9,10,14,11,13,14,12,18,14,18,12,19,16,20,25,23,19,19,14,6,3,""
29,9,6,5,9,6,12,10,12,16,23,19,15,15,20,26,19,13,18,17,16,17,14,3,6,""
30,4,9,9,8,14,13,20,16,15,14,10,19,14,14,12,15,18,13,19,13,6,14,5,12,""
31,6,3,4,3,12,12,11,16,19,16,20,19,18,31,31,32,21,23,26,22,16,12,8,5,""
