jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,183,213,259,297,230,215,229,214,208,73,59,3,59,137,110,61,57,42,33,45,49,87,118,144,""
02,164,179,231,228,172,261,227,248,217,137,155,161,134,134,111,96,43,33,50,51,73,108,102,131,""
03,161,197,222,283,264,267,174,309,216,81,107,207,118,144,140,131,147,130,118,169,133,141,124,157,""
04,170,297,335,345,332,288,294,230,353,291,89,132,87,80,97,70,41,64,53,58,87,-1,68,148,""
05,172,181,184,182,187,169,163,164,130,106,92,67,83,80,71,-1,-1,38,57,43,79,73,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,109,""
07,183,197,185,185,187,162,205,182,231,122,71,84,110,89,68,63,21,19,47,70,100,-1,46,-1,""
08,118,148,167,147,160,150,139,122,120,58,-1,-1,-1,-1,43,71,29,24,65,32,42,84,-1,67,""
09,169,183,204,225,203,196,195,196,75,51,33,40,111,97,73,64,55,44,37,56,52,112,126,126,""
10,163,176,203,177,181,161,175,177,180,120,46,141,140,117,105,37,64,48,22,45,81,46,46,56,""
11,119,136,122,170,182,117,124,121,148,94,-1,138,-1,91,102,28,34,41,39,51,53,39,30,48,""
12,156,166,162,155,171,143,157,161,163,126,49,72,77,98,104,71,35,29,39,69,80,64,57,74,""
13,111,215,174,184,175,178,154,156,178,109,105,121,115,87,91,57,46,45,41,54,58,37,52,66,""
14,143,177,160,180,176,182,172,185,162,137,123,103,118,93,80,52,34,29,39,35,73,66,61,54,""
15,106,154,154,178,170,136,142,152,159,60,106,105,135,83,61,69,37,40,23,48,45,61,53,73,""
16,141,120,147,199,215,208,202,171,164,152,129,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,""
17,136,150,165,179,180,168,173,138,119,62,56,86,116,86,52,49,58,41,42,66,102,74,47,94,""
18,150,157,186,198,217,154,169,149,161,116,145,116,99,185,-1,-1,70,-1,56,45,67,53,41,96,""
19,-1,-1,-1,-1,-1,-1,-1,-1,155,154,99,67,-1,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,140,147,166,150,146,126,104,82,139,159,114,91,75,85,39,23,39,42,61,32,-1,96,""
21,84,85,94,106,120,102,90,76,84,72,52,48,63,54,27,27,32,20,24,47,48,47,43,51,""
22,79,92,94,97,102,71,68,67,91,62,48,-1,60,44,66,-1,31,11,33,33,43,73,58,66,""
23,108,115,87,103,86,100,81,81,81,57,53,57,60,50,56,52,23,15,27,35,41,32,38,61,""
24,83,96,94,91,115,112,92,92,51,67,65,76,53,66,24,22,14,22,19,28,32,45,33,47,""
25,78,97,100,90,108,72,64,84,103,93,80,78,40,34,49,31,28,35,39,-1,62,74,53,69,""
26,107,84,113,96,104,71,76,58,106,78,50,59,49,64,41,40,50,23,29,45,49,27,46,54,""
27,97,97,82,113,100,86,80,81,121,60,80,83,76,68,55,38,26,28,38,44,59,71,50,68,""
28,113,133,134,126,111,96,76,88,108,88,75,72,43,50,36,30,21,19,35,35,54,69,55,57,""
29,102,99,98,105,107,90,62,68,64,58,53,58,38,36,20,18,33,17,21,45,61,33,45,60,""
30,105,138,95,111,92,96,86,80,78,75,79,49,64,41,46,31,27,26,34,25,36,34,41,59,""
31,84,100,84,79,124,87,75,75,84,64,58,51,41,61,55,35,22,19,35,47,43,63,71,59,""
